defense,offense,rule,approx_cal,calmar,cagr,mdd,sharpe,sortino,boost
V20Q10G20M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,KK120_5d,5.39302215364651,5.257,135.7,25.81,2.161,3.567,50.038850038850036
V20Q15G25M40 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK120_3d+VIX25_1d,5.268814540652624,5.248,131.81,25.11,2.165,3.428,48.25174825174825
V15Q5G30M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KQ60_1d,5.409011029701669,5.246,145.17,27.67,2.242,3.591,56.95415695415696
V15Q20G15M50 g0.9 6m,V25Q0G55M20 g0.3 12m,B126_35_1d,5.334495100311439,5.237,133.08,25.41,2.087,3.613,67.75446775446775
V20Q15G25M40 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_1d+VIX25_1d,5.382858335166491,5.229,131.32,25.11,2.058,3.281,55.011655011655016
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KP120_1d,5.363580389983319,5.226,143.13,27.39,2.239,3.58,58.04195804195804
V20Q15G15M50 g0.9 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d+HY5_1d,5.331433624877929,5.223,130.07,24.9,2.131,3.287,58.58585858585859
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK120_3d,5.40298378341836,5.214,134.59,25.81,2.197,3.435,50.815850815850816
V20Q10G25M45 g0.7 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d+VIX25_1d,5.3297911368286135,5.206,143.84,27.63,2.246,3.479,55.011655011655016
V20Q5G30M45 g0.5 6m-1m,V25Q0G55M20 g0.3 12m,KP120_3d+VIX25_1d,5.484785732686201,5.195,141.37,27.21,2.184,3.606,55.16705516705517
V20Q15G15M50 g0.9 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_5d,5.38888416644472,5.188,141.01,27.18,2.168,3.698,59.44055944055944
V20Q15G25M40 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d+HY5_1d,5.299195847208997,5.18,130.08,25.11,2.076,3.207,58.58585858585859
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,KP60_1d,5.529036032781016,5.177,139.29,26.9,2.187,3.386,59.67365967365967
V20Q10G20M50 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,B126_40_5d,5.698585616182536,5.16,131.49,25.48,2.066,3.148,59.44055944055944
V20Q10G25M45 g0.7 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_35_1d,5.5214588785495575,5.15,139.44,27.07,2.176,3.546,67.75446775446775
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_35_1d,5.462705019340642,5.149,143.67,27.9,2.187,3.546,67.75446775446775
V5Q25G15M55 g0.7 6m,V25Q0G50M25 g0.3 12m-1m,B126_35_1d,5.489430192278082,5.14,145.6,28.33,2.231,3.58,67.75446775446775
V20Q5G30M45 g0.5 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK120_3d+VIX25_1d,5.489605100990321,5.134,139.33,27.14,2.245,3.523,48.25174825174825
V20Q5G30M45 g0.5 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_5d,5.401564648515581,5.123,146.15,28.53,2.167,3.653,59.44055944055944
V20Q10G20M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,KP120_3d,5.3951977132210995,5.121,141.28,27.59,2.182,3.625,57.88655788655789
V20Q10G20M50 g0.6 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_3d,5.695811439595669,5.116,143.34,28.02,2.161,3.621,59.28515928515928
V20Q10G20M50 g0.6 6m-1m,V0Q15G40M45 g0.4 12m,B126_40_3d,5.537694120529129,5.108,130.41,25.53,2.058,3.137,59.28515928515928
V20Q5G30M45 g0.5 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_3d,5.475973711755293,5.097,142.57,27.97,2.149,3.589,59.28515928515928
V20Q5G30M45 g0.5 6m-1m,V25Q0G50M25 g0.3 12m-1m,KK60_3d+VIX25_1d,5.265724054019331,5.077,137.8,27.14,2.214,3.486,48.562548562548564
V25Q10G15M50 g0.4 6m-1m,V25Q0G55M20 g0.3 12m,KP120_3d+VIX25_1d,5.337494936267629,5.068,137.21,27.07,2.147,3.539,55.16705516705517
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.4 12m,KQ120_5d,5.418520499123245,5.046,131.94,26.14,2.061,3.205,54.623154623154626
V20Q20G15M45 g0.8 6m,V25Q0G50M25 g0.3 12m-1m,B126_35_1d,5.557998204667164,5.035,130.43,25.9,2.096,3.36,67.75446775446775
V25Q10G15M50 g0.4 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_7d,5.30278624682032,5.03,144.83,28.79,2.239,3.534,59.20745920745921
V20Q15G15M50 g0.9 6m-1m,V0Q15G40M45 g0.4 12m,B126_40_5d,5.277405602466883,5.03,127.45,25.34,2.067,3.178,59.44055944055944
V20Q5G30M45 g0.5 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_1d,5.287977565949009,5.028,136.82,27.21,2.144,3.323,59.20745920745921
V15Q20G15M50 g0.9 6m,V25Q0G50M25 g0.3 12m-1m,B126_35_3d,5.396599046649635,4.993,149.1,29.86,2.24,3.526,67.9098679098679
V20Q20G15M45 g0.8 6m,V25Q0G50M25 g0.3 12m-1m,B126_40_3d,5.467153667260385,4.968,135.1,27.19,2.167,3.378,59.28515928515928
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.4 12m,B126_40_5d,5.571518671125385,4.956,126.28,25.48,1.98,3.014,59.44055944055944
V20Q10G20M50 g0.6 6m-1m,V0Q5G45M50 g0.4 12m,KK120_5d,5.614972009321632,4.95,127.78,25.81,2.035,3.151,50.038850038850036
V20Q10G25M45 g0.7 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_40_7d,5.538886143309067,4.924,139.96,28.42,2.2,3.49,59.20745920745921
V20Q5G30M45 g0.5 6m-1m,V25Q0G55M20 g0.3 12m,KK120_3d+VIX25_1d,5.341341340080412,4.913,133.33,27.14,2.142,3.477,48.25174825174825
V20Q15G15M50 g0.9 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_3d,5.552415018922676,4.904,138.37,28.22,2.159,3.652,59.28515928515928
V20Q15G25M40 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_35_1d,5.492830811398501,4.902,133.32,27.2,2.083,3.367,67.75446775446775
V20Q5G30M45 g0.5 6m-1m,V25Q0G55M20 g0.3 12m,B126_40_1d+VIX25_1d,5.510706719001218,4.892,136.64,27.93,2.106,3.35,55.011655011655016
V20Q10G20M50 g0.6 6m-1m,V25Q0G50M25 g0.3 12m-1m,B126_45_5d,5.4814085205504135,4.892,129.16,26.4,2.118,3.253,50.97125097125097
