gs1,gs2,gr,v,q,g,m,mom,cagr,mdd,cal,sh,sort
rev_z,op_margin_z,0.0,40,10,30,20,6m,-13.7,62.24,-0.22,0.003,0.003
rev_z,op_margin_z,0.0,40,10,30,20,6m-1m,-3.86,70.02,-0.055,0.253,0.251
rev_z,op_margin_z,0.0,40,10,30,20,12m,-14.69,79.38,-0.185,-0.009,-0.009
rev_z,op_margin_z,0.0,40,10,30,20,12m-1m,-20.8,77.73,-0.268,-0.174,-0.177
rev_z,op_margin_z,0.0,35,15,25,25,6m,-2.42,73.74,-0.033,0.246,0.278
rev_z,op_margin_z,0.0,35,15,25,25,6m-1m,-7.53,72.51,-0.104,0.166,0.181
rev_z,op_margin_z,0.0,35,15,25,25,12m,-7.65,65.36,-0.117,0.133,0.146
rev_z,op_margin_z,0.0,35,15,25,25,12m-1m,-14.82,68.1,-0.218,-0.047,-0.05
rev_z,op_margin_z,0.0,30,10,30,30,6m,18.48,64.4,0.287,0.594,0.753
rev_z,op_margin_z,0.0,30,10,30,30,6m-1m,21.59,63.85,0.338,0.65,0.8
rev_z,op_margin_z,0.0,30,10,30,30,12m,18.66,54.68,0.341,0.589,0.757
rev_z,op_margin_z,0.0,30,10,30,30,12m-1m,31.42,50.55,0.622,0.743,1.087
rev_z,op_margin_z,0.0,10,40,30,20,6m,41.82,48.87,0.856,0.944,1.254
rev_z,op_margin_z,0.0,10,40,30,20,6m-1m,25.84,49.68,0.52,0.712,0.947
rev_z,op_margin_z,0.0,10,40,30,20,12m,50.08,45.7,1.096,1.052,1.418
rev_z,op_margin_z,0.0,10,40,30,20,12m-1m,31.32,51.36,0.61,0.794,1.048
rev_z,op_margin_z,0.0,15,35,25,25,6m,33.61,53.74,0.625,0.81,1.076
rev_z,op_margin_z,0.0,15,35,25,25,6m-1m,15.88,67.43,0.235,0.55,0.707
rev_z,op_margin_z,0.0,15,35,25,25,12m,31.45,58.47,0.538,0.789,0.943
rev_z,op_margin_z,0.0,15,35,25,25,12m-1m,16.55,56.78,0.291,0.56,0.739
rev_z,op_margin_z,0.0,20,30,20,30,6m,11.79,59.35,0.199,0.48,0.624
rev_z,op_margin_z,0.0,20,30,20,30,6m-1m,16.05,62.3,0.258,0.554,0.704
rev_z,op_margin_z,0.0,20,30,20,30,12m,39.41,53.78,0.733,0.894,1.041
rev_z,op_margin_z,0.0,20,30,20,30,12m-1m,56.21,52.35,1.074,1.1,1.291
rev_z,op_margin_z,0.0,10,10,60,20,6m,10.06,78.01,0.129,0.458,0.588
rev_z,op_margin_z,0.0,10,10,60,20,6m-1m,17.24,75.08,0.23,0.573,0.736
rev_z,op_margin_z,0.0,10,10,60,20,12m,34.47,60.79,0.567,0.823,1.058
rev_z,op_margin_z,0.0,10,10,60,20,12m-1m,30.4,63.3,0.48,0.773,1.031
rev_z,op_margin_z,0.0,15,5,50,30,6m,11.65,78.8,0.148,0.495,0.601
rev_z,op_margin_z,0.0,15,5,50,30,6m-1m,12.79,76.31,0.168,0.501,0.654
rev_z,op_margin_z,0.0,15,5,50,30,12m,50.58,58.43,0.866,0.996,1.329
rev_z,op_margin_z,0.0,15,5,50,30,12m-1m,57.94,51.2,1.132,1.028,1.512
rev_z,op_margin_z,0.0,5,5,70,20,6m,25.14,65.17,0.386,0.691,0.859
rev_z,op_margin_z,0.0,5,5,70,20,6m-1m,30.52,68.77,0.444,0.777,0.954
rev_z,op_margin_z,0.0,5,5,70,20,12m,37.39,61.95,0.604,0.857,1.057
rev_z,op_margin_z,0.0,5,5,70,20,12m-1m,20.23,73.5,0.275,0.625,0.754
rev_z,op_margin_z,0.0,10,10,55,25,6m,35.48,66.03,0.537,0.827,1.039
rev_z,op_margin_z,0.0,10,10,55,25,6m-1m,28.21,73.39,0.384,0.731,0.951
rev_z,op_margin_z,0.0,10,10,55,25,12m,48.53,62.41,0.778,0.965,1.291
rev_z,op_margin_z,0.0,10,10,55,25,12m-1m,54.01,55.33,0.976,1.047,1.448
rev_z,op_margin_z,0.0,10,10,20,60,6m,27.7,63.61,0.435,0.716,0.903
rev_z,op_margin_z,0.0,10,10,20,60,6m-1m,33.15,59.32,0.559,0.797,1.018
rev_z,op_margin_z,0.0,10,10,20,60,12m,22.25,51.33,0.433,0.64,0.819
rev_z,op_margin_z,0.0,10,10,20,60,12m-1m,4.0,60.15,0.066,0.37,0.428
