v,q,g,m,mom,g_sub,cal,cagr,mdd,sharpe,sortino
30,0,40,30,6m,rev+gp+opm,1.473,74.43,50.51,0.83,3.085
20,0,45,35,6m,rev+oca+opm,1.472,65.21,44.3,0.84,2.625
25,15,35,25,6m-1m,rev+gp+opm,1.471,67.82,46.11,0.792,2.839
15,5,35,45,12m,rev+oca+gp,1.47,69.01,46.96,0.881,2.633
5,5,55,35,12m,rev+gp+opm,1.47,62.88,42.77,0.866,2.475
25,5,20,50,6m-1m,rev+oca+opm,1.468,63.4,43.19,0.78,2.643
10,0,55,35,12m,rev+gp+opm,1.466,64.99,44.32,0.884,2.508
25,10,30,35,12m-1m,rev+gp+opm,1.466,67.77,46.24,0.873,2.71
20,10,45,25,12m,rev+oca+gp,1.465,66.28,45.23,0.862,2.68
15,5,35,45,6m,rev+gp+opm,1.465,65.36,44.61,0.841,2.621
30,5,30,35,12m-1m,rev+gp+opm,1.465,64.79,44.22,0.852,2.677
25,5,45,25,12m,rev+oca+opm,1.465,64.11,43.76,0.845,2.646
30,10,20,40,12m-1m,rev+oca+gp,1.464,70.75,48.34,0.81,3.012
30,10,20,40,12m-1m,rev+oca+opm,1.464,66.6,45.51,0.787,2.87
5,0,60,35,12m,rev+gp+opm,1.463,65.49,44.76,0.887,2.522
15,0,55,30,12m,rev+gp+opm,1.463,68.56,46.88,0.876,2.665
0,0,65,35,12m,rev+oca+opm,1.463,62.07,42.43,0.855,2.496
5,5,45,45,12m-1m,rev+oca+opm,1.463,59.6,40.74,0.837,2.432
20,15,40,25,6m,rev+oca+gp,1.462,62.75,42.93,0.764,2.773
25,10,25,40,12m,rev+oca+gp,1.462,70.31,48.1,0.811,2.88
0,5,55,40,12m-1m,rev+oca+opm,1.462,61.48,42.06,0.852,2.499
15,5,50,30,6m-1m,rev+oca+gp,1.461,65.69,44.95,0.857,2.73
30,0,40,30,6m-1m,rev+oca+opm,1.461,65.89,45.11,0.781,2.811
30,15,40,15,12m-1m,rev+oca+gp,1.459,64.59,44.27,0.773,2.821
10,10,40,40,12m-1m,rev+oca+opm,1.459,59.82,40.99,0.839,2.461
25,15,25,35,12m-1m,rev+gp+opm,1.457,61.7,42.36,0.829,2.614
25,10,25,40,12m-1m,rev+oca+gp,1.454,67.84,46.67,0.794,2.984
20,0,55,25,12m,rev+gp+opm,1.454,68.69,47.26,0.877,2.683
25,5,40,30,12m-1m,rev+gp+opm,1.453,63.64,43.78,0.843,2.575
20,15,25,40,12m-1m,rev+gp+opm,1.452,66.4,45.73,0.863,2.758
25,10,40,25,12m-1m,rev+gp+opm,1.452,61.01,42.02,0.808,2.614
5,5,50,40,6m,rev+oca+opm,1.452,60.31,41.53,0.844,2.437
20,10,45,25,12m-1m,rev+oca+opm,1.452,65.16,44.87,0.851,2.656
30,0,35,35,12m-1m,rev+oca+gp,1.451,64.46,44.42,0.85,2.682
15,15,40,30,12m-1m,rev+oca+gp,1.45,68.94,47.55,0.881,2.66
20,5,50,25,12m-1m,rev+oca+gp,1.45,64.29,44.33,0.848,2.605
15,0,55,30,12m-1m,rev+oca+opm,1.45,64.91,44.77,0.882,2.519
20,0,40,40,6m,rev+oca+opm,1.45,64.58,44.53,0.836,2.604
10,0,50,40,12m-1m,rev+oca+gp,1.449,59.57,41.12,0.841,2.459
20,10,40,30,6m-1m,rev+oca+gp,1.448,62.07,42.86,0.831,2.638
15,5,35,45,12m-1m,rev+gp+opm,1.447,64.55,44.62,0.849,2.639
30,0,30,40,12m,rev+gp+opm,1.447,65.23,45.08,0.776,2.855
25,5,45,25,12m-1m,rev+oca+opm,1.447,64.19,44.38,0.832,2.714
20,10,25,45,12m-1m,rev+oca+gp,1.446,64.26,44.43,0.848,2.689
25,10,30,35,12m-1m,rev+oca+gp,1.446,61.14,42.29,0.826,2.575
10,5,40,45,12m,rev+oca+opm,1.446,62.24,43.04,0.858,2.431
30,10,30,30,12m,rev+oca+opm,1.446,61.3,42.38,0.752,2.756
15,5,35,45,6m,rev+oca+gp,1.445,63.06,43.64,0.839,2.514
10,0,50,40,12m-1m,rev+gp+opm,1.445,60.76,42.05,0.847,2.464
10,0,55,35,12m-1m,rev+oca+gp,1.444,61.38,42.5,0.854,2.437
25,5,25,45,6m,rev+oca+gp,1.444,70.96,49.14,0.813,2.863
25,10,25,40,12m-1m,rev+oca+opm,1.444,68.56,47.47,0.799,2.916
25,10,35,30,12m,rev+oca+gp,1.443,64.91,44.97,0.854,2.659
30,10,25,35,12m-1m,rev+gp+opm,1.442,62.84,43.56,0.763,2.812
25,5,25,45,12m-1m,rev+oca+opm,1.442,61.65,42.76,0.829,2.519
0,10,55,35,12m,rev+oca+gp,1.441,60.73,42.14,0.845,2.479
25,0,45,30,6m,rev+oca+gp,1.441,68.21,47.33,0.876,2.692
20,15,30,35,12m-1m,rev+gp+opm,1.441,67.65,46.95,0.872,2.705
5,5,45,45,6m,rev+oca+opm,1.441,61.45,42.65,0.852,2.442
30,0,45,25,6m,rev+oca+opm,1.441,67.77,47.03,0.792,2.933
0,0,60,40,6m-1m,rev+oca+gp,1.439,59.08,41.06,0.749,2.58
30,5,40,25,12m,rev+oca+gp,1.438,64.2,44.64,0.772,2.728
30,10,25,35,12m-1m,rev+oca+gp,1.438,69.86,48.59,0.807,2.947
0,0,65,35,12m,rev+oca+gp,1.437,57.55,40.04,0.823,2.383
15,0,40,45,12m,rev+oca+gp,1.437,67.85,47.21,0.873,2.643
25,0,40,35,12m,rev+oca+gp,1.437,77.8,54.13,0.941,2.91
25,5,35,35,12m-1m,rev+gp+opm,1.437,65.31,45.46,0.855,2.677
25,5,30,40,6m,rev+oca+opm,1.435,61.41,42.81,0.745,2.717
15,5,40,40,6m,rev+oca+gp,1.434,60.61,42.27,0.821,2.505
15,10,35,40,6m,rev+oca+gp,1.434,66.65,46.49,0.786,2.779
25,15,30,30,12m-1m,rev+oca+gp,1.434,60.55,42.23,0.749,2.662
30,0,30,40,12m,rev+oca+gp,1.434,61.97,43.21,0.831,2.547
0,0,60,40,6m,rev+oca+opm,1.434,60.98,42.52,0.76,2.613
0,10,60,30,12m,rev+oca+opm,1.433,57.17,39.88,0.816,2.335
5,10,50,35,6m,rev+oca+opm,1.433,60.77,42.41,0.759,2.547
25,15,35,25,12m,rev+oca+opm,1.433,61.14,42.66,0.75,2.792
25,5,20,50,6m-1m,rev+gp+opm,1.432,62.96,43.96,0.777,2.677
25,10,25,40,12m-1m,rev+gp+opm,1.432,62.53,43.65,0.835,2.643
20,0,35,45,12m,rev+oca+opm,1.432,74.16,51.77,0.914,2.774
30,0,30,40,12m-1m,rev+oca+opm,1.432,62.08,43.35,0.832,2.67
0,5,55,40,12m-1m,rev+oca+gp,1.431,64.51,45.08,0.879,2.53
5,5,55,35,6m,rev+oca+gp,1.431,57.74,40.34,0.822,2.411
0,0,60,40,12m-1m,rev+oca+gp,1.43,63.97,44.73,0.874,2.523
0,5,60,35,6m-1m,rev+oca+gp,1.429,56.48,39.51,0.731,2.514
30,10,30,30,6m,rev+oca+gp,1.429,63.03,44.11,0.763,2.798
0,15,50,35,12m,rev+oca+gp,1.428,61.58,43.12,0.852,2.472
20,10,45,25,6m-1m,rev+oca+gp,1.428,58.63,41.05,0.805,2.586
15,15,35,35,6m,rev+oca+opm,1.428,68.82,48.19,0.798,2.903
5,5,50,40,12m-1m,rev+gp+opm,1.427,60.46,42.37,0.845,2.442
0,5,65,30,6m-1m,rev+oca+gp,1.426,58.51,41.04,0.747,2.553
20,5,50,25,6m-1m,rev+gp+opm,1.425,66.93,46.96,0.789,2.844
10,5,55,30,12m-1m,rev+oca+opm,1.425,58.08,40.76,0.825,2.374
15,5,40,40,12m-1m,rev+oca+opm,1.425,61.41,43.08,0.855,2.416
30,5,20,45,6m-1m,rev+oca+opm,1.425,64.93,45.55,0.779,2.876
5,15,45,35,6m,rev+oca+gp,1.424,63.96,44.91,0.873,2.468
0,0,60,40,12m-1m,rev+oca+opm,1.424,60.95,42.81,0.851,2.438
0,15,50,35,6m-1m,rev+oca+gp,1.423,56.61,39.78,0.814,2.388
20,10,45,25,12m-1m,rev+gp+opm,1.423,60.57,42.56,0.818,2.502
25,0,45,30,6m-1m,rev+oca+opm,1.423,63.59,44.69,0.844,2.626
25,5,35,35,12m-1m,rev+oca+opm,1.422,64.65,45.46,0.851,2.684
5,10,55,30,12m,rev+gp+opm,1.421,61.59,43.34,0.856,2.442
25,0,40,35,12m,rev+gp+opm,1.421,68.97,48.52,0.881,2.664
20,15,30,35,12m,rev+oca+opm,1.421,70.02,49.27,0.807,2.954
5,0,60,35,12m-1m,rev+oca+opm,1.419,58.89,41.49,0.831,2.409
25,10,40,25,12m-1m,rev+oca+opm,1.419,62.91,44.34,0.84,2.624
25,15,40,20,12m-1m,rev+oca+opm,1.419,60.12,42.38,0.816,2.564
20,0,55,25,12m,rev+oca+gp,1.418,65.65,46.29,0.859,2.624
25,15,35,25,12m-1m,rev+oca+gp,1.418,60.5,42.66,0.823,2.533
15,10,50,25,6m,rev+oca+gp,1.417,64.05,45.21,0.844,2.634
30,10,35,25,12m,rev+oca+gp,1.417,62.56,44.15,0.762,2.731
10,10,45,35,12m,rev+gp+opm,1.417,62.96,44.44,0.868,2.36
25,5,25,45,6m,rev+gp+opm,1.417,68.41,48.29,0.797,2.846
5,10,50,35,6m,rev+oca+gp,1.416,59.94,42.31,0.84,2.449
15,5,40,40,6m-1m,rev+oca+gp,1.416,59.59,42.08,0.814,2.522
15,10,30,45,6m,rev+oca+opm,1.416,66.29,46.82,0.784,2.792
30,10,40,20,12m,rev+oca+opm,1.416,58.93,41.61,0.736,2.662
0,10,50,40,6m-1m,rev+oca+opm,1.415,59.16,41.8,0.747,2.591
15,10,45,30,6m-1m,rev+oca+gp,1.414,57.83,40.89,0.799,2.56
10,0,55,35,12m-1m,rev+gp+opm,1.414,61.8,43.72,0.858,2.474
25,10,40,25,6m-1m,rev+gp+opm,1.413,65.95,46.68,0.781,2.782
20,15,25,40,12m-1m,rev+oca+opm,1.413,69.74,49.34,0.806,2.9
30,10,25,35,12m-1m,rev+oca+opm,1.413,65.42,46.3,0.779,2.889
20,15,30,35,6m,rev+gp+opm,1.412,66.86,47.35,0.692,3.054
30,0,35,35,6m,rev+oca+gp,1.411,63.4,44.92,0.757,2.88
5,10,55,30,12m-1m,rev+oca+gp,1.41,57.39,40.71,0.822,2.35
25,10,25,40,6m,rev+oca+gp,1.41,62.76,44.52,0.754,2.737
30,0,50,20,12m-1m,rev+oca+gp,1.41,66.95,47.48,0.788,2.821
20,0,50,30,12m,rev+gp+opm,1.41,66.08,46.88,0.86,2.63
0,5,60,35,12m-1m,rev+oca+gp,1.409,61.16,43.4,0.852,2.462
25,5,50,20,12m-1m,rev+oca+gp,1.409,62.1,44.06,0.832,2.616
25,5,20,50,6m,rev+gp+opm,1.409,67.49,47.91,0.791,2.8
25,0,25,50,6m-1m,rev+gp+opm,1.408,72.3,51.35,0.908,2.867
25,0,35,40,6m,rev+oca+gp,1.407,60.63,43.08,0.748,2.667
5,10,50,35,12m-1m,rev+oca+opm,1.407,59.72,42.45,0.841,2.421
10,0,40,50,6m,rev+oca+opm,1.407,58.48,41.58,0.828,2.356
25,5,40,30,12m-1m,rev+oca+opm,1.407,62.34,44.3,0.836,2.608
25,10,35,30,12m-1m,rev+oca+gp,1.406,59.6,42.38,0.817,2.521
10,5,40,45,12m-1m,rev+oca+opm,1.406,59.13,42.05,0.833,2.438
15,15,40,30,12m,rev+oca+opm,1.406,60.76,43.22,0.82,2.565
25,10,40,25,12m,rev+oca+opm,1.406,63.58,45.23,0.841,2.673
5,15,45,35,12m,rev+oca+gp,1.405,61.58,43.82,0.852,2.509
20,0,35,45,6m,rev+oca+opm,1.405,67.24,47.85,0.791,2.709
5,15,40,40,6m,rev+oca+gp,1.404,60.35,42.97,0.844,2.508
0,5,60,35,12m-1m,rev+gp+opm,1.404,60.89,43.38,0.85,2.467
0,10,55,35,12m-1m,rev+gp+opm,1.404,57.83,41.2,0.828,2.433
0,10,55,35,6m-1m,rev+oca+gp,1.403,55.39,39.48,0.724,2.481
25,5,45,25,12m,rev+gp+opm,1.402,66.2,47.22,0.861,2.597
20,15,25,40,12m,rev+oca+opm,1.402,76.2,54.35,0.84,3.103
30,10,35,25,12m,rev+oca+opm,1.402,59.94,42.77,0.743,2.71
10,10,55,25,12m,rev+gp+opm,1.401,63.27,45.15,0.867,2.459
10,0,45,45,12m-1m,rev+oca+gp,1.4,61.46,43.89,0.853,2.449
15,5,40,40,12m-1m,rev+oca+gp,1.4,67.56,48.26,0.873,2.682
25,5,30,40,6m,rev+oca+gp,1.4,63.85,45.62,0.769,2.697
5,0,65,30,12m,rev+oca+opm,1.4,56.3,40.22,0.811,2.338
20,5,35,40,6m,rev+oca+opm,1.4,61.59,43.97,0.755,2.62
30,0,30,40,6m,rev+oca+opm,1.4,61.67,44.06,0.754,2.766
30,0,35,35,12m-1m,rev+oca+opm,1.4,59.72,42.66,0.814,2.696
20,0,45,35,6m,rev+gp+opm,1.399,63.29,45.24,0.841,2.665
10,10,45,35,12m-1m,rev+oca+opm,1.399,59.65,42.65,0.841,2.44
15,15,30,40,12m-1m,rev+oca+gp,1.398,58.86,42.09,0.81,2.496
30,0,50,20,12m,rev+oca+gp,1.397,67.07,48.02,0.789,2.79
30,5,40,25,12m,rev+gp+opm,1.397,60.56,43.36,0.82,2.527
0,10,50,40,6m,rev+oca+gp,1.396,61.43,43.99,0.852,2.486
20,5,45,30,12m-1m,rev+oca+gp,1.396,63.73,45.67,0.846,2.553
5,15,40,40,12m,rev+oca+gp,1.394,61.27,43.95,0.85,2.503
30,10,30,30,12m,rev+gp+opm,1.392,60.66,43.57,0.749,2.703
10,5,50,35,6m-1m,rev+oca+opm,1.392,56.91,40.88,0.638,2.747
0,5,55,40,6m,rev+oca+gp,1.391,56.31,40.48,0.811,2.387
20,10,30,40,6m,rev+gp+opm,1.391,61.31,44.06,0.753,2.639
5,10,55,30,12m-1m,rev+oca+opm,1.391,58.24,41.86,0.743,2.55
10,10,40,40,12m-1m,rev+oca+gp,1.39,62.09,44.67,0.834,2.555
30,0,40,30,6m-1m,rev+oca+gp,1.39,62.44,44.92,0.759,2.78
15,15,45,25,12m-1m,rev+gp+opm,1.39,63.16,45.43,0.84,2.631
20,15,20,45,6m,rev+oca+opm,1.39,71.86,51.69,0.818,2.883
20,10,35,35,6m,rev+oca+gp,1.389,62.0,44.63,0.757,2.706
10,10,50,30,12m,rev+oca+opm,1.389,57.78,41.61,0.822,2.354
30,5,35,30,6m-1m,rev+gp+opm,1.387,61.81,44.57,0.755,2.78
20,5,25,50,6m,rev+oca+opm,1.387,68.86,49.65,0.802,2.817
15,5,45,35,6m,rev+gp+opm,1.386,63.34,45.71,0.839,2.661
25,15,20,40,12m-1m,rev+oca+gp,1.383,65.79,47.59,0.781,2.856
20,15,30,35,6m-1m,rev+oca+opm,1.383,64.1,46.36,0.77,2.767
25,10,45,20,12m,rev+oca+opm,1.383,61.33,44.35,0.824,2.615
0,0,65,35,12m-1m,rev+oca+opm,1.38,57.46,41.64,0.822,2.374
10,5,55,30,12m,rev+oca+gp,1.379,58.16,42.17,0.827,2.352
30,0,40,30,12m-1m,rev+oca+gp,1.379,60.31,43.72,0.82,2.59
30,0,45,25,12m,rev+oca+gp,1.379,66.49,48.21,0.786,2.833
15,5,50,30,12m-1m,rev+oca+opm,1.379,61.22,44.39,0.85,2.492
0,0,70,30,6m-1m,rev+oca+gp,1.378,64.24,46.62,0.786,2.676
15,0,40,45,12m-1m,rev+oca+opm,1.378,60.5,43.89,0.845,2.445
5,10,55,30,12m,rev+oca+opm,1.377,54.6,39.65,0.796,2.272
10,10,50,30,6m-1m,rev+oca+opm,1.377,55.84,40.55,0.724,2.539
25,0,55,20,12m,rev+oca+opm,1.377,67.66,49.14,0.872,2.634
0,5,65,30,6m,rev+oca+gp,1.376,54.23,39.41,0.796,2.334
15,5,30,50,12m-1m,rev+oca+opm,1.376,56.39,40.97,0.812,2.369
15,0,65,20,12m,rev+oca+gp,1.375,63.0,45.81,0.765,2.694
25,0,40,35,6m,rev+oca+opm,1.375,60.76,44.18,0.741,2.736
0,5,60,35,12m,rev+gp+opm,1.374,62.41,45.42,0.86,2.47
15,0,45,40,12m-1m,rev+gp+opm,1.374,63.78,46.43,0.871,2.497
20,10,30,40,12m-1m,rev+oca+gp,1.373,62.94,45.85,0.838,2.605
25,15,30,30,12m-1m,rev+oca+opm,1.373,61.7,44.93,0.756,2.705
0,10,55,35,12m-1m,rev+oca+opm,1.372,55.3,40.32,0.804,2.363
15,10,30,45,12m-1m,rev+oca+opm,1.371,59.28,43.24,0.835,2.408
15,0,55,30,12m,rev+oca+gp,1.37,63.18,46.12,0.84,2.555
30,5,35,30,12m-1m,rev+gp+opm,1.37,61.4,44.82,0.754,2.719
0,5,55,40,6m-1m,rev+oca+opm,1.37,56.51,41.26,0.636,2.734
5,0,55,40,12m-1m,rev+oca+opm,1.37,56.83,41.47,0.815,2.377
5,15,40,40,6m,rev+oca+opm,1.37,61.6,44.95,0.854,2.481
25,15,40,20,12m,rev+oca+opm,1.37,59.45,43.4,0.739,2.689
30,15,40,15,12m,rev+oca+opm,1.37,56.74,41.42,0.722,2.618
20,5,50,25,6m,rev+oca+opm,1.369,64.54,47.14,0.847,2.668
20,15,35,30,12m,rev+oca+gp,1.368,71.24,52.06,0.81,2.974
20,15,25,40,12m,rev+gp+opm,1.368,63.35,46.3,0.841,2.624
10,5,35,50,6m,rev+oca+opm,1.368,60.76,44.41,0.846,2.374
25,15,40,20,6m-1m,rev+oca+opm,1.368,60.04,43.9,0.743,2.709
5,10,45,40,6m-1m,rev+gp+opm,1.367,59.19,43.29,0.835,2.424
30,5,45,20,12m-1m,rev+oca+opm,1.367,62.89,46.0,0.761,2.752
10,5,50,35,12m-1m,rev+gp+opm,1.366,62.18,45.51,0.861,2.457
5,5,55,35,6m-1m,rev+oca+gp,1.365,59.71,43.76,0.754,2.576
30,5,45,20,12m,rev+gp+opm,1.365,64.87,47.53,0.682,2.991
10,0,40,50,12m-1m,rev+oca+opm,1.365,59.65,43.7,0.837,2.425
20,15,40,25,6m-1m,rev+oca+opm,1.365,59.36,43.48,0.653,2.953
25,0,30,45,12m,rev+gp+opm,1.364,67.81,49.71,0.793,2.782
15,5,35,45,12m-1m,rev+oca+opm,1.364,59.95,43.95,0.84,2.457
20,15,40,25,12m,rev+oca+opm,1.364,60.42,44.29,0.818,2.59
25,5,35,35,6m,rev+oca+opm,1.364,62.64,45.92,0.762,2.675
20,10,45,25,6m,rev+oca+gp,1.363,60.8,44.6,0.822,2.514
5,10,50,35,6m-1m,rev+oca+opm,1.362,57.02,41.88,0.638,2.812
25,0,30,45,6m,rev+oca+gp,1.361,64.9,47.69,0.769,2.7
20,0,30,50,6m,rev+oca+gp,1.36,68.29,50.2,0.796,2.814
10,5,50,35,12m,rev+gp+opm,1.36,62.79,46.17,0.866,2.439
25,10,45,20,12m-1m,rev+oca+opm,1.36,61.5,45.24,0.81,2.625
5,15,45,35,6m-1m,rev+oca+gp,1.358,56.14,41.35,0.81,2.361
10,5,55,30,12m-1m,rev+gp+opm,1.358,59.53,43.83,0.84,2.381
5,10,40,45,6m-1m,rev+oca+opm,1.358,59.08,43.49,0.746,2.621
15,0,35,50,6m,rev+oca+opm,1.358,63.98,47.11,0.871,2.501
15,15,25,45,6m,rev+oca+opm,1.358,64.82,47.73,0.784,2.724
10,5,45,40,6m,rev+gp+opm,1.357,60.99,44.94,0.848,2.448
20,15,20,45,12m-1m,rev+gp+opm,1.357,62.75,46.26,0.837,2.64
25,10,30,35,6m,rev+gp+opm,1.357,58.78,43.3,0.736,2.682
30,5,30,35,6m,rev+oca+opm,1.357,63.18,46.57,0.756,2.838
10,15,50,25,12m,rev+gp+opm,1.356,58.88,43.43,0.833,2.395
10,10,50,30,6m-1m,rev+oca+gp,1.355,53.62,39.58,0.79,2.315
10,15,40,35,12m-1m,rev+oca+gp,1.355,64.5,47.61,0.849,2.661
5,5,50,40,12m-1m,rev+oca+opm,1.355,54.87,40.5,0.799,2.332
10,10,35,45,12m,rev+oca+opm,1.355,59.65,44.01,0.837,2.381
15,15,40,30,6m-1m,rev+oca+opm,1.355,58.67,43.29,0.734,2.72
10,5,45,40,6m,rev+oca+gp,1.354,61.7,45.57,0.854,2.468
30,5,20,45,6m-1m,rev+oca+gp,1.354,60.18,44.45,0.749,2.66
20,0,55,25,12m-1m,rev+gp+opm,1.354,64.65,47.75,0.848,2.635
5,15,45,35,12m,rev+oca+opm,1.354,60.75,44.85,0.846,2.488
10,15,30,45,6m,rev+oca+gp,1.353,68.61,50.69,0.809,2.797
15,5,50,30,6m,rev+oca+gp,1.353,64.54,47.72,0.848,2.671
5,10,40,45,12m-1m,rev+oca+opm,1.353,62.1,45.92,0.857,2.496
5,10,45,40,12m,rev+oca+opm,1.353,58.82,43.47,0.831,2.384
10,15,35,40,12m-1m,rev+gp+opm,1.352,53.54,39.61,0.789,2.259
15,10,40,35,6m,rev+gp+opm,1.352,63.22,46.76,0.839,2.637
0,5,60,35,12m,rev+oca+gp,1.351,56.55,41.87,0.813,2.4
15,15,40,30,6m-1m,rev+gp+opm,1.351,61.83,45.77,0.829,2.638
30,10,35,25,12m,rev+gp+opm,1.351,58.99,43.66,0.737,2.656
10,0,40,50,12m,rev+oca+opm,1.351,60.29,44.62,0.842,2.378
10,15,30,45,6m,rev+oca+opm,1.35,66.25,49.08,0.794,2.753
20,10,40,30,12m-1m,rev+oca+opm,1.35,60.11,44.54,0.817,2.495
15,0,60,25,12m,rev+gp+opm,1.348,62.76,46.55,0.835,2.563
20,10,25,45,6m,rev+gp+opm,1.348,64.75,48.04,0.774,2.751
20,0,50,30,6m,rev+oca+gp,1.347,60.29,44.77,0.818,2.543
30,0,50,20,12m-1m,rev+oca+opm,1.347,66.44,49.32,0.862,2.711
30,5,30,35,6m,rev+oca+gp,1.346,62.45,46.42,0.752,2.826
0,0,65,35,6m-1m,rev+oca+gp,1.345,57.77,42.96,0.742,2.54
15,0,55,30,6m,rev+oca+gp,1.345,61.34,45.6,0.824,2.553
15,15,40,30,12m-1m,rev+oca+opm,1.345,61.96,46.08,0.829,2.513
30,15,30,25,12m,rev+oca+opm,1.345,60.09,44.68,0.744,2.706
15,0,35,50,12m-1m,rev+oca+opm,1.344,59.96,44.62,0.84,2.424
10,5,45,40,12m-1m,rev+oca+gp,1.343,57.56,42.87,0.824,2.359
25,15,35,25,12m,rev+oca+gp,1.343,57.78,43.03,0.732,2.652
30,5,30,35,12m,rev+gp+opm,1.343,59.79,44.53,0.815,2.559
15,5,40,40,6m,rev+oca+opm,1.343,60.32,44.91,0.806,2.569
25,0,30,45,12m-1m,rev+oca+opm,1.343,59.94,44.62,0.813,2.584
10,10,45,35,6m-1m,rev+oca+gp,1.34,53.39,39.83,0.788,2.247
5,15,45,35,6m,rev+gp+opm,1.34,57.5,42.92,0.822,2.388
15,5,55,25,12m,rev+gp+opm,1.34,64.09,47.83,0.844,2.545
0,15,55,30,6m-1m,rev+oca+opm,1.34,53.44,39.89,0.707,2.484
30,0,30,40,12m,rev+oca+opm,1.34,57.51,42.91,0.798,2.392
5,15,50,30,6m,rev+oca+gp,1.339,53.91,40.27,0.792,2.372
25,5,25,45,12m,rev+oca+opm,1.339,60.44,45.12,0.818,2.367
25,5,45,25,6m-1m,rev+oca+opm,1.339,58.32,43.56,0.805,2.521
5,0,55,40,6m-1m,rev+oca+gp,1.338,59.95,44.8,0.755,2.602
20,15,25,40,12m-1m,rev+oca+gp,1.338,66.79,49.92,0.788,2.874
20,15,45,20,12m-1m,rev+oca+gp,1.338,59.36,44.37,0.812,2.602
20,5,30,45,6m-1m,rev+gp+opm,1.338,65.05,48.63,0.776,2.735
20,15,20,45,12m-1m,rev+oca+opm,1.336,63.71,47.68,0.76,2.91
10,15,30,45,12m-1m,rev+oca+opm,1.335,55.0,41.2,0.803,2.315
30,0,50,20,12m,rev+oca+opm,1.335,62.63,46.92,0.76,2.766
30,0,35,35,12m,rev+oca+gp,1.334,62.45,46.8,0.834,2.617
25,0,25,50,6m,rev+gp+opm,1.334,65.37,49.02,0.779,2.751
20,10,30,40,6m-1m,rev+oca+opm,1.333,58.73,44.07,0.736,2.621
30,10,35,25,12m-1m,rev+oca+opm,1.333,56.91,42.69,0.725,2.67
15,10,50,25,12m,rev+oca+gp,1.332,59.73,44.86,0.815,2.506
25,10,35,30,6m-1m,rev+gp+opm,1.331,63.06,47.38,0.764,2.672
30,10,40,20,12m,rev+gp+opm,1.331,64.5,48.47,0.771,2.784
0,10,55,35,6m,rev+oca+gp,1.33,57.65,43.36,0.821,2.461
5,10,45,40,6m,rev+gp+opm,1.33,54.53,41.01,0.797,2.302
20,0,55,25,12m-1m,rev+oca+opm,1.33,61.52,46.27,0.827,2.553
20,10,50,20,12m,rev+oca+opm,1.33,58.74,44.15,0.805,2.545
20,10,50,20,12m-1m,rev+oca+opm,1.33,59.48,44.72,0.811,2.563
10,0,45,45,6m-1m,rev+oca+gp,1.329,57.86,43.54,0.741,2.52
10,15,35,40,6m,rev+oca+gp,1.329,69.07,51.96,0.876,2.813
25,15,20,40,12m-1m,rev+oca+opm,1.329,67.01,50.42,0.78,2.957
5,5,55,35,12m,rev+oca+gp,1.328,61.66,46.41,0.854,2.475
10,10,35,45,6m,rev+gp+opm,1.327,59.7,44.98,0.814,2.512
30,5,20,45,6m-1m,rev+gp+opm,1.326,61.46,46.34,0.757,2.8
0,15,50,35,12m,rev+oca+opm,1.326,55.98,42.23,0.809,2.354
30,0,45,25,12m,rev+gp+opm,1.325,65.34,49.3,0.855,2.61
10,5,50,35,6m-1m,rev+oca+gp,1.324,53.51,40.41,0.789,2.299
20,0,45,35,12m-1m,rev+oca+gp,1.324,67.96,51.34,0.876,2.665
30,5,25,40,12m,rev+oca+gp,1.324,62.84,47.46,0.765,2.614
0,10,55,35,12m,rev+gp+opm,1.324,59.14,44.66,0.834,2.429
20,15,20,45,6m,rev+gp+opm,1.324,69.51,52.51,0.794,2.958
0,10,60,30,12m,rev+gp+opm,1.323,59.34,44.87,0.836,2.391
25,0,55,20,12m,rev+gp+opm,1.323,65.57,49.58,0.779,2.678
20,10,30,40,6m,rev+oca+gp,1.322,56.42,42.68,0.721,2.544
25,15,25,35,12m,rev+oca+gp,1.322,65.72,49.73,0.774,2.871
25,0,20,55,6m-1m,rev+gp+opm,1.322,59.86,45.27,0.753,2.573
0,5,55,40,6m,rev+oca+opm,1.322,55.51,41.99,0.804,2.325
25,10,45,20,12m,rev+oca+gp,1.321,62.77,47.51,0.836,2.59
5,5,60,30,12m,rev+gp+opm,1.321,59.14,44.76,0.834,2.353
10,10,45,35,12m,rev+oca+opm,1.321,57.48,43.51,0.821,2.338
10,15,45,30,12m,rev+oca+opm,1.321,57.31,43.39,0.818,2.362
25,0,55,20,12m,rev+oca+gp,1.32,68.07,51.57,0.877,2.671
30,5,25,40,12m,rev+oca+opm,1.32,62.05,47.02,0.759,2.648
5,10,60,25,12m,rev+gp+opm,1.319,57.48,43.58,0.821,2.348
30,15,30,25,12m-1m,rev+oca+opm,1.318,57.4,43.54,0.728,2.645
20,15,25,40,6m,rev+oca+opm,1.317,62.24,47.27,0.756,2.67
25,0,25,50,6m,rev+oca+opm,1.317,68.28,51.84,0.796,2.771
15,0,50,35,6m,rev+oca+gp,1.316,61.69,46.89,0.815,2.665
20,15,45,20,6m-1m,rev+oca+gp,1.316,56.03,42.57,0.786,2.436
30,0,40,30,6m-1m,rev+gp+opm,1.315,68.97,52.46,0.799,2.951
5,5,60,30,6m,rev+oca+gp,1.314,54.54,41.51,0.797,2.363
