v,q,g,m,mom,g_sub,cal,cagr,mdd,sharpe,sortino
0,0,55,45,12m,rev+oca+opm,1.717,71.73,41.77,0.926,2.679
25,5,20,50,6m-1m,rev+oca+gp,1.713,74.06,43.23,0.836,3.034
0,5,55,40,12m,rev+oca+opm,1.713,70.08,40.91,0.916,2.652
25,5,30,40,12m,rev+oca+opm,1.71,71.32,41.69,0.898,2.826
25,5,35,35,12m,rev+oca+opm,1.709,70.78,41.43,0.894,2.797
10,0,50,40,12m,rev+oca+gp,1.707,73.33,42.96,0.911,2.824
0,0,60,40,12m,rev+oca+opm,1.707,71.3,41.76,0.925,2.675
15,0,55,30,12m,rev+oca+opm,1.705,70.06,41.1,0.918,2.656
15,15,40,30,6m,rev+oca+gp,1.703,73.82,43.35,0.831,2.996
10,5,45,40,12m,rev+oca+gp,1.701,75.85,44.59,0.921,2.836
20,15,35,30,12m-1m,rev+oca+gp,1.7,71.39,42.0,0.901,2.796
15,10,40,35,12m-1m,rev+gp+opm,1.7,71.99,42.35,0.902,2.743
15,15,30,40,12m,rev+gp+opm,1.7,72.46,42.64,0.905,2.795
20,0,45,35,12m,rev+gp+opm,1.7,80.69,47.46,0.96,2.953
20,0,45,35,12m-1m,rev+oca+opm,1.699,74.32,43.74,0.918,2.831
10,5,50,35,12m-1m,rev+oca+opm,1.698,69.36,40.84,0.917,2.67
20,0,35,45,12m,rev+oca+gp,1.695,79.19,46.73,0.951,2.915
15,5,45,35,12m,rev+gp+opm,1.687,73.55,43.6,0.911,2.767
25,0,50,25,12m,rev+oca+opm,1.685,77.35,45.91,0.939,2.811
10,10,40,40,6m,rev+oca+gp,1.683,70.94,42.14,0.893,2.795
20,5,40,35,12m,rev+oca+opm,1.683,74.84,44.47,0.921,2.858
15,0,40,45,12m,rev+oca+opm,1.682,73.63,43.79,0.91,2.811
20,5,35,40,12m,rev+oca+opm,1.681,77.68,46.2,0.941,2.949
0,15,50,35,6m,rev+oca+gp,1.68,69.72,41.51,0.916,2.673
15,5,50,30,12m,rev+oca+gp,1.679,72.21,43.0,0.904,2.716
25,0,50,25,12m-1m,rev+oca+gp,1.679,72.99,43.47,0.911,2.815
15,15,35,35,12m-1m,rev+gp+opm,1.677,69.21,41.27,0.882,2.787
15,15,40,30,12m,rev+gp+opm,1.677,70.4,41.98,0.888,2.748
15,5,45,35,12m,rev+oca+opm,1.675,73.68,44.0,0.913,2.793
10,10,45,35,12m-1m,rev+oca+gp,1.672,72.79,43.54,0.907,2.786
15,15,45,25,6m,rev+oca+gp,1.67,67.42,40.36,0.852,2.831
15,15,30,40,12m-1m,rev+gp+opm,1.67,71.25,42.67,0.897,2.81
20,5,45,30,6m-1m,rev+gp+opm,1.67,70.46,42.2,0.71,3.251
25,10,25,40,12m,rev+gp+opm,1.67,72.17,43.22,0.822,2.763
15,0,45,40,12m-1m,rev+oca+gp,1.669,73.82,44.22,0.914,2.839
5,5,55,35,12m-1m,rev+gp+opm,1.666,71.39,42.85,0.932,2.706
10,0,45,45,12m,rev+oca+gp,1.662,73.3,44.11,0.911,2.815
15,0,40,45,6m,rev+oca+gp,1.66,69.02,41.58,0.865,2.754
30,15,20,35,12m-1m,rev+oca+opm,1.659,70.97,42.78,0.803,3.144
20,0,50,30,12m-1m,rev+oca+gp,1.658,74.15,44.72,0.919,2.798
10,15,45,30,6m,rev+oca+gp,1.654,69.22,41.84,0.881,2.776
30,0,40,30,12m-1m,rev+oca+opm,1.654,72.94,44.09,0.909,2.91
15,15,35,35,12m,rev+gp+opm,1.653,69.41,41.98,0.884,2.763
15,10,40,35,12m-1m,rev+oca+opm,1.653,68.11,41.19,0.874,2.733
15,0,50,35,12m,rev+gp+opm,1.651,74.37,45.05,0.917,2.813
25,0,25,50,6m-1m,rev+oca+gp,1.648,74.48,45.19,0.839,3.006
20,0,50,30,12m-1m,rev+gp+opm,1.648,77.01,46.72,0.935,2.894
30,5,35,30,12m-1m,rev+oca+opm,1.647,70.31,42.7,0.809,2.988
20,5,45,30,12m,rev+oca+gp,1.645,77.68,47.22,0.94,2.862
5,0,55,40,12m,rev+oca+opm,1.645,67.77,41.19,0.898,2.612
20,15,40,25,12m-1m,rev+oca+gp,1.644,69.67,42.37,0.886,2.78
10,0,50,40,12m-1m,rev+oca+opm,1.644,66.12,40.21,0.888,2.575
20,10,30,40,12m,rev+oca+opm,1.644,70.43,42.84,0.891,2.767
25,0,35,40,6m,rev+oca+opm,1.643,70.9,43.16,0.812,2.881
30,0,40,30,12m,rev+oca+opm,1.643,71.99,43.81,0.902,2.8
10,10,40,40,12m-1m,rev+gp+opm,1.641,67.81,41.32,0.902,2.654
20,15,40,25,12m,rev+gp+opm,1.641,69.09,42.09,0.799,2.924
20,5,40,35,12m-1m,rev+oca+opm,1.641,70.13,42.73,0.891,2.747
30,0,20,50,6m-1m,rev+gp+opm,1.64,76.84,46.85,0.849,3.141
15,5,40,40,12m-1m,rev+gp+opm,1.639,72.88,44.46,0.908,2.788
15,15,40,30,12m-1m,rev+gp+opm,1.639,68.01,41.49,0.872,2.706
20,10,25,45,12m,rev+oca+opm,1.639,80.75,49.26,0.869,3.189
15,15,30,40,6m,rev+gp+opm,1.638,72.19,44.08,0.82,2.912
20,0,50,30,12m-1m,rev+oca+opm,1.638,70.49,43.04,0.893,2.806
15,10,50,25,12m,rev+gp+opm,1.637,74.71,45.63,0.92,2.837
25,0,30,45,12m,rev+oca+gp,1.636,70.73,43.24,0.81,2.835
20,5,40,35,12m-1m,rev+gp+opm,1.635,72.01,44.03,0.901,2.756
5,5,55,35,12m,rev+oca+opm,1.634,67.76,41.47,0.899,2.606
20,5,45,30,12m-1m,rev+oca+opm,1.634,69.69,42.64,0.886,2.76
15,15,40,30,6m,rev+gp+opm,1.633,71.61,43.84,0.899,2.782
25,0,50,25,12m,rev+oca+gp,1.632,77.87,47.72,0.944,2.892
15,0,50,35,12m-1m,rev+oca+opm,1.632,69.13,42.35,0.912,2.627
20,5,50,25,12m,rev+oca+opm,1.632,74.84,45.85,0.919,2.827
25,0,35,40,12m-1m,rev+oca+opm,1.63,71.9,44.12,0.902,2.871
25,5,25,45,6m,rev+oca+opm,1.629,80.55,49.46,0.858,3.107
20,15,30,35,12m-1m,rev+oca+gp,1.628,67.68,41.58,0.875,2.701
25,0,50,25,12m-1m,rev+oca+opm,1.628,71.74,44.07,0.903,2.842
15,15,25,45,6m,rev+oca+gp,1.626,79.15,48.67,0.857,3.16
25,10,35,30,12m-1m,rev+oca+opm,1.626,68.87,42.37,0.881,2.785
10,15,45,30,12m-1m,rev+oca+gp,1.624,73.32,45.14,0.911,2.838
20,0,40,40,12m-1m,rev+gp+opm,1.624,79.03,48.65,0.95,2.92
20,10,40,30,12m-1m,rev+gp+opm,1.623,67.68,41.71,0.872,2.68
25,0,30,45,6m,rev+oca+opm,1.622,75.43,46.51,0.839,2.929
10,10,50,30,12m,rev+gp+opm,1.621,68.54,42.28,0.91,2.566
15,15,25,45,12m-1m,rev+oca+gp,1.618,65.5,40.49,0.86,2.758
25,10,20,45,12m-1m,rev+oca+gp,1.618,70.18,43.38,0.809,2.934
5,0,55,40,12m,rev+oca+gp,1.616,67.37,41.69,0.896,2.588
20,0,45,35,12m-1m,rev+gp+opm,1.616,76.13,47.11,0.93,2.817
20,10,45,25,12m,rev+gp+opm,1.614,73.22,45.38,0.824,2.946
15,0,45,40,12m-1m,rev+oca+opm,1.614,70.47,43.67,0.925,2.652
25,5,40,30,12m,rev+gp+opm,1.613,70.77,43.88,0.894,2.721
25,15,30,30,12m,rev+oca+opm,1.613,71.11,44.09,0.813,2.987
10,5,50,35,6m,rev+oca+gp,1.612,63.96,39.67,0.872,2.543
15,10,35,40,12m-1m,rev+gp+opm,1.611,67.92,42.15,0.873,2.749
10,5,45,40,12m-1m,rev+gp+opm,1.61,68.94,42.83,0.91,2.667
25,0,35,40,12m,rev+gp+opm,1.61,77.64,48.22,0.851,3.015
10,10,35,45,6m,rev+oca+gp,1.609,70.38,43.75,0.875,2.798
20,0,55,25,12m,rev+oca+opm,1.609,71.27,44.3,0.895,2.781
10,15,40,35,6m,rev+oca+gp,1.608,71.84,44.69,0.899,2.823
20,5,30,45,12m,rev+oca+gp,1.608,69.36,43.12,0.884,2.625
25,10,40,25,12m-1m,rev+oca+gp,1.608,67.9,42.23,0.86,2.762
0,5,60,35,12m,rev+oca+opm,1.608,63.29,39.36,0.865,2.542
20,0,40,40,12m,rev+gp+opm,1.605,77.26,48.13,0.938,2.823
0,5,50,45,6m,rev+oca+opm,1.604,66.52,41.47,0.892,2.574
10,15,40,35,12m,rev+oca+gp,1.603,67.53,42.11,0.864,2.766
20,10,35,35,12m,rev+gp+opm,1.603,72.55,45.25,0.906,2.791
30,0,45,25,12m,rev+oca+opm,1.602,74.27,46.36,0.917,2.835
25,0,40,35,6m,rev+oca+gp,1.6,67.99,42.48,0.857,2.771
15,0,45,40,12m,rev+gp+opm,1.6,75.43,47.15,0.925,2.815
25,0,45,30,12m-1m,rev+oca+opm,1.599,69.57,43.51,0.888,2.724
20,5,40,35,12m-1m,rev+oca+gp,1.598,67.54,42.26,0.873,2.657
20,0,30,50,6m,rev+oca+opm,1.598,77.94,48.78,0.856,3.022
15,0,50,35,12m-1m,rev+oca+gp,1.596,71.91,45.04,0.901,2.774
25,0,50,25,12m,rev+gp+opm,1.591,77.72,48.85,0.941,2.835
5,0,55,40,12m-1m,rev+gp+opm,1.59,69.5,43.72,0.918,2.652
20,10,45,25,12m,rev+oca+opm,1.586,71.21,44.91,0.894,2.841
5,10,55,30,6m,rev+oca+gp,1.584,61.93,39.1,0.855,2.547
20,15,25,40,6m,rev+oca+gp,1.584,71.83,45.35,0.809,2.921
25,15,35,25,12m-1m,rev+oca+opm,1.584,67.16,42.4,0.782,2.926
20,5,45,30,12m,rev+gp+opm,1.58,71.01,44.94,0.895,2.693
25,5,35,35,12m,rev+gp+opm,1.579,69.47,44.0,0.885,2.695
10,15,40,35,12m,rev+gp+opm,1.578,65.85,41.72,0.857,2.714
20,10,40,30,12m-1m,rev+oca+gp,1.575,69.64,44.22,0.888,2.724
10,10,45,35,12m-1m,rev+gp+opm,1.575,63.39,40.24,0.871,2.537
25,10,35,30,12m,rev+gp+opm,1.575,68.4,43.42,0.877,2.72
20,0,30,50,12m-1m,rev+oca+gp,1.573,67.8,43.11,0.875,2.748
25,5,40,30,12m,rev+oca+gp,1.571,72.67,46.25,0.907,2.812
25,0,35,40,12m-1m,rev+gp+opm,1.57,69.3,44.14,0.884,2.785
25,0,45,30,12m-1m,rev+oca+gp,1.569,66.89,42.62,0.868,2.723
25,15,25,35,12m,rev+oca+opm,1.568,78.26,49.92,0.855,3.157
20,0,40,40,12m-1m,rev+oca+opm,1.565,73.32,46.86,0.912,2.788
25,5,50,20,12m,rev+oca+opm,1.563,71.01,45.44,0.894,2.815
10,10,35,45,12m-1m,rev+oca+gp,1.562,63.99,40.98,0.848,2.626
10,0,55,35,12m,rev+oca+opm,1.561,63.6,40.74,0.868,2.529
20,5,35,40,12m,rev+gp+opm,1.56,75.74,48.56,0.928,2.8
25,10,30,35,12m-1m,rev+oca+opm,1.56,67.94,43.55,0.795,2.912
15,15,40,30,12m,rev+oca+gp,1.559,65.78,42.2,0.856,2.708
20,15,40,25,12m-1m,rev+gp+opm,1.559,62.9,40.35,0.835,2.625
20,5,30,45,12m-1m,rev+oca+opm,1.559,69.96,44.86,0.888,2.824
15,5,55,25,12m,rev+oca+gp,1.557,66.96,43.0,0.867,2.677
20,0,35,45,6m,rev+oca+gp,1.557,66.13,42.46,0.861,2.624
20,0,35,45,12m-1m,rev+oca+gp,1.556,69.49,44.65,0.888,2.765
15,10,40,35,12m,rev+oca+opm,1.556,66.46,42.7,0.856,2.734
20,0,35,45,12m-1m,rev+gp+opm,1.555,74.91,48.17,0.922,2.816
30,5,30,35,12m-1m,rev+oca+opm,1.554,64.45,41.46,0.773,2.89
20,10,25,45,6m,rev+oca+gp,1.553,70.05,45.11,0.807,2.852
30,0,35,35,12m,rev+oca+opm,1.553,67.97,43.76,0.874,2.78
25,0,45,30,12m-1m,rev+gp+opm,1.552,72.26,46.56,0.904,2.797
20,15,20,45,12m-1m,rev+oca+gp,1.55,69.46,44.82,0.804,3.011
25,15,30,30,12m,rev+oca+gp,1.55,70.61,45.56,0.813,2.944
0,15,40,45,6m,rev+oca+opm,1.55,67.28,43.42,0.899,2.699
5,0,55,40,12m,rev+gp+opm,1.549,66.17,42.73,0.892,2.557
20,10,25,45,12m-1m,rev+gp+opm,1.549,65.75,42.44,0.859,2.674
10,5,45,40,12m-1m,rev+oca+opm,1.549,62.13,40.11,0.857,2.48
30,0,40,30,6m,rev+oca+opm,1.549,75.25,48.57,0.837,3.065
10,5,45,40,12m,rev+oca+opm,1.548,63.94,41.3,0.869,2.491
15,10,50,25,12m,rev+oca+opm,1.548,69.83,45.09,0.885,2.788
25,5,40,30,12m,rev+oca+opm,1.548,65.91,42.59,0.859,2.683
20,0,40,40,12m-1m,rev+oca+gp,1.547,71.46,46.2,0.898,2.753
25,5,30,40,12m-1m,rev+gp+opm,1.547,66.41,42.93,0.863,2.679
20,15,35,30,12m-1m,rev+gp+opm,1.545,64.0,41.43,0.845,2.631
25,0,30,45,12m,rev+oca+opm,1.545,69.84,45.21,0.885,2.64
5,5,50,40,12m,rev+gp+opm,1.543,65.38,42.37,0.886,2.543
30,0,45,25,12m-1m,rev+oca+opm,1.543,72.27,46.82,0.904,2.787
0,10,55,35,12m,rev+oca+opm,1.542,61.01,39.56,0.849,2.463
25,0,50,25,12m-1m,rev+gp+opm,1.541,74.24,48.19,0.917,2.872
20,10,30,40,6m,rev+oca+opm,1.54,72.18,46.87,0.82,2.94
25,0,40,35,12m-1m,rev+oca+opm,1.54,68.43,44.43,0.798,2.89
30,0,20,50,6m-1m,rev+oca+gp,1.538,62.99,40.95,0.767,2.899
15,10,30,45,6m,rev+gp+opm,1.537,72.43,47.13,0.821,2.9
20,0,30,50,12m,rev+oca+opm,1.533,71.83,46.86,0.899,2.614
30,5,25,40,12m-1m,rev+oca+gp,1.53,63.61,41.58,0.768,2.82
20,5,35,40,6m,rev+oca+gp,1.529,66.34,43.39,0.785,2.715
20,5,45,30,12m-1m,rev+gp+opm,1.529,70.39,46.04,0.891,2.704
25,10,40,25,6m-1m,rev+oca+gp,1.527,61.97,40.58,0.83,2.6
25,15,20,40,12m-1m,rev+gp+opm,1.527,66.19,43.33,0.784,2.906
5,5,45,45,12m,rev+oca+opm,1.524,63.88,41.91,0.87,2.516
20,10,35,35,12m-1m,rev+oca+opm,1.523,63.12,41.43,0.842,2.588
10,10,40,40,12m,rev+oca+gp,1.522,69.04,45.37,0.874,2.751
25,5,25,45,12m,rev+oca+gp,1.522,65.55,43.08,0.782,2.587
10,0,50,40,12m,rev+gp+opm,1.522,63.58,41.79,0.872,2.502
30,5,45,20,12m,rev+oca+opm,1.521,69.66,45.79,0.803,2.94
0,5,50,45,12m-1m,rev+oca+opm,1.52,60.81,40.02,0.849,2.478
20,0,40,40,12m,rev+oca+gp,1.519,75.3,49.59,0.924,2.815
25,10,30,35,12m,rev+gp+opm,1.519,67.05,44.13,0.868,2.646
5,10,45,40,6m,rev+oca+opm,1.519,63.98,42.14,0.872,2.547
30,10,40,20,12m,rev+oca+gp,1.518,64.31,42.37,0.772,2.729
15,10,40,35,6m,rev+oca+gp,1.517,67.92,44.79,0.872,2.695
20,5,50,25,12m,rev+gp+opm,1.517,69.99,46.13,0.886,2.699
25,15,30,30,12m,rev+gp+opm,1.516,63.47,41.86,0.766,2.751
15,5,45,35,6m-1m,rev+oca+gp,1.515,64.73,42.73,0.852,2.659
25,0,35,40,12m-1m,rev+oca+gp,1.515,65.22,43.06,0.855,2.705
25,5,30,40,12m,rev+gp+opm,1.513,69.28,45.8,0.884,2.61
0,10,60,30,6m,rev+oca+gp,1.512,59.3,39.21,0.834,2.469
15,15,45,25,12m,rev+oca+gp,1.512,65.89,43.59,0.858,2.694
5,10,45,40,6m,rev+oca+gp,1.51,64.04,42.41,0.872,2.567
15,10,40,35,12m-1m,rev+oca+gp,1.51,70.52,46.69,0.894,2.754
30,5,30,35,12m,rev+oca+gp,1.51,65.63,43.45,0.782,2.829
15,15,45,25,6m-1m,rev+oca+gp,1.509,60.54,40.13,0.749,2.763
30,0,35,35,6m,rev+oca+opm,1.508,63.74,42.26,0.767,2.815
0,10,50,40,6m,rev+oca+opm,1.507,62.02,41.16,0.856,2.513
25,10,20,45,6m-1m,rev+oca+opm,1.505,72.81,48.37,0.828,2.987
30,0,35,35,12m,rev+gp+opm,1.504,73.68,48.98,0.914,2.831
20,0,50,30,6m,rev+oca+opm,1.504,72.64,48.29,0.887,2.846
30,5,40,25,12m-1m,rev+oca+opm,1.504,66.74,44.38,0.866,2.704
15,5,35,45,12m,rev+oca+opm,1.503,70.98,47.24,0.888,2.725
30,0,45,25,12m-1m,rev+oca+gp,1.502,66.82,44.5,0.787,2.877
25,5,30,40,12m-1m,rev+oca+opm,1.502,69.36,46.19,0.885,2.812
20,15,35,30,12m-1m,rev+oca+opm,1.501,65.52,43.64,0.842,2.756
10,15,45,30,12m,rev+oca+gp,1.5,63.78,42.52,0.842,2.672
15,5,50,30,12m,rev+gp+opm,1.498,70.07,46.79,0.888,2.677
15,15,35,35,6m,rev+oca+gp,1.497,68.04,45.45,0.793,2.93
25,5,25,45,12m,rev+gp+opm,1.497,66.08,44.15,0.781,2.801
10,0,45,45,12m-1m,rev+oca+opm,1.497,62.75,41.92,0.862,2.506
20,15,40,25,12m-1m,rev+oca+opm,1.497,65.4,43.68,0.853,2.69
30,10,30,30,12m-1m,rev+oca+opm,1.497,64.59,43.15,0.774,2.851
5,10,50,35,12m,rev+gp+opm,1.496,66.7,44.6,0.893,2.575
15,0,35,50,6m,rev+oca+gp,1.495,68.06,45.53,0.859,2.733
10,10,50,30,12m,rev+oca+gp,1.493,64.47,43.19,0.847,2.649
20,5,50,25,12m,rev+oca+gp,1.493,69.17,46.34,0.884,2.715
0,0,70,30,12m,rev+oca+opm,1.493,62.81,42.07,0.775,2.67
10,0,60,30,12m-1m,rev+oca+opm,1.493,59.48,39.83,0.839,2.438
20,10,25,45,6m,rev+oca+opm,1.493,77.76,52.07,0.853,3.027
30,5,30,35,12m,rev+oca+opm,1.493,65.78,44.06,0.78,2.856
30,15,25,30,12m-1m,rev+oca+opm,1.493,68.01,45.55,0.795,2.912
20,5,35,40,12m,rev+oca+gp,1.492,66.41,44.51,0.863,2.616
20,15,25,40,12m,rev+oca+gp,1.492,75.65,50.71,0.836,3.115
