v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
15,5,30,50,6m-1m,5,8,5,-0.1,-0.15,0.65,2.317,72.86,31.45,1.566,2.246,4.8
20,5,25,50,6m-1m,5,8,5,-0.12,-0.15,0.65,2.315,70.28,30.36,1.539,2.249,4.7
20,5,25,50,6m-1m,5,8,5,-0.12,-0.15,0.6,2.315,70.28,30.36,1.539,2.249,4.7
20,10,20,50,6m-1m,5,8,7,-0.08,-0.15,0.6,2.315,60.35,26.07,1.399,1.955,5.2
20,10,20,50,6m-1m,5,8,7,-0.08,-0.15,0.65,2.315,60.35,26.07,1.399,1.955,5.2
20,10,20,50,6m-1m,5,8,7,-0.08,-0.15,,2.315,60.35,26.07,1.399,1.955,5.2
20,5,25,50,6m-1m,5,8,5,-0.12,-0.15,,2.315,70.28,30.36,1.539,2.249,4.7
20,10,20,50,6m-1m,5,8,7,,-0.15,0.65,2.314,61.14,26.43,1.419,1.985,5.2
20,10,20,50,6m-1m,5,8,7,,-0.15,,2.314,61.14,26.43,1.419,1.985,5.2
20,10,20,50,6m-1m,5,8,7,,-0.15,0.6,2.314,61.14,26.43,1.419,1.985,5.2
20,10,20,50,6m-1m,5,8,7,-0.1,-0.15,,2.312,60.97,26.37,1.412,1.976,5.2
20,10,20,50,6m-1m,5,8,7,-0.1,-0.15,0.65,2.312,60.97,26.37,1.412,1.976,5.2
20,10,20,50,6m-1m,5,8,7,-0.1,-0.15,0.6,2.312,60.97,26.37,1.412,1.976,5.2
15,5,30,50,6m-1m,5,8,7,,-0.15,0.6,2.312,75.26,32.55,1.631,2.354,5.3
15,5,30,50,6m-1m,5,8,7,,-0.15,,2.312,75.26,32.55,1.631,2.354,5.3
15,5,30,50,6m-1m,5,8,7,,-0.15,0.65,2.312,75.26,32.55,1.631,2.354,5.3
15,10,25,50,6m-1m,5,8,5,,-0.15,0.6,2.31,73.83,31.96,1.589,2.273,4.8
15,10,25,50,6m-1m,5,8,5,,-0.15,0.65,2.31,73.83,31.96,1.589,2.273,4.8
15,10,25,50,6m-1m,5,8,5,,-0.15,,2.31,73.83,31.96,1.589,2.273,4.8
15,5,30,50,6m-1m,5,8,7,-0.12,-0.15,0.65,2.304,75.31,32.68,1.63,2.353,5.3
15,5,30,50,6m-1m,5,8,7,-0.12,-0.15,0.6,2.304,75.31,32.68,1.63,2.353,5.3
15,5,30,50,6m-1m,5,8,7,-0.12,-0.15,,2.304,75.31,32.68,1.63,2.353,5.3
15,10,25,50,6m-1m,5,8,7,-0.12,,,2.284,67.55,29.57,1.521,2.183,5.2
15,10,25,50,6m-1m,5,8,7,-0.12,,0.65,2.284,67.55,29.57,1.521,2.183,5.2
15,10,25,50,6m-1m,5,8,7,-0.12,,0.6,2.284,67.55,29.57,1.521,2.183,5.2
20,15,25,40,12m-1m,5,8,5,,-0.15,,2.279,66.62,29.24,1.504,2.251,4.8
20,15,25,40,12m-1m,5,8,5,,-0.15,0.65,2.279,66.62,29.24,1.504,2.251,4.8
20,15,25,40,12m-1m,5,8,5,,-0.15,0.6,2.279,66.62,29.24,1.504,2.251,4.8
15,10,25,50,6m-1m,5,15,7,-0.08,-0.15,0.6,2.273,68.34,30.07,1.571,2.221,6.1
15,10,25,50,6m-1m,5,15,7,-0.08,-0.15,0.65,2.273,68.34,30.07,1.571,2.221,6.1
15,10,25,50,6m-1m,5,15,7,-0.08,-0.15,,2.273,68.34,30.07,1.571,2.221,6.1
15,5,30,50,6m-1m,5,8,7,-0.08,-0.15,0.6,2.261,75.55,33.41,1.623,2.357,5.2
15,5,30,50,6m-1m,5,8,7,-0.08,-0.15,,2.261,75.55,33.41,1.623,2.357,5.2
15,5,30,50,6m-1m,5,8,7,-0.08,-0.15,0.65,2.261,75.55,33.41,1.623,2.357,5.2
