defense,offense,rule,boost_pct,approx_calmar,calmar,cagr,mdd,sharpe,sortino
12,1,Breadth30_3d,70.55167055167055,4.861253788173594,4.223,114.33,27.07,1.885,3.093
12,0,KQ_MA60_3d,58.5081585081585,4.835958724699666,4.221,112.63,26.68,1.954,3.031
5,0,KP_MA200_1d,54.07925407925408,5.159890911446155,4.2,127.59,30.38,2.055,3.253
31,0,KP_MA200_1d,54.07925407925408,5.155269768280802,4.174,126.47,30.3,2.043,3.228
5,1,KP_MA200_1d,54.07925407925408,4.8214711296562305,4.174,126.8,30.38,2.039,3.241
15,4,Breadth30_3d,70.55167055167055,4.84359302785409,4.168,115.51,27.72,2.085,3.3
5,0,Breadth30_5d,70.16317016317016,4.823399691040862,4.153,112.45,27.07,1.88,3.047
31,1,KP_MA200_1d,54.07925407925408,4.817028701489076,4.148,125.69,30.3,2.026,3.215
12,0,Breadth30_3d,70.55167055167055,5.079535837225573,4.142,112.13,27.07,1.875,3.055
5,0,KP_MA120_5d,57.73115773115774,4.820002854227748,4.12,120.53,29.25,1.988,3.132
5,4,Breadth40_7d,55.78865578865578,4.779586735434197,4.061,116.33,28.65,2.079,3.18
31,0,KP_MA120+VIX_lt25_5d,56.17715617715617,4.738899988395377,4.044,133.32,32.97,2.098,3.291
5,0,KP_MA120_1d,58.04195804195804,5.090417254674499,4.016,110.6,27.54,1.887,2.994
15,0,KK_MA120_7d,49.805749805749805,4.831743531032663,4.009,117.06,29.2,1.973,3.084
5,1,KP_MA120_1d,58.04195804195804,4.75497096340908,4.007,109.91,27.43,1.871,2.982
5,0,KK_MA120_7d,49.805749805749805,4.803159403900475,4.004,120.76,30.16,2.008,3.133
5,0,KP_MA120+VIX_lt25_1d,55.08935508935509,4.985122137536525,3.997,110.07,27.54,1.877,3.022
14,0,KK_MA120_7d,49.805749805749805,4.951076356807328,3.992,119.63,29.97,1.997,3.12
5,0,KQ_MA120_3d,55.16705516705517,4.8209933283155255,3.986,115.87,29.07,1.939,2.995
7,0,KP_MA200_1d,54.07925407925408,5.011979470694703,3.957,121.75,30.77,1.995,3.168
12,0,KP_MA200_1d,54.07925407925408,5.0031082650616305,3.949,123.66,31.32,2.024,3.182
31,0,KP_MA120_1d,58.04195804195804,4.755777295107126,3.921,111.43,28.42,1.9,3.017
5,0,Breadth40_1d,53.923853923853926,4.73094658232196,3.883,130.97,33.73,2.087,3.264
31,0,Breadth30_1d,71.17327117327117,4.762229564663306,3.856,125.56,32.56,1.998,3.306
12,0,KP_MA120_1d,58.04195804195804,4.8379611032848,3.852,110.85,28.78,1.899,3.012
31,1,Breadth30_3d,70.55167055167055,4.8522931333671835,3.827,114.54,29.93,1.888,3.103
5,2,KP_MA20_7d,56.72105672105672,4.957391656388012,3.792,104.25,27.49,1.905,3.037
31,0,KQ_MA60_5d,57.4980574980575,4.73643697635622,3.779,119.78,31.69,2.011,3.092
31,0,KP_MA200_5d,53.45765345765345,5.747997363565389,3.759,124.71,33.18,2.06,3.191
17,4,KP_MA200_5d,53.45765345765345,4.9680429799445385,3.756,120.28,32.03,2.132,3.315
31,0,Breadth30_3d,70.55167055167055,5.070349596896735,3.754,112.34,29.93,1.879,3.064
12,0,Breadth40_1d,53.923853923853926,4.9172630966229836,3.753,132.73,35.36,2.132,3.389
17,1,Breadth30_3d,70.55167055167055,4.921817129362879,3.752,112.56,30.0,1.87,3.072
31,4,KP_MA200_7d,53.3022533022533,4.932092870657926,3.749,122.95,32.8,2.148,3.414
