v,q,g,m,mom,g_sub,cal,cagr,mdd,sharpe,sortino
20,0,25,55,6m-1m,rev+opm 7:3,0.573,38.23,66.69,0.967,1.482
35,10,20,35,6m-1m,rev+opm 7:3,0.573,40.25,70.25,0.559,2.364
20,15,20,45,6m,rev+opm 7:3,0.572,37.7,65.9,0.712,1.601
5,15,20,60,6m,rev+opm 7:3,0.571,37.93,66.4,0.936,1.4
25,20,25,30,6m,raccel+opm 5:5,0.569,30.03,52.75,0.819,1.203
25,10,20,45,6m,rev+opm 7:3,0.569,38.32,67.3,0.788,1.527
35,15,10,40,6m,rev+oca 7:3,0.565,43.52,77.07,0.506,2.928
15,5,20,60,6m,rev+opm 7:3,0.565,38.84,68.72,0.968,1.415
15,15,30,40,6m,rev+opm 7:3,0.565,35.81,63.33,0.753,1.544
10,10,30,50,6m,rev+opm 7:3,0.562,35.3,62.84,0.897,1.313
30,10,30,30,6m-1m,rev+opm 7:3,0.56,39.59,70.74,0.556,2.196
10,10,15,65,6m-1m,rev+opm 7:3,0.558,39.23,70.35,0.977,1.428
35,15,15,35,6m,raccel+opm 5:5,0.557,39.79,71.4,0.544,2.218
0,5,35,60,6m-1m,rev+opm 7:3,0.556,34.26,61.56,0.883,1.333
30,20,30,20,6m-1m,raccel+opm 5:5,0.555,29.2,52.59,0.811,1.24
25,15,30,30,6m,raccel+opm 5:5,0.553,27.3,49.34,0.764,1.147
10,10,20,60,6m,rev+oca 7:3,0.553,39.48,71.44,0.955,1.381
35,10,15,40,6m,rev+oca 7:3,0.552,42.29,76.61,0.503,2.802
25,5,20,50,6m,rev+opm 7:3,0.552,39.29,71.15,0.798,1.564
25,5,20,50,6m-1m,rev+opm 7:3,0.552,38.28,69.32,0.944,1.411
15,0,35,50,6m-1m,rev+oca 7:3,0.551,33.91,61.54,0.877,1.338
30,5,15,50,6m-1m,rev+opm 7:3,0.55,36.03,65.56,0.584,1.915
0,5,30,65,6m-1m,rev+oca 7:3,0.548,36.61,66.83,0.929,1.373
30,10,25,35,6m-1m,raccel+opm 5:5,0.547,31.99,58.52,0.86,1.261
15,0,35,50,6m-1m,rev+opm 7:3,0.545,34.71,63.71,0.892,1.352
25,20,25,30,6m-1m,raccel+opm 5:5,0.543,32.97,60.67,0.872,1.317
0,10,30,60,6m-1m,rev+oca 7:3,0.543,34.64,63.77,0.896,1.343
10,10,35,45,6m,rev+opm 7:3,0.543,33.18,61.05,0.85,1.243
10,5,20,65,6m,rev+opm 7:3,0.542,37.91,69.93,0.937,1.372
10,20,35,35,6m,rev+opm 7:3,0.542,36.16,66.66,0.587,1.806
10,5,25,60,6m,rev+oca 7:3,0.541,38.44,71.13,0.95,1.387
20,10,25,45,6m,rev+opm 7:3,0.54,40.89,75.67,0.633,1.879
25,0,20,55,6m-1m,rev+opm 7:3,0.538,35.36,65.7,0.907,1.357
5,10,25,60,6m,rev+oca 7:3,0.536,35.85,66.94,0.895,1.315
0,10,30,60,6m,rev+opm 7:3,0.536,32.42,60.46,0.843,1.241
15,5,20,60,6m-1m,rev+opm 7:3,0.536,38.88,72.49,0.977,1.45
10,10,35,45,6m,rev+oca 7:3,0.531,35.15,66.18,0.744,1.448
30,20,5,45,6m-1m,rev+oca 7:3,0.529,33.94,64.21,0.922,1.377
0,10,35,55,6m,rev+oca 7:3,0.528,32.51,61.53,0.849,1.284
5,10,30,55,6m,rev+opm 7:3,0.528,31.68,60.06,0.833,1.228
15,10,25,50,6m,rev+opm 7:3,0.524,33.13,63.21,0.868,1.272
25,0,25,50,6m-1m,rev+opm 7:3,0.524,39.46,75.31,0.85,1.581
5,10,20,65,6m,rev+opm 7:3,0.523,35.54,67.94,0.892,1.301
10,15,30,45,6m-1m,rev+opm 7:3,0.522,28.47,54.51,0.566,1.496
35,10,25,30,6m,raccel+opm 5:5,0.521,32.83,63.06,0.879,1.361
5,20,30,45,6m,rev+oca 7:3,0.521,30.01,57.65,0.814,1.224
20,20,20,40,6m,rev+oca 7:3,0.52,31.27,60.13,0.642,1.472
15,0,25,60,6m,rev+opm 7:3,0.518,36.99,71.37,0.92,1.362
5,20,35,40,6m-1m,rev+oca 7:3,0.517,29.15,56.38,0.529,1.604
15,10,15,60,6m,rev+opm 7:3,0.515,34.05,66.12,0.879,1.29
0,20,15,65,6m,rev+oca 7:3,0.514,35.47,68.98,0.899,1.33
20,0,25,55,6m,rev+oca 7:3,0.511,40.03,78.27,0.806,1.52
35,10,5,50,6m-1m,raccel+opm 5:5,0.51,33.84,66.32,0.928,1.362
30,5,25,40,6m,raccel+opm 5:5,0.509,32.99,64.77,0.875,1.321
15,5,30,50,6m-1m,rev+opm 7:3,0.508,32.92,64.85,0.864,1.301
30,15,30,25,6m-1m,raccel+opm 5:5,0.506,27.13,53.65,0.773,1.186
20,5,20,55,6m-1m,rev+opm 7:3,0.505,35.42,70.2,0.918,1.368
30,20,25,25,6m-1m,raccel+opm 5:5,0.504,25.9,51.41,0.749,1.13
10,15,20,55,6m,rev+oca 7:3,0.504,32.38,64.28,0.849,1.211
15,15,15,55,6m,rev+opm 7:3,0.504,35.66,70.71,0.913,1.342
10,10,25,55,6m-1m,rev+oca 7:3,0.502,32.45,64.62,0.867,1.266
5,0,35,60,6m-1m,rev+opm 7:3,0.501,35.86,71.52,0.901,1.341
30,20,5,45,6m-1m,rev+opm 7:3,0.5,32.8,65.61,0.898,1.342
15,0,30,55,6m,rev+oca 7:3,0.499,35.75,71.58,0.896,1.312
10,10,30,50,6m,rev+oca 7:3,0.497,29.46,59.32,0.79,1.117
35,10,30,25,6m,raccel+opm 5:5,0.496,30.93,62.4,0.846,1.312
30,0,20,50,6m,rev+opm 7:3,0.495,34.75,70.27,0.682,1.599
10,0,20,70,6m-1m,rev+opm 7:3,0.494,37.28,75.39,0.938,1.327
5,10,25,60,6m,rev+opm 7:3,0.493,32.86,66.61,0.851,1.243
15,15,15,55,6m,rev+oca 7:3,0.49,29.12,59.38,0.799,1.161
25,20,10,45,6m,rev+opm 7:3,0.489,33.58,68.72,0.67,1.525
20,20,25,35,6m-1m,raccel+opm 5:5,0.488,26.97,55.3,0.764,1.124
0,15,25,60,6m,rev+oca 7:3,0.488,31.14,63.78,0.826,1.239
0,15,30,55,6m,rev+oca 7:3,0.488,30.67,62.87,0.816,1.226
0,10,35,55,6m,rev+opm 7:3,0.487,27.56,56.54,0.763,1.161
30,20,0,50,6m-1m,raccel+opm 5:5,0.486,31.06,63.87,0.877,1.275
30,20,0,50,6m-1m,rev+oca 7:3,0.486,31.06,63.87,0.877,1.275
30,20,0,50,6m-1m,rev+opm 7:3,0.486,31.06,63.87,0.877,1.275
5,15,30,50,6m,rev+oca 7:3,0.485,27.11,55.89,0.756,1.153
0,20,20,60,6m,rev+opm 7:3,0.484,29.63,61.17,0.8,1.227
20,20,30,30,6m,raccel+opm 5:5,0.483,26.07,54.0,0.741,1.102
25,20,30,25,6m-1m,raccel+opm 5:5,0.481,26.76,55.67,0.76,1.161
10,0,25,65,6m-1m,rev+opm 7:3,0.481,34.58,71.9,0.891,1.325
10,10,25,55,6m,rev+opm 7:3,0.48,33.45,69.67,0.866,1.249
20,5,20,55,6m,rev+opm 7:3,0.48,34.31,71.45,0.887,1.336
5,10,35,50,6m,rev+oca 7:3,0.479,28.54,59.53,0.786,1.185
15,15,25,45,6m-1m,rev+oca 7:3,0.479,28.6,59.67,0.568,1.416
35,10,20,35,6m-1m,raccel+opm 5:5,0.478,30.1,62.96,0.849,1.269
25,15,25,35,6m-1m,raccel+opm 5:5,0.477,26.99,56.62,0.764,1.156
15,15,25,45,6m,rev+oca 7:3,0.476,31.88,66.92,0.649,1.487
30,15,30,25,6m,raccel+opm 5:5,0.475,27.65,58.16,0.781,1.176
10,5,30,55,6m-1m,rev+opm 7:3,0.474,31.43,66.28,0.843,1.305
15,10,20,55,6m-1m,rev+oca 7:3,0.472,34.84,73.74,0.905,1.304
0,0,35,65,6m,raccel+opm 5:5,0.468,25.98,55.5,0.718,1.164
5,15,35,45,6m,rev+oca 7:3,0.468,29.26,62.56,0.792,1.215
10,5,20,65,6m-1m,rev+opm 7:3,0.468,34.1,72.9,0.891,1.267
5,0,35,60,6m-1m,rev+oca 7:3,0.465,33.37,71.73,0.867,1.319
5,10,25,60,6m-1m,rev+oca 7:3,0.463,31.52,68.05,0.838,1.229
20,10,20,50,6m-1m,rev+oca 7:3,0.463,30.19,65.16,0.832,1.194
10,15,20,55,6m-1m,rev+opm 7:3,0.462,31.07,67.29,0.844,1.245
15,5,30,50,6m-1m,rev+oca 7:3,0.46,29.52,64.13,0.803,1.21
10,10,25,55,6m-1m,rev+opm 7:3,0.459,29.24,63.76,0.81,1.203
10,10,20,60,6m-1m,rev+oca 7:3,0.458,34.22,74.77,0.895,1.275
10,10,15,65,6m,rev+opm 7:3,0.458,30.94,67.5,0.82,1.192
15,5,20,60,6m,rev+oca 7:3,0.457,32.7,71.55,0.851,1.221
