gs1,gs2,gr,v,q,g,m,mom,cagr,mdd,cal,sh,sort
rev_accel_z,gp_growth_z,0.0,40,10,30,20,6m,-13.32,45.13,-0.295,-0.174,-0.208
rev_accel_z,gp_growth_z,0.0,40,10,30,20,6m-1m,-9.82,38.73,-0.254,-0.091,-0.121
rev_accel_z,gp_growth_z,0.0,40,10,30,20,12m,-13.73,42.61,-0.322,-0.232,-0.297
rev_accel_z,gp_growth_z,0.0,40,10,30,20,12m-1m,-3.04,34.23,-0.089,0.106,0.14
rev_accel_z,gp_growth_z,0.0,35,15,25,25,6m,-27.37,58.84,-0.465,-0.571,-0.646
rev_accel_z,gp_growth_z,0.0,35,15,25,25,6m-1m,-5.98,37.13,-0.161,0.054,0.061
rev_accel_z,gp_growth_z,0.0,35,15,25,25,12m,-27.08,60.63,-0.447,-0.46,-0.471
rev_accel_z,gp_growth_z,0.0,35,15,25,25,12m-1m,-15.95,49.07,-0.325,-0.211,-0.237
rev_accel_z,gp_growth_z,0.0,30,10,30,30,6m,-29.6,62.28,-0.475,-0.643,-0.739
rev_accel_z,gp_growth_z,0.0,30,10,30,30,6m-1m,-28.23,61.91,-0.456,-0.623,-0.705
rev_accel_z,gp_growth_z,0.0,30,10,30,30,12m,-26.67,69.26,-0.385,-0.375,-0.379
rev_accel_z,gp_growth_z,0.0,30,10,30,30,12m-1m,-31.62,67.72,-0.467,-0.714,-0.849
rev_accel_z,gp_growth_z,0.0,10,40,30,20,6m,-34.76,68.59,-0.507,-0.776,-0.982
rev_accel_z,gp_growth_z,0.0,10,40,30,20,6m-1m,-33.15,68.13,-0.487,-0.73,-0.913
rev_accel_z,gp_growth_z,0.0,10,40,30,20,12m,-46.99,81.99,-0.573,-1.19,-1.392
rev_accel_z,gp_growth_z,0.0,10,40,30,20,12m-1m,-34.26,70.03,-0.489,-0.773,-0.973
rev_accel_z,gp_growth_z,0.0,15,35,25,25,6m,-39.17,74.7,-0.524,-0.935,-1.093
rev_accel_z,gp_growth_z,0.0,15,35,25,25,6m-1m,-23.85,60.93,-0.391,-0.453,-0.581
rev_accel_z,gp_growth_z,0.0,15,35,25,25,12m,-44.83,79.41,-0.565,-1.036,-1.134
rev_accel_z,gp_growth_z,0.0,15,35,25,25,12m-1m,-45.01,79.25,-0.568,-1.202,-1.426
rev_accel_z,gp_growth_z,0.0,20,30,20,30,6m,-30.91,63.57,-0.486,-0.688,-0.82
rev_accel_z,gp_growth_z,0.0,20,30,20,30,6m-1m,-18.37,50.17,-0.366,-0.277,-0.358
rev_accel_z,gp_growth_z,0.0,20,30,20,30,12m,-21.87,61.53,-0.355,-0.218,-0.23
rev_accel_z,gp_growth_z,0.0,20,30,20,30,12m-1m,-27.36,67.67,-0.404,-0.472,-0.51
