v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
15,0,40,45,6m-1m,1.25,51.58,41.25,1.249,1.805
10,15,45,30,12m-1m,1.249,56.55,45.26,1.311,2.017
10,10,45,35,12m-1m,1.248,60.07,48.14,1.355,2.094
5,10,25,60,12m-1m,1.248,45.91,36.78,1.15,1.624
5,20,20,55,12m,1.248,46.32,37.1,1.169,1.713
20,5,50,25,12m,1.247,59.09,47.39,1.352,2.012
10,5,40,45,6m,1.246,47.81,38.38,1.169,1.716
20,25,20,35,12m,1.246,50.15,40.24,1.234,1.789
10,0,40,50,6m,1.245,49.36,39.65,1.201,1.758
0,15,30,55,12m,1.244,49.25,39.59,1.205,1.801
15,25,20,40,6m,1.244,50.89,40.89,1.245,1.79
10,25,25,40,6m,1.244,52.24,41.98,1.255,1.815
15,0,30,55,6m,1.243,51.8,41.68,1.244,1.764
15,15,35,35,12m,1.242,55.58,44.75,1.288,1.912
0,10,40,50,12m-1m,1.242,53.11,42.76,1.266,1.875
20,10,30,40,6m-1m,1.242,43.0,34.61,1.117,1.528
10,10,20,60,12m-1m,1.241,44.96,36.22,1.143,1.631
10,20,30,40,12m-1m,1.239,49.39,39.87,1.187,1.735
15,10,35,40,12m-1m,1.238,50.55,40.84,1.204,1.706
5,15,40,40,12m-1m,1.238,51.26,41.4,1.208,1.842
10,0,35,55,6m-1m,1.238,54.44,43.99,1.304,1.842
25,20,15,40,12m,1.237,40.98,33.13,1.091,1.555
25,15,30,30,12m,1.236,51.04,41.3,1.246,1.812
5,35,10,50,6m,1.235,50.89,41.19,1.25,1.782
15,15,45,25,12m-1m,1.234,50.92,41.26,1.228,1.823
15,5,20,60,12m,1.234,44.62,36.16,1.123,1.527
15,0,25,60,12m-1m,1.233,51.0,41.36,1.242,1.739
10,20,35,35,12m-1m,1.233,52.29,42.39,1.229,1.829
0,40,15,45,12m-1m,1.232,52.5,42.6,1.266,1.927
0,0,40,60,12m,1.23,50.02,40.67,1.216,1.798
20,20,20,40,6m-1m,1.229,49.27,40.1,1.241,1.753
20,10,50,20,12m,1.229,56.94,46.34,1.317,1.915
5,35,15,45,12m-1m,1.228,45.41,36.97,1.166,1.746
0,30,25,45,6m-1m,1.228,50.29,40.94,1.209,1.694
5,35,25,35,6m-1m,1.228,47.35,38.55,1.165,1.728
10,15,35,40,12m,1.228,55.52,45.2,1.273,1.835
5,15,25,55,12m,1.226,47.79,38.97,1.19,1.726
0,25,20,55,6m,1.226,48.97,39.93,1.203,1.694
5,5,40,50,12m,1.226,52.86,43.13,1.261,1.904
10,15,50,25,12m-1m,1.226,53.61,43.72,1.253,1.879
10,10,25,55,6m,1.225,51.13,41.75,1.23,1.78
10,5,50,35,12m-1m,1.225,58.1,47.42,1.325,2.016
15,15,20,50,6m,1.225,48.33,39.45,1.192,1.707
25,0,30,45,12m-1m,1.223,42.78,34.97,1.121,1.648
5,5,30,60,12m,1.222,46.95,38.43,1.173,1.709
25,10,15,50,12m-1m,1.222,44.53,36.45,1.149,1.491
15,0,40,45,6m,1.22,51.37,42.1,1.233,1.795
10,25,20,45,12m-1m,1.22,45.21,37.06,1.163,1.691
10,5,40,45,6m-1m,1.22,53.14,43.57,1.258,1.842
5,10,30,55,6m,1.219,45.41,37.24,1.137,1.632
0,0,65,35,12m-1m,1.218,55.27,45.39,1.259,1.961
5,10,50,35,12m-1m,1.217,55.25,45.38,1.258,1.927
5,15,20,60,6m,1.217,53.03,43.57,1.27,1.777
10,0,50,40,6m-1m,1.217,55.61,45.68,1.312,1.932
0,0,60,40,12m,1.215,59.42,48.92,1.333,2.075
5,15,20,60,12m-1m,1.215,39.66,32.64,1.049,1.53
5,5,40,50,12m-1m,1.211,51.56,42.58,1.251,1.838
0,15,40,45,12m-1m,1.21,47.96,39.64,1.173,1.789
5,30,15,50,6m-1m,1.21,51.06,42.21,1.258,1.797
0,5,35,60,6m,1.21,43.71,36.12,1.102,1.559
15,25,10,50,6m-1m,1.21,41.71,34.48,1.113,1.564
5,15,35,45,12m,1.209,53.83,44.51,1.248,1.871
30,0,35,35,12m,1.208,45.53,37.7,1.164,1.765
0,25,30,45,12m-1m,1.207,48.81,40.42,1.174,1.771
5,20,45,30,6m-1m,1.206,53.04,43.97,1.247,1.898
0,10,35,55,12m,1.203,52.53,43.66,1.255,1.878
10,0,40,50,12m,1.203,49.67,41.28,1.214,1.807
20,10,45,25,12m,1.202,56.93,47.37,1.314,1.901
15,15,40,30,12m-1m,1.202,51.56,42.9,1.236,1.841
0,10,35,55,12m-1m,1.202,50.35,41.9,1.204,1.71
25,15,10,50,12m-1m,1.202,40.9,34.03,1.11,1.471
5,5,40,50,6m,1.202,45.88,38.16,1.139,1.671
20,5,15,60,6m-1m,1.201,42.75,35.6,1.119,1.572
0,25,15,60,6m-1m,1.201,41.5,34.56,1.097,1.562
30,5,15,50,12m,1.201,39.97,33.28,1.081,1.494
30,5,30,35,12m-1m,1.2,40.07,33.4,1.081,1.629
20,10,20,50,12m,1.2,42.75,35.63,1.089,1.481
0,25,30,45,6m-1m,1.199,52.01,43.37,1.242,1.812
0,40,10,50,12m,1.199,46.84,39.05,1.187,1.77
15,15,25,45,6m,1.198,51.41,42.92,1.245,1.788
0,30,30,40,6m-1m,1.198,46.95,39.18,1.153,1.682
0,40,10,50,12m-1m,1.197,44.36,37.05,1.15,1.724
0,30,25,45,12m,1.196,47.4,39.62,1.158,1.745
0,35,20,45,6m-1m,1.196,50.42,42.16,1.219,1.735
5,15,50,30,12m,1.196,51.38,42.95,1.203,1.825
5,25,55,15,12m,1.195,49.18,41.16,1.164,1.776
0,30,10,60,12m-1m,1.194,47.13,39.46,1.189,1.724
15,10,40,35,12m-1m,1.194,55.05,46.12,1.296,1.943
5,0,50,45,6m,1.194,60.43,50.63,1.378,2.055
5,25,35,35,12m,1.192,50.36,42.24,1.193,1.82
10,15,40,35,6m,1.19,49.86,41.9,1.193,1.796
10,0,60,30,6m,1.189,61.8,51.99,1.366,1.958
0,20,20,60,12m,1.189,43.19,36.31,1.108,1.602
10,15,50,25,12m,1.189,53.23,44.77,1.259,1.853
10,10,40,40,6m-1m,1.189,52.26,43.94,1.252,1.853
10,15,15,60,12m-1m,1.189,42.48,35.72,1.103,1.561
5,15,45,35,6m,1.188,48.73,41.02,1.176,1.786
0,10,50,40,12m-1m,1.188,55.32,46.57,1.269,1.948
10,20,10,60,6m,1.186,48.17,40.62,1.193,1.65
10,25,30,35,12m,1.186,50.77,42.8,1.207,1.8
15,15,10,60,6m,1.186,49.1,41.39,1.209,1.727
30,10,30,30,12m-1m,1.185,43.87,37.02,1.136,1.697
5,15,20,60,6m-1m,1.184,46.69,39.43,1.176,1.662
10,5,45,40,6m-1m,1.184,55.85,47.18,1.296,1.968
15,0,25,60,6m,1.182,47.31,40.02,1.171,1.643
5,10,30,55,6m-1m,1.182,44.26,37.43,1.127,1.643
20,15,15,50,12m-1m,1.181,38.7,32.78,1.069,1.442
5,20,40,35,6m,1.18,48.92,41.46,1.182,1.773
5,0,35,60,6m-1m,1.177,48.65,41.35,1.21,1.741
15,20,25,40,6m,1.175,48.57,41.32,1.195,1.689
5,0,45,50,12m,1.175,56.1,47.75,1.305,1.948
0,20,30,50,6m,1.174,48.76,41.55,1.177,1.721
5,0,50,45,12m-1m,1.173,48.88,41.68,1.189,1.811
0,15,25,60,6m-1m,1.173,39.37,33.57,1.045,1.478
10,25,20,45,6m-1m,1.172,44.98,38.37,1.151,1.595
10,30,25,35,12m,1.172,48.13,41.06,1.166,1.737
5,10,60,25,12m,1.172,55.97,47.77,1.256,1.929
25,5,30,40,12m-1m,1.171,39.62,33.82,1.062,1.53
5,35,15,45,6m-1m,1.171,47.24,40.35,1.184,1.662
25,20,35,20,12m-1m,1.171,34.87,29.77,0.969,1.393
5,15,55,25,12m,1.17,51.15,43.72,1.194,1.792
20,0,55,25,12m-1m,1.17,53.17,45.45,1.254,1.911
20,10,35,35,12m-1m,1.169,45.93,39.28,1.141,1.571
25,0,50,25,12m,1.169,52.32,44.77,1.248,1.792
5,20,45,30,6m,1.169,46.85,40.06,1.151,1.763
0,0,65,35,12m,1.169,55.97,47.9,1.271,1.96
15,20,30,35,6m,1.168,46.4,39.75,1.153,1.666
5,25,35,35,6m,1.168,50.63,43.34,1.202,1.722
15,20,30,35,6m-1m,1.168,41.16,35.25,1.071,1.501
0,10,65,25,12m-1m,1.167,49.95,42.8,1.161,1.793
5,10,55,30,12m,1.166,54.26,46.53,1.244,1.893
0,5,50,45,12m,1.165,55.81,47.89,1.278,1.892
30,5,15,50,6m-1m,1.164,41.47,35.62,1.114,1.583
15,25,15,45,12m-1m,1.164,39.96,34.34,1.095,1.542
10,0,50,40,6m,1.164,60.3,51.81,1.379,2.023
30,0,30,40,12m-1m,1.164,40.29,34.61,1.101,1.613
10,20,40,30,12m-1m,1.163,49.88,42.9,1.205,1.818
20,0,40,40,6m-1m,1.162,50.15,43.15,1.225,1.707
0,30,40,30,6m,1.162,53.58,46.12,1.244,1.906
5,10,50,35,12m,1.161,55.58,47.87,1.265,1.895
5,20,15,60,6m,1.161,48.29,41.59,1.183,1.608
0,20,30,50,6m-1m,1.16,44.42,38.28,1.112,1.562
10,10,50,30,12m,1.16,54.33,46.84,1.259,1.885
0,0,55,45,12m-1m,1.16,51.85,44.7,1.227,1.913
25,0,30,45,12m,1.158,47.18,40.73,1.178,1.743
5,0,65,30,12m,1.158,54.54,47.11,1.251,1.911
10,0,30,60,6m-1m,1.158,47.84,41.3,1.195,1.689
15,20,30,35,12m,1.157,48.42,41.86,1.184,1.737
5,5,45,45,12m-1m,1.156,51.14,44.24,1.23,1.838
15,15,50,20,12m-1m,1.156,48.34,41.81,1.172,1.761
10,0,55,35,12m-1m,1.156,53.59,46.34,1.259,1.911
10,5,45,40,6m,1.155,49.86,43.15,1.215,1.785
5,0,55,40,6m-1m,1.154,54.29,47.04,1.276,1.883
0,5,60,35,6m,1.153,56.15,48.7,1.287,1.945
5,10,40,45,12m,1.153,50.69,43.95,1.198,1.815
5,15,45,35,12m-1m,1.153,51.23,44.43,1.218,1.884
0,40,25,35,12m,1.152,50.68,43.99,1.203,1.836
20,0,55,25,12m,1.151,58.78,51.06,1.342,2.023
35,0,20,45,12m-1m,1.151,41.76,36.28,1.134,1.537
0,35,20,45,12m,1.151,47.08,40.91,1.169,1.782
10,30,10,50,12m,1.15,46.62,40.55,1.192,1.717
15,35,15,35,12m,1.15,43.25,37.62,1.123,1.667
20,10,25,45,12m-1m,1.149,41.0,35.7,1.072,1.423
10,25,15,50,12m-1m,1.149,38.69,33.67,1.054,1.49
25,0,50,25,12m-1m,1.148,48.67,42.39,1.215,1.766
5,10,45,40,12m,1.147,54.41,47.45,1.258,1.924
0,30,35,35,6m,1.147,48.8,42.55,1.169,1.725
20,10,45,25,12m-1m,1.147,54.14,47.23,1.287,1.869
20,0,55,25,6m-1m,1.147,58.08,50.64,1.343,1.997
10,35,10,45,12m,1.146,47.5,41.45,1.202,1.769
0,0,40,60,6m,1.146,44.46,38.8,1.117,1.602
5,30,20,45,6m-1m,1.145,48.77,42.59,1.193,1.634
0,5,65,30,6m,1.145,55.16,48.19,1.244,1.957
5,30,15,50,6m,1.144,47.15,41.23,1.184,1.695
25,25,10,40,12m,1.143,38.24,33.47,1.053,1.474
5,30,20,45,6m,1.143,45.82,40.11,1.152,1.712
5,20,55,20,12m,1.141,48.78,42.75,1.155,1.725
0,10,60,30,6m,1.141,56.51,49.51,1.276,1.975
20,30,10,40,12m,1.14,37.21,32.63,1.034,1.471
10,30,20,40,6m-1m,1.14,43.76,38.4,1.132,1.613
35,0,30,35,12m,1.14,34.96,30.68,0.981,1.5
20,15,35,30,12m,1.14,49.91,43.79,1.205,1.749
15,10,15,60,12m-1m,1.14,46.22,40.53,1.174,1.641
5,30,10,55,12m,1.14,45.63,40.04,1.17,1.697
25,10,30,35,6m,1.139,38.45,33.75,1.03,1.465
5,0,60,35,12m-1m,1.139,51.51,45.22,1.208,1.873
5,15,60,20,12m,1.138,51.06,44.87,1.19,1.807
5,30,20,45,12m,1.137,46.59,40.98,1.163,1.711
0,15,55,30,12m-1m,1.137,51.3,45.11,1.199,1.815
25,5,20,50,12m-1m,1.137,43.12,37.92,1.137,1.55
20,5,20,55,6m,1.137,42.06,37.01,1.073,1.535
15,20,35,30,12m,1.137,49.46,43.5,1.195,1.738
0,10,45,45,12m-1m,1.137,48.42,42.57,1.18,1.766
15,0,60,25,6m,1.136,58.43,51.46,1.296,1.78
15,30,15,40,6m-1m,1.136,46.71,41.12,1.196,1.718
0,15,25,60,12m,1.135,44.09,38.84,1.124,1.617
10,0,60,30,12m,1.135,54.22,47.76,1.262,1.91
0,20,35,45,6m-1m,1.134,45.44,40.06,1.13,1.636
0,20,25,55,6m,1.133,43.64,38.52,1.093,1.554
15,30,20,35,12m-1m,1.132,40.69,35.94,1.075,1.566
0,20,40,40,6m,1.131,48.97,43.3,1.181,1.726
0,30,30,40,12m,1.13,49.04,43.4,1.175,1.775
10,0,30,60,6m,1.129,44.08,39.05,1.121,1.591
0,0,60,40,12m-1m,1.128,54.8,48.57,1.26,1.973
5,20,45,30,12m-1m,1.128,49.55,43.92,1.187,1.823
0,30,20,50,6m-1m,1.127,50.1,44.45,1.217,1.706
5,15,25,55,12m-1m,1.125,41.3,36.7,1.07,1.545
15,15,30,40,6m-1m,1.125,42.37,37.65,1.095,1.547
5,5,60,30,12m,1.124,51.65,45.95,1.204,1.864
15,20,45,20,12m,1.124,48.8,43.44,1.179,1.728
25,10,20,45,12m,1.123,42.11,37.49,1.077,1.454
10,0,55,35,6m-1m,1.123,54.37,48.41,1.273,1.896
5,20,35,40,6m,1.123,48.81,43.45,1.176,1.687
25,10,35,30,12m,1.122,49.19,43.84,1.225,1.788
20,20,25,35,12m,1.122,42.85,38.18,1.102,1.599
35,0,20,45,12m,1.121,38.84,34.66,1.06,1.438
10,0,40,50,12m-1m,1.121,47.09,42.0,1.175,1.733
20,25,20,35,6m,1.121,47.29,42.18,1.187,1.66
25,15,20,40,12m,1.12,39.99,35.7,1.037,1.372
15,15,15,55,12m-1m,1.12,39.14,34.93,1.057,1.455
5,20,35,40,12m,1.12,46.86,41.83,1.128,1.699
5,0,45,50,12m-1m,1.12,48.78,43.54,1.201,1.784
35,5,15,45,12m,1.119,35.05,31.31,0.997,1.343
0,15,50,35,6m,1.119,44.16,39.48,1.102,1.65
30,0,50,20,12m-1m,1.118,45.8,40.97,1.143,1.676
5,35,20,40,6m-1m,1.114,47.07,42.25,1.162,1.662
15,15,15,55,12m,1.113,41.05,36.88,1.063,1.362
10,35,15,40,12m,1.113,42.25,37.95,1.108,1.632
5,0,60,35,6m,1.112,58.91,52.98,1.339,2.055
15,20,15,50,6m,1.112,46.45,41.76,1.167,1.638
5,20,45,30,12m,1.11,52.12,46.97,1.232,1.883
30,15,25,30,12m,1.11,36.06,32.48,0.989,1.459
0,20,50,30,6m,1.11,47.55,42.84,1.152,1.747
15,35,10,40,12m,1.11,40.26,36.28,1.085,1.593
10,35,15,40,12m-1m,1.11,40.9,36.84,1.088,1.601
10,15,45,30,6m,1.109,50.62,45.64,1.209,1.853
15,20,45,20,12m-1m,1.108,43.87,39.58,1.103,1.61
20,15,15,50,6m,1.108,43.75,39.48,1.115,1.595
25,25,10,40,12m-1m,1.108,34.36,31.02,1.004,1.449
15,0,50,35,6m,1.108,58.1,52.43,1.354,2.032
20,15,40,25,12m-1m,1.107,45.67,41.25,1.151,1.689
5,25,55,15,12m-1m,1.107,43.8,39.57,1.087,1.627
15,5,55,25,12m,1.107,57.1,51.56,1.305,1.962
35,0,25,40,6m-1m,1.106,37.53,33.92,1.044,1.532
0,5,40,55,12m-1m,1.105,50.31,45.54,1.223,1.821
15,0,55,30,6m-1m,1.105,55.7,50.41,1.308,1.966
5,5,55,35,12m-1m,1.102,53.66,48.68,1.246,1.943
0,5,55,40,12m,1.102,52.56,47.67,1.214,1.881
0,15,45,40,6m,1.101,47.12,42.81,1.149,1.704
30,10,25,35,12m-1m,1.1,37.1,33.72,1.02,1.498
15,5,55,25,6m-1m,1.1,53.44,48.59,1.259,1.849
5,0,45,50,6m,1.099,47.63,43.33,1.174,1.711
15,0,45,40,6m-1m,1.099,48.61,44.24,1.191,1.686
10,10,20,60,6m,1.099,54.04,49.18,1.276,1.848
25,10,25,40,12m-1m,1.098,39.77,36.23,1.051,1.424
20,0,35,45,6m,1.098,42.41,38.61,1.079,1.512
5,35,25,35,12m,1.097,51.63,47.06,1.232,1.853
30,5,15,50,12m-1m,1.096,38.9,35.49,1.057,1.368
5,35,10,50,12m-1m,1.096,41.72,38.06,1.099,1.601
35,5,30,30,12m,1.095,32.62,29.8,0.934,1.385
15,20,15,50,12m-1m,1.095,41.12,37.55,1.109,1.558
10,20,50,20,12m-1m,1.092,47.84,43.79,1.153,1.711
20,15,15,50,12m,1.091,39.5,36.19,1.035,1.325
5,10,55,30,12m-1m,1.091,49.38,45.26,1.18,1.805
5,10,35,50,12m,1.091,49.35,45.21,1.2,1.797
0,10,30,60,12m,1.09,45.36,41.63,1.138,1.643
0,20,50,30,6m-1m,1.09,46.45,42.62,1.126,1.73
30,0,40,30,12m-1m,1.089,45.68,41.95,1.185,1.792
0,25,50,25,12m-1m,1.089,48.25,44.32,1.142,1.727
15,15,15,55,6m-1m,1.087,44.59,41.03,1.158,1.607
10,15,15,60,6m,1.087,46.44,42.73,1.16,1.645
5,25,20,50,6m,1.087,47.87,44.03,1.188,1.715
0,10,60,30,12m-1m,1.087,50.44,46.4,1.183,1.786
20,25,15,40,6m,1.086,42.41,39.04,1.105,1.563
25,10,40,25,12m-1m,1.086,38.55,35.5,1.041,1.534
10,5,55,30,6m,1.086,53.16,48.95,1.256,1.896
5,5,35,55,12m,1.086,46.84,43.12,1.176,1.723
0,15,30,55,6m,1.086,43.66,40.18,1.105,1.607
20,5,50,25,12m-1m,1.086,54.05,49.77,1.28,1.881
0,25,45,30,12m,1.085,48.36,44.57,1.169,1.814
15,5,55,25,6m,1.085,55.81,51.43,1.297,1.889
30,5,50,15,12m,1.085,41.69,38.42,1.068,1.575
0,5,35,60,12m,1.085,46.62,42.96,1.163,1.689
10,5,55,30,6m-1m,1.084,51.77,47.77,1.227,1.804
25,20,10,45,12m,1.084,39.78,36.7,1.064,1.394
20,5,55,20,12m,1.083,54.16,50.02,1.256,1.852
20,15,30,35,6m-1m,1.083,41.74,38.53,1.097,1.558
20,15,10,55,6m,1.083,41.92,38.71,1.094,1.553
25,5,50,20,12m,1.083,47.84,44.16,1.183,1.733
5,10,40,45,6m,1.083,44.29,40.9,1.108,1.601
30,0,15,55,6m-1m,1.082,39.42,36.42,1.064,1.531
0,15,50,35,12m-1m,1.082,50.26,46.46,1.186,1.797
10,0,35,55,12m-1m,1.081,42.15,38.97,1.095,1.6
0,35,10,55,12m-1m,1.081,43.11,39.88,1.128,1.654
5,25,15,55,6m-1m,1.08,40.85,37.8,1.079,1.522
15,25,20,40,12m-1m,1.079,41.05,38.04,1.09,1.545
0,5,35,60,12m-1m,1.078,47.21,43.77,1.169,1.747
35,0,35,30,12m-1m,1.078,34.98,32.45,0.995,1.538
0,10,55,35,12m-1m,1.077,50.88,47.23,1.187,1.796
0,20,55,25,12m-1m,1.077,46.63,43.29,1.119,1.685
5,20,50,25,6m-1m,1.073,48.32,45.03,1.159,1.796
30,0,25,45,6m-1m,1.071,40.86,38.14,1.097,1.59
10,30,15,45,12m,1.07,46.49,43.44,1.185,1.71
5,0,45,50,6m-1m,1.07,45.05,42.08,1.132,1.62
0,20,35,45,12m,1.07,44.97,42.02,1.108,1.669
20,15,45,20,12m,1.07,44.91,41.99,1.138,1.63
5,0,40,55,6m,1.069,43.24,40.45,1.105,1.594
0,35,25,40,12m-1m,1.069,47.11,44.09,1.14,1.741
10,15,45,30,12m,1.067,51.15,47.93,1.205,1.823
5,25,10,60,6m-1m,1.067,36.68,34.39,1.01,1.42
10,10,40,40,6m,1.066,49.88,46.79,1.2,1.757
5,25,30,40,12m-1m,1.065,43.44,40.8,1.083,1.645
20,10,50,20,12m-1m,1.065,48.47,45.51,1.187,1.706
0,10,45,45,6m,1.064,46.68,43.86,1.145,1.704
5,0,65,30,6m,1.063,54.76,51.53,1.249,1.923
20,10,10,60,6m-1m,1.063,41.38,38.94,1.111,1.551
35,5,20,40,12m,1.062,35.3,33.24,0.989,1.382
10,5,55,30,12m-1m,1.061,51.54,48.57,1.217,1.851
15,5,50,30,6m-1m,1.061,52.06,49.07,1.239,1.87
15,30,10,45,12m-1m,1.06,35.33,33.32,1.006,1.422
5,25,45,25,12m-1m,1.059,47.61,44.96,1.158,1.785
5,30,10,55,6m-1m,1.058,40.9,38.64,1.095,1.555
0,25,15,60,6m,1.058,48.29,45.63,1.205,1.689
5,0,65,30,12m-1m,1.057,51.74,48.94,1.206,1.884
10,40,10,40,12m-1m,1.057,37.88,35.84,1.034,1.551
20,15,20,45,12m,1.057,39.02,36.91,1.025,1.378
5,30,30,35,6m-1m,1.056,43.76,41.43,1.087,1.61
10,15,55,20,12m,1.056,45.49,43.09,1.111,1.604
0,0,60,40,6m,1.056,57.27,54.22,1.313,2.008
10,15,40,35,12m-1m,1.055,48.57,46.05,1.169,1.774
15,20,30,35,12m-1m,1.054,44.54,42.24,1.124,1.618
0,20,50,30,12m,1.053,47.13,44.75,1.143,1.739
20,20,15,45,6m-1m,1.053,38.04,36.12,1.043,1.415
20,0,50,30,6m-1m,1.052,52.26,49.67,1.265,1.871
5,30,15,50,12m-1m,1.052,40.7,38.69,1.086,1.571
15,10,50,25,12m,1.05,50.76,48.35,1.222,1.817
25,5,45,25,12m,1.049,47.66,45.45,1.181,1.71
25,15,20,40,6m-1m,1.048,52.4,50.0,1.274,1.742
10,30,10,50,12m-1m,1.048,34.98,33.37,0.987,1.408
0,30,35,35,12m,1.047,45.77,43.73,1.11,1.689
0,15,55,30,6m,1.045,47.96,45.88,1.163,1.761
0,5,60,35,12m-1m,1.044,51.03,48.89,1.192,1.865
5,10,45,40,12m-1m,1.044,49.44,47.36,1.179,1.834
25,0,30,45,6m-1m,1.044,40.66,38.93,1.078,1.587
5,35,30,30,6m-1m,1.043,40.96,39.25,1.049,1.559
20,20,40,20,12m-1m,1.043,34.71,33.27,0.972,1.418
0,30,45,25,6m-1m,1.042,43.49,41.75,1.072,1.655
10,0,60,30,6m-1m,1.042,49.87,47.88,1.199,1.806
25,0,25,50,6m,1.042,40.56,38.92,1.044,1.517
20,30,10,40,12m-1m,1.041,38.41,36.89,1.078,1.538
15,30,20,35,6m-1m,1.04,38.3,36.82,1.039,1.468
35,5,25,35,12m,1.04,32.87,31.61,0.941,1.404
20,0,25,55,12m,1.04,43.45,41.77,1.09,1.605
0,20,45,35,12m,1.039,44.94,43.26,1.106,1.726
0,5,60,35,6m-1m,1.038,50.33,48.49,1.185,1.826
0,5,65,30,12m-1m,1.037,46.22,44.58,1.104,1.687
15,0,60,25,12m,1.037,53.55,51.66,1.254,1.875
5,15,35,45,6m-1m,1.037,41.29,39.8,1.06,1.528
5,5,55,35,6m,1.036,57.21,55.21,1.315,1.983
0,40,30,30,12m,1.036,48.49,46.8,1.163,1.752
15,15,50,20,12m,1.035,46.52,44.97,1.155,1.744
5,15,55,25,12m-1m,1.035,48.9,47.23,1.166,1.75
5,0,55,40,6m,1.034,53.73,51.98,1.259,1.913
30,0,10,60,12m-1m,1.034,33.29,32.19,0.969,1.286
0,10,40,50,12m,1.034,47.48,45.91,1.162,1.765
20,0,25,55,6m,1.032,46.46,45.01,1.138,1.588
30,5,35,30,12m,1.032,41.65,40.35,1.087,1.615
25,15,10,50,6m-1m,1.032,32.27,31.26,0.952,1.313
30,5,25,40,12m-1m,1.031,38.95,37.78,1.059,1.508
5,30,25,40,12m,1.031,46.39,44.99,1.142,1.694
10,25,30,35,12m-1m,1.031,41.69,40.44,1.064,1.584
15,25,25,35,12m,1.031,45.25,43.9,1.125,1.651
0,25,35,40,12m,1.03,44.67,43.36,1.097,1.664
25,5,20,50,6m,1.03,42.26,41.05,1.073,1.524
10,0,60,30,12m-1m,1.03,51.44,49.95,1.213,1.868
10,30,15,45,12m-1m,1.029,38.17,37.08,1.043,1.517
0,10,30,60,6m,1.029,39.16,38.04,1.032,1.455
20,25,25,30,12m,1.028,43.23,42.06,1.113,1.601
15,20,20,45,6m-1m,1.028,38.58,37.51,1.033,1.465
10,20,15,55,6m-1m,1.028,43.37,42.2,1.138,1.581
10,10,45,35,6m-1m,1.028,46.96,45.68,1.154,1.709
5,0,70,25,12m,1.027,51.01,49.64,1.186,1.851
5,35,25,35,6m,1.024,48.55,47.4,1.183,1.735
0,30,15,55,6m,1.024,43.04,42.04,1.108,1.578
25,5,45,25,12m-1m,1.022,42.18,41.29,1.108,1.596
25,5,35,35,6m,1.022,43.7,42.77,1.119,1.631
10,35,25,30,6m,1.022,46.2,45.22,1.145,1.724
0,35,10,55,6m-1m,1.021,40.43,39.59,1.083,1.531
15,10,35,40,6m,1.021,42.03,41.17,1.074,1.551
0,0,50,50,12m,1.019,47.78,46.87,1.172,1.709
25,10,15,50,6m,1.018,34.96,34.34,0.958,1.341
5,30,30,35,6m,1.018,45.3,44.5,1.121,1.665
5,10,35,50,6m-1m,1.018,40.47,39.76,1.053,1.519
0,15,45,40,6m-1m,1.018,47.01,46.17,1.142,1.692
30,5,50,15,12m-1m,1.018,39.17,38.47,1.026,1.506
0,20,45,35,6m,1.017,41.74,41.05,1.056,1.571
10,15,20,55,12m,1.017,36.14,35.52,0.987,1.408
5,10,25,60,6m,1.016,47.64,46.91,1.175,1.67
0,10,70,20,12m,1.016,45.88,45.18,1.091,1.701
0,40,30,30,12m-1m,1.016,43.18,42.5,1.082,1.655
0,30,30,40,12m-1m,1.016,41.22,40.57,1.042,1.597
10,0,45,45,6m-1m,1.016,47.89,47.15,1.179,1.733
25,15,45,15,12m-1m,1.016,33.85,33.31,0.94,1.391
10,20,10,60,12m-1m,1.016,34.8,34.27,0.97,1.386
0,40,20,40,12m-1m,1.016,43.97,43.29,1.11,1.7
5,25,20,50,6m-1m,1.016,41.67,41.0,1.084,1.521
20,15,45,20,12m-1m,1.015,43.02,42.41,1.102,1.607
5,5,55,35,6m-1m,1.014,48.99,48.32,1.172,1.771
0,15,50,35,12m,1.014,50.72,49.99,1.179,1.809
20,20,10,50,12m,1.014,40.56,39.99,1.062,1.361
10,20,45,25,6m,1.012,45.89,45.33,1.142,1.728
0,30,30,40,6m,1.012,43.19,42.66,1.09,1.594
5,20,35,40,12m-1m,1.011,42.71,42.23,1.078,1.632
0,10,45,45,12m,1.01,50.46,49.94,1.189,1.793
0,15,30,55,12m-1m,1.009,43.54,43.15,1.097,1.511
0,15,25,60,12m-1m,1.008,36.66,36.39,0.981,1.413
0,0,45,55,12m-1m,1.006,45.26,44.97,1.146,1.678
0,0,70,30,12m-1m,1.005,47.46,47.24,1.13,1.77
15,15,40,30,12m,1.005,47.76,47.51,1.168,1.739
0,20,40,40,6m-1m,1.005,40.82,40.63,1.037,1.522
0,5,45,50,12m-1m,1.004,45.43,45.24,1.141,1.695
10,10,20,60,6m-1m,1.003,44.51,44.38,1.136,1.595
5,15,40,40,12m,1.002,45.83,45.73,1.114,1.666
0,5,45,50,12m,1.002,48.32,48.23,1.168,1.737
20,0,45,35,6m,1.001,49.03,48.97,1.197,1.696
30,0,30,40,12m,1.001,39.08,39.03,1.058,1.572
10,15,35,40,6m-1m,1.0,43.72,43.74,1.102,1.546
5,20,35,40,6m-1m,1.0,43.81,43.8,1.101,1.578
20,20,30,30,12m,1.0,44.13,44.14,1.116,1.589
0,0,70,30,6m,0.998,50.55,50.67,1.176,1.818
