v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
10,10,25,55,6m-1m,1.6,54.9,34.31,1.312,1.87
5,20,25,50,12m-1m,1.6,54.51,34.08,1.306,1.942
25,15,25,35,12m,1.6,52.79,32.99,1.286,1.894
15,0,35,50,6m,1.599,57.4,35.9,1.334,1.92
0,25,20,55,6m-1m,1.596,48.83,30.59,1.219,1.721
10,35,20,35,6m-1m,1.596,49.17,30.8,1.223,1.825
15,0,55,30,6m,1.596,76.93,48.2,1.635,2.433
10,20,20,50,6m-1m,1.594,56.51,35.46,1.351,1.928
15,0,30,55,12m-1m,1.591,57.73,36.29,1.345,2.001
5,10,25,60,6m-1m,1.59,55.4,34.84,1.323,1.886
15,0,35,50,6m-1m,1.589,62.02,39.02,1.418,2.05
10,15,25,50,12m,1.588,59.72,37.59,1.388,2.021
25,0,20,55,6m-1m,1.585,54.01,34.09,1.297,1.854
5,5,30,60,6m-1m,1.581,56.25,35.59,1.338,1.918
10,15,35,40,12m-1m,1.581,60.72,38.41,1.353,2.019
0,25,25,50,12m,1.579,59.98,37.99,1.372,2.097
20,0,35,45,12m-1m,1.578,57.0,36.11,1.358,2.046
30,0,20,50,12m-1m,1.577,47.51,30.12,1.225,1.648
0,30,25,45,12m-1m,1.576,57.19,36.29,1.32,2.026
20,0,30,50,12m,1.572,52.61,33.47,1.252,1.844
10,15,30,45,12m-1m,1.572,61.82,39.33,1.393,2.05
10,25,25,40,6m-1m,1.572,51.38,32.68,1.254,1.791
15,15,15,55,6m,1.57,63.76,40.61,1.424,2.049
0,40,20,40,12m,1.568,56.12,35.79,1.31,2.021
5,15,30,50,12m-1m,1.568,59.5,37.94,1.363,2.043
20,0,50,30,12m-1m,1.564,62.31,39.85,1.423,2.124
10,10,30,50,12m,1.562,58.4,37.38,1.35,2.023
20,10,25,45,6m-1m,1.562,49.26,31.55,1.214,1.647
10,10,30,50,6m-1m,1.562,55.5,35.53,1.317,1.901
25,0,40,35,12m,1.561,59.26,37.97,1.384,2.089
10,20,20,50,12m-1m,1.559,49.04,31.46,1.24,1.799
15,10,20,55,12m,1.559,51.96,33.34,1.268,1.783
10,10,35,45,6m,1.555,55.91,35.95,1.302,1.91
20,0,20,60,12m-1m,1.549,57.09,36.86,1.363,1.93
25,5,35,35,12m-1m,1.546,58.5,37.85,1.374,1.89
20,0,30,50,12m-1m,1.54,49.97,32.46,1.238,1.801
10,25,20,45,12m,1.54,60.59,39.35,1.409,2.058
15,0,35,50,12m-1m,1.54,53.21,34.54,1.281,1.878
25,15,20,40,12m-1m,1.538,47.92,31.16,1.223,1.746
20,5,25,50,6m,1.537,59.63,38.8,1.343,1.927
20,10,35,35,12m,1.536,61.88,40.27,1.404,2.066
10,5,30,55,12m,1.535,54.03,35.2,1.276,1.809
0,25,25,50,12m-1m,1.534,58.2,37.94,1.351,2.038
20,5,45,30,12m,1.532,65.04,42.46,1.448,2.096
25,5,25,45,12m-1m,1.53,51.47,33.64,1.3,1.824
0,40,15,45,12m,1.53,56.88,37.17,1.345,2.045
20,15,25,40,12m,1.527,52.19,34.18,1.263,1.803
15,5,20,60,12m-1m,1.523,57.14,37.52,1.352,1.933
10,10,25,55,12m,1.522,50.92,33.45,1.242,1.772
5,25,15,55,12m-1m,1.522,49.23,32.35,1.234,1.812
15,0,25,60,12m,1.52,55.16,36.29,1.296,1.858
10,5,30,55,6m-1m,1.511,54.21,35.89,1.309,1.862
10,5,40,45,12m,1.51,63.87,42.29,1.415,2.124
5,25,25,45,12m,1.504,54.35,36.13,1.273,1.889
0,30,20,50,12m,1.503,54.88,36.53,1.314,1.977
15,15,20,50,12m,1.503,51.55,34.31,1.263,1.812
15,20,15,50,6m-1m,1.499,49.41,32.96,1.258,1.732
5,15,25,55,6m,1.495,54.59,36.52,1.281,1.84
0,0,45,55,12m,1.495,63.73,42.64,1.425,2.119
10,0,35,55,6m,1.495,55.75,37.28,1.314,1.887
20,5,30,45,6m,1.493,53.08,35.56,1.263,1.788
15,0,50,35,6m-1m,1.491,65.96,44.24,1.484,2.236
10,5,35,50,6m,1.491,53.69,36.02,1.269,1.867
20,5,30,45,12m-1m,1.491,50.99,34.2,1.248,1.763
0,0,55,45,12m,1.49,62.32,41.82,1.381,2.102
10,25,25,40,12m,1.489,56.74,38.09,1.315,1.931
5,20,30,45,6m,1.488,56.89,38.23,1.316,1.975
0,10,55,35,12m,1.488,65.13,43.77,1.393,2.136
15,10,20,55,6m-1m,1.488,53.87,36.2,1.306,1.877
20,15,20,45,12m-1m,1.487,51.76,34.81,1.299,1.839
15,0,40,45,12m,1.487,59.39,39.94,1.353,1.902
15,5,35,45,6m,1.486,52.01,34.99,1.243,1.742
