v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
15,10,25,50,0.6,6m-1m,6,7,4,79.8,34.34,2.324,1.617
20,10,20,50,0.6,6m-1m,5,7,7,69.82,30.06,2.323,1.539
15,10,25,50,0.5,6m-1m,5,7,4,85.6,36.89,2.32,1.679
15,10,25,50,0.5,6m-1m,5,8,7,72.98,31.47,2.319,1.611
20,15,25,40,0.4,6m,6,8,6,66.71,28.77,2.319,1.521
15,5,25,55,0.7,6m-1m,5,8,7,71.41,30.84,2.316,1.573
25,10,20,45,0.3,6m-1m,6,8,5,61.04,26.38,2.314,1.455
15,10,25,50,0.5,6m-1m,5,7,6,79.56,34.5,2.306,1.68
20,5,25,50,0.5,6m-1m,5,7,7,74.08,32.14,2.305,1.587
25,5,35,35,0.3,6m-1m,4,7,5,68.71,29.82,2.304,1.497
25,10,20,45,0.3,6m-1m,6,7,5,72.31,31.4,2.303,1.605
20,15,25,40,0.4,6m,5,7,6,68.57,29.79,2.302,1.498
15,10,25,50,0.5,6m-1m,5,7,5,85.63,37.21,2.302,1.747
20,15,25,40,0.4,6m,5,7,7,68.45,29.77,2.299,1.497
15,5,30,50,0.6,6m-1m,4,8,7,73.24,31.91,2.295,1.533
15,5,25,55,0.7,6m-1m,6,7,7,69.47,30.38,2.287,1.553
15,10,25,50,0.7,6m-1m,5,9,7,70.86,31.02,2.284,1.564
15,5,25,55,0.7,6m-1m,5,7,5,75.6,33.16,2.28,1.588
15,10,25,50,0.6,6m-1m,4,7,7,75.76,33.25,2.278,1.581
25,10,20,45,0.3,6m-1m,4,7,7,65.86,28.98,2.272,1.461
25,10,20,45,0.3,6m-1m,4,7,6,65.86,28.98,2.272,1.461
15,10,25,50,0.7,6m-1m,5,8,6,67.93,30.04,2.261,1.519
20,5,25,50,0.5,6m-1m,5,8,6,71.35,31.57,2.26,1.563
15,10,25,50,0.7,6m-1m,4,8,7,69.99,31.01,2.257,1.527
15,10,25,50,0.5,6m-1m,5,8,6,73.58,32.62,2.256,1.613
20,5,25,50,0.6,6m-1m,4,8,7,77.2,34.22,2.256,1.614
15,10,25,50,0.6,6m-1m,4,7,6,74.95,33.25,2.254,1.569
20,10,20,50,0.6,6m-1m,5,9,7,65.29,29.01,2.25,1.503
20,5,25,50,0.6,6m-1m,4,8,6,76.74,34.12,2.249,1.606
20,5,25,50,0.6,6m-1m,4,7,5,79.48,35.37,2.247,1.613
25,5,35,35,0.3,6m-1m,5,8,7,63.51,28.27,2.247,1.482
15,5,30,50,0.6,6m-1m,4,8,6,72.34,32.22,2.245,1.52
25,10,20,45,0.3,6m-1m,4,8,7,63.28,28.21,2.243,1.437
10,15,25,50,0.3,6m-1m,4,8,6,71.52,31.91,2.242,1.531
25,10,20,45,0.3,6m-1m,5,8,5,60.31,26.92,2.24,1.412
10,15,25,50,0.3,6m-1m,4,8,7,71.19,31.79,2.24,1.522
15,10,25,50,0.7,6m-1m,5,7,7,72.81,32.58,2.235,1.573
25,5,35,35,0.3,6m-1m,4,7,6,66.98,29.99,2.233,1.481
15,10,25,50,0.5,6m-1m,4,8,7,72.0,32.27,2.231,1.533
20,5,25,50,0.5,6m-1m,5,8,7,72.21,32.39,2.229,1.58
10,15,25,50,0.3,6m-1m,5,8,7,65.18,29.27,2.227,1.493
20,10,20,50,0.6,6m-1m,5,8,6,61.89,27.81,2.226,1.43
15,10,25,50,0.6,6m-1m,4,9,7,70.32,31.62,2.224,1.522
15,5,25,55,0.7,6m-1m,4,7,6,78.71,35.41,2.223,1.604
15,5,25,55,0.7,6m-1m,4,7,7,78.71,35.41,2.223,1.604
25,10,25,40,0.4,6m,6,7,6,58.7,26.41,2.222,1.397
15,5,25,55,0.7,6m-1m,4,8,7,77.26,34.81,2.22,1.604
25,10,20,45,0.3,6m-1m,4,8,5,63.21,28.52,2.216,1.425
20,5,25,50,0.5,6m-1m,4,8,5,76.3,34.45,2.214,1.564
25,10,25,40,0.4,6m,5,7,5,59.67,27.02,2.209,1.359
25,10,25,40,0.4,6m,6,9,6,57.94,26.22,2.209,1.399
25,10,20,45,0.3,6m-1m,5,9,6,57.34,25.97,2.208,1.398
15,15,25,45,0.3,6m-1m,5,8,7,70.19,31.81,2.207,1.562
20,5,25,50,0.6,6m-1m,5,9,7,70.7,32.06,2.205,1.576
15,10,25,50,0.5,6m-1m,4,7,6,77.54,35.17,2.204,1.593
15,10,25,50,0.6,6m-1m,5,8,4,80.58,36.65,2.199,1.624
25,5,35,35,0.3,6m-1m,4,7,7,66.42,30.21,2.199,1.473
15,10,25,50,0.6,6m-1m,4,9,6,69.23,31.49,2.199,1.504
15,10,25,50,0.5,6m-1m,4,7,7,77.24,35.17,2.196,1.59
25,10,20,45,0.4,6m-1m,5,8,5,70.25,31.98,2.196,1.555
25,10,20,45,0.3,6m-1m,4,8,6,61.92,28.21,2.195,1.414
15,10,25,50,0.7,6m-1m,4,8,6,67.9,31.01,2.19,1.495
15,5,30,50,0.6,6m-1m,5,9,7,77.23,35.26,2.19,1.682
25,10,20,45,0.3,6m-1m,4,7,5,66.16,30.21,2.19,1.459
20,15,25,40,0.4,6m,6,7,7,63.71,29.1,2.19,1.455
15,10,25,50,0.7,6m-1m,4,9,7,68.73,31.42,2.188,1.511
15,5,30,50,0.6,6m-1m,5,9,6,74.06,33.91,2.184,1.627
25,10,25,40,0.4,6m,5,8,5,59.45,27.25,2.182,1.358
