v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
15,5,25,55,0.7,6m-1m,6,7,4,62.95,37.92,1.66,1.374
25,10,20,45,0.4,6m-1m,6,8,6,67.31,40.65,1.656,1.541
15,10,25,50,0.6,6m-1m,6,9,7,64.74,39.38,1.644,1.503
15,10,25,50,0.7,6m-1m,4,9,4,64.18,39.05,1.643,1.378
20,5,25,50,0.5,6m-1m,5,9,5,66.58,40.65,1.638,1.49
25,5,35,35,0.3,6m-1m,6,7,6,54.51,33.3,1.637,1.336
20,5,25,50,0.6,6m-1m,6,7,4,66.8,40.94,1.632,1.423
15,5,30,50,0.6,6m-1m,6,7,6,66.26,40.75,1.626,1.492
25,5,35,35,0.3,6m-1m,6,7,5,59.22,36.43,1.626,1.383
20,10,20,50,0.6,6m-1m,4,9,6,61.09,37.69,1.621,1.397
15,10,25,50,0.6,6m-1m,6,7,7,66.95,41.33,1.62,1.515
10,15,25,50,0.3,6m-1m,5,9,6,51.5,31.81,1.619,1.273
15,15,25,45,0.3,6m-1m,6,8,4,60.19,37.16,1.619,1.351
15,15,25,45,0.3,6m-1m,4,7,7,64.07,39.77,1.611,1.417
15,5,30,50,0.6,6m-1m,4,9,4,58.94,36.73,1.605,1.31
15,10,25,50,0.5,6m-1m,6,8,6,64.49,40.19,1.605,1.488
15,15,25,45,0.3,6m-1m,4,7,6,63.79,39.77,1.604,1.413
15,5,25,55,0.7,6m-1m,5,7,4,61.86,38.66,1.6,1.354
15,15,25,45,0.3,6m-1m,5,8,5,66.49,41.65,1.597,1.483
25,10,20,45,0.3,6m-1m,6,7,6,62.02,38.9,1.594,1.454
25,5,35,35,0.3,6m-1m,6,9,7,50.76,31.95,1.589,1.301
15,10,25,50,0.5,6m-1m,6,7,4,74.19,46.75,1.587,1.508
15,5,30,50,0.6,6m-1m,6,9,6,58.96,37.16,1.587,1.405
15,15,25,45,0.3,6m-1m,6,8,6,60.32,38.08,1.584,1.429
15,10,25,50,0.5,6m-1m,6,9,7,63.86,40.3,1.584,1.503
10,15,25,50,0.3,6m-1m,4,7,4,64.65,40.87,1.582,1.389
25,10,20,45,0.3,6m-1m,6,7,4,53.58,33.96,1.578,1.265
25,10,25,40,0.4,6m,4,8,6,56.65,35.95,1.576,1.289
15,10,25,50,0.6,6m-1m,6,8,7,63.44,40.27,1.575,1.476
20,5,25,50,0.6,6m-1m,6,8,6,56.68,36.02,1.574,1.343
15,15,25,45,0.3,6m-1m,4,8,7,62.53,39.76,1.573,1.406
25,10,20,45,0.3,6m-1m,6,7,7,60.78,38.66,1.572,1.438
20,15,25,40,0.4,6m,4,8,4,59.94,38.22,1.568,1.299
25,10,20,45,0.4,6m-1m,6,8,5,68.12,43.47,1.567,1.525
10,15,25,50,0.3,6m-1m,4,9,4,60.73,38.84,1.564,1.339
15,5,25,55,0.7,6m-1m,6,8,5,60.82,38.97,1.561,1.407
25,5,35,35,0.3,6m-1m,6,8,6,53.19,34.08,1.561,1.32
25,10,20,45,0.4,6m-1m,6,9,6,58.45,37.49,1.559,1.417
25,10,25,40,0.4,6m,4,8,7,55.94,35.95,1.556,1.279
25,10,25,40,0.4,6m,4,7,7,56.95,36.62,1.555,1.281
25,10,25,40,0.4,6m,4,7,6,56.91,36.62,1.554,1.282
10,15,25,50,0.3,6m-1m,6,7,4,59.75,38.57,1.549,1.343
10,15,25,50,0.3,6m-1m,5,7,4,60.84,39.32,1.547,1.359
15,5,25,55,0.7,6m-1m,4,8,4,67.12,43.4,1.547,1.407
10,15,25,50,0.3,6m-1m,5,7,5,60.29,39.03,1.545,1.4
15,10,25,50,0.6,6m-1m,6,7,6,64.55,41.82,1.544,1.48
15,15,25,45,0.3,6m-1m,5,8,4,61.51,39.84,1.544,1.359
15,10,25,50,0.5,6m-1m,6,7,5,72.14,46.77,1.543,1.551
15,10,25,50,0.5,6m-1m,6,8,7,64.35,41.73,1.542,1.494
20,5,25,50,0.5,6m-1m,4,9,4,68.22,44.5,1.533,1.444
25,5,35,35,0.3,6m-1m,4,9,6,54.6,35.67,1.531,1.314
15,15,25,45,0.3,6m-1m,4,8,6,61.51,40.22,1.529,1.39
20,5,25,50,0.6,6m-1m,6,9,6,54.53,35.72,1.527,1.321
15,10,25,50,0.5,6m-1m,6,9,6,63.03,41.31,1.526,1.474
25,10,25,40,0.4,6m,4,9,7,54.14,35.5,1.525,1.263
25,10,25,40,0.4,6m,4,9,6,54.07,35.5,1.523,1.261
20,15,25,40,0.4,6m,6,7,4,66.57,43.75,1.521,1.391
20,15,25,40,0.4,6m,4,7,4,64.06,42.15,1.52,1.346
20,5,25,50,0.5,6m-1m,6,9,4,64.15,42.3,1.517,1.41
20,5,25,50,0.6,6m-1m,5,9,4,64.7,42.73,1.514,1.41
20,5,25,50,0.6,6m-1m,6,8,7,53.38,35.29,1.513,1.301
25,5,35,35,0.3,6m-1m,4,9,7,55.14,36.49,1.511,1.325
15,10,25,50,0.6,6m-1m,6,8,6,61.41,40.66,1.51,1.439
15,15,25,45,0.3,6m-1m,5,7,5,62.5,41.44,1.508,1.419
20,5,25,50,0.5,6m-1m,5,9,4,65.47,43.46,1.506,1.429
10,15,25,50,0.3,6m-1m,6,9,4,55.07,36.59,1.505,1.264
25,10,20,45,0.3,6m-1m,5,7,4,53.11,35.3,1.505,1.249
25,10,20,45,0.4,6m-1m,6,7,5,66.49,44.18,1.505,1.485
25,10,20,45,0.4,6m-1m,6,8,7,62.54,41.61,1.503,1.47
15,10,25,50,0.6,6m-1m,6,9,6,61.53,41.0,1.501,1.437
20,5,25,50,0.5,6m-1m,6,9,7,54.25,36.2,1.499,1.335
15,15,25,45,0.3,6m-1m,6,9,7,55.35,36.93,1.499,1.367
25,5,35,35,0.3,6m-1m,5,8,4,54.13,36.14,1.498,1.281
25,10,20,45,0.3,6m-1m,4,8,4,49.9,33.32,1.498,1.186
25,10,20,45,0.3,6m-1m,6,9,5,48.61,32.62,1.49,1.252
20,15,25,40,0.4,6m,5,9,5,61.33,41.25,1.487,1.374
15,15,25,45,0.3,6m-1m,6,7,6,62.34,41.96,1.486,1.449
20,5,25,50,0.6,6m-1m,6,7,6,59.16,39.81,1.486,1.371
20,5,25,50,0.5,6m-1m,6,9,6,55.63,37.57,1.481,1.347
20,10,20,50,0.6,6m-1m,5,9,5,62.06,41.97,1.479,1.423
15,15,25,45,0.3,6m-1m,4,8,5,63.96,43.63,1.466,1.417
25,10,25,40,0.4,6m,5,8,4,60.25,41.11,1.466,1.32
25,10,20,45,0.4,6m-1m,5,9,5,58.44,39.94,1.463,1.388
25,10,20,45,0.3,6m-1m,6,8,7,53.05,36.32,1.461,1.324
15,10,25,50,0.7,6m-1m,6,8,7,56.03,38.54,1.454,1.351
15,10,25,50,0.5,6m-1m,6,7,7,66.47,45.75,1.453,1.503
25,10,20,45,0.4,6m-1m,6,9,7,54.98,37.86,1.452,1.358
15,15,25,45,0.3,6m-1m,6,7,7,60.51,41.74,1.45,1.423
25,10,25,40,0.4,6m,6,9,5,51.37,35.48,1.448,1.239
20,10,20,50,0.6,6m-1m,5,9,4,57.06,39.55,1.443,1.303
25,10,25,40,0.4,6m,4,7,5,54.03,37.68,1.434,1.235
15,15,25,45,0.3,6m-1m,4,7,5,62.75,44.21,1.419,1.392
20,15,25,40,0.4,6m,4,9,5,56.22,40.01,1.405,1.27
25,10,20,45,0.3,6m-1m,4,7,4,49.68,35.67,1.393,1.185
20,5,25,50,0.6,6m-1m,6,9,7,51.55,37.03,1.392,1.283
15,10,25,50,0.7,6m-1m,6,8,6,54.84,39.46,1.39,1.329
10,15,25,50,0.3,6m-1m,5,9,4,52.49,37.94,1.383,1.224
25,10,20,45,0.4,6m-1m,6,7,4,57.32,41.57,1.379,1.32
25,5,35,35,0.3,6m-1m,5,7,4,51.46,37.35,1.378,1.237
15,15,25,45,0.3,6m-1m,4,9,7,54.92,39.96,1.374,1.304
20,5,25,50,0.6,6m-1m,6,7,7,55.56,40.52,1.371,1.316
25,10,20,45,0.3,6m-1m,6,9,6,49.44,36.15,1.367,1.259
20,15,25,40,0.4,6m,5,7,4,63.6,46.6,1.365,1.349
15,10,25,50,0.5,6m-1m,6,7,6,64.75,47.59,1.361,1.47
15,15,25,45,0.3,6m-1m,4,9,6,54.96,40.42,1.36,1.304
25,10,25,40,0.4,6m,6,7,4,57.73,42.63,1.354,1.276
25,5,35,35,0.3,6m-1m,6,8,5,54.24,40.2,1.349,1.298
20,15,25,40,0.4,6m,6,8,4,54.21,40.52,1.338,1.223
20,10,20,50,0.6,6m-1m,5,8,4,57.8,43.34,1.334,1.306
25,10,25,40,0.4,6m,4,9,5,52.17,39.17,1.332,1.226
15,10,25,50,0.7,6m-1m,6,7,5,61.36,46.07,1.332,1.396
25,5,35,35,0.3,6m-1m,4,7,4,55.65,41.84,1.33,1.292
20,5,25,50,0.6,6m-1m,6,9,5,55.19,41.48,1.33,1.313
15,15,25,45,0.3,6m-1m,4,9,5,57.62,43.36,1.329,1.339
10,15,25,50,0.3,6m-1m,6,8,5,50.75,38.33,1.324,1.251
20,5,25,50,0.5,6m-1m,6,8,5,61.86,46.75,1.323,1.413
15,15,25,45,0.3,6m-1m,4,7,4,59.8,45.29,1.321,1.316
20,10,20,50,0.6,6m-1m,6,7,4,62.82,47.65,1.318,1.364
25,10,20,45,0.4,6m-1m,4,9,4,55.89,42.42,1.318,1.29
25,10,25,40,0.4,6m,4,8,5,53.23,40.46,1.316,1.233
25,10,25,40,0.4,6m,6,8,4,57.16,43.62,1.31,1.277
25,5,35,35,0.3,6m-1m,6,9,6,47.1,35.98,1.309,1.221
25,10,20,45,0.3,6m-1m,6,8,4,51.91,39.76,1.305,1.247
25,10,25,40,0.4,6m,5,7,4,54.17,41.97,1.291,1.228
15,10,25,50,0.7,6m-1m,6,7,7,56.43,43.8,1.288,1.338
20,5,25,50,0.5,6m-1m,6,9,5,60.72,47.22,1.286,1.402
15,10,25,50,0.7,6m-1m,6,7,6,56.7,44.1,1.286,1.343
25,10,25,40,0.4,6m,6,9,4,54.02,42.2,1.28,1.236
25,10,20,45,0.4,6m-1m,5,8,4,52.77,41.34,1.277,1.253
25,10,20,45,0.3,6m-1m,6,9,7,47.14,37.01,1.274,1.231
15,10,25,50,0.7,6m-1m,6,9,7,55.87,44.72,1.249,1.349
20,5,25,50,0.6,6m-1m,6,8,5,51.58,41.61,1.24,1.242
15,10,25,50,0.7,6m-1m,6,9,6,52.56,42.46,1.238,1.291
15,15,25,45,0.3,6m-1m,6,9,6,49.9,40.37,1.236,1.269
20,5,25,50,0.5,6m-1m,6,7,5,60.48,49.03,1.233,1.39
25,5,35,35,0.3,6m-1m,4,9,5,51.75,42.05,1.231,1.261
25,10,20,45,0.3,6m-1m,5,9,5,44.57,36.29,1.228,1.164
15,15,25,45,0.3,6m-1m,5,9,4,51.93,42.32,1.227,1.225
25,10,20,45,0.4,6m-1m,6,8,4,53.78,43.84,1.227,1.275
25,5,35,35,0.3,6m-1m,6,9,5,50.55,41.2,1.227,1.247
15,15,25,45,0.3,6m-1m,5,9,5,53.32,43.54,1.224,1.303
15,5,25,55,0.7,6m-1m,6,9,4,54.67,44.73,1.222,1.252
20,10,20,50,0.6,6m-1m,6,7,7,53.36,44.22,1.207,1.281
20,10,20,50,0.6,6m-1m,6,7,6,53.86,44.68,1.205,1.287
15,10,25,50,0.7,6m-1m,6,9,5,57.48,47.84,1.201,1.333
15,15,25,45,0.3,6m-1m,6,9,4,52.04,43.68,1.191,1.237
20,15,25,40,0.4,6m,6,9,5,54.52,45.79,1.191,1.285
25,5,35,35,0.3,6m-1m,5,9,4,48.08,40.68,1.182,1.19
15,5,25,55,0.7,6m-1m,6,8,4,54.09,46.34,1.167,1.242
15,5,25,55,0.7,6m-1m,5,9,4,52.93,45.36,1.167,1.222
20,15,25,40,0.4,6m,6,9,6,46.66,40.03,1.165,1.193
25,5,35,35,0.3,6m-1m,6,8,4,46.83,40.54,1.155,1.146
20,10,20,50,0.6,6m-1m,6,9,7,48.62,42.09,1.155,1.229
10,15,25,50,0.3,6m-1m,6,8,7,51.34,44.53,1.153,1.29
25,10,20,45,0.3,6m-1m,5,8,4,46.28,40.22,1.151,1.146
25,10,25,40,0.4,6m,4,7,4,49.83,43.36,1.149,1.144
20,10,20,50,0.6,6m-1m,6,8,7,47.54,41.65,1.142,1.196
20,5,25,50,0.6,6m-1m,6,7,5,55.73,48.98,1.138,1.295
25,5,35,35,0.3,6m-1m,4,8,4,48.28,42.74,1.129,1.171
20,10,20,50,0.6,6m-1m,6,8,6,46.54,41.66,1.117,1.177
15,15,25,45,0.3,6m-1m,4,8,4,52.69,47.31,1.114,1.222
15,5,25,55,0.7,6m-1m,5,8,4,52.77,47.65,1.108,1.22
25,10,25,40,0.4,6m,4,9,4,46.83,42.43,1.104,1.113
25,10,20,45,0.4,6m-1m,6,9,5,54.02,49.0,1.103,1.315
25,10,25,40,0.4,6m,4,8,4,49.16,44.81,1.097,1.142
20,10,20,50,0.6,6m-1m,6,9,6,48.04,44.13,1.089,1.212
20,15,25,40,0.4,6m,4,9,4,46.79,43.72,1.07,1.1
25,10,20,45,0.3,6m-1m,4,9,4,41.23,38.57,1.069,1.05
20,15,25,40,0.4,6m,5,8,4,48.33,46.76,1.034,1.135
20,10,20,50,0.6,6m-1m,6,7,5,52.35,50.8,1.03,1.244
15,15,25,45,0.3,6m-1m,6,7,5,51.65,51.06,1.011,1.243
25,10,20,45,0.3,6m-1m,6,9,4,40.34,40.56,0.995,1.056
20,10,20,50,0.6,6m-1m,6,8,4,51.58,52.18,0.988,1.198
25,5,35,35,0.3,6m-1m,6,9,4,45.46,46.35,0.981,1.13
20,10,20,50,0.6,6m-1m,6,8,5,46.31,48.16,0.962,1.152
10,15,25,50,0.3,6m-1m,6,8,6,47.48,49.73,0.955,1.215
15,15,25,45,0.3,6m-1m,6,8,5,54.01,56.66,0.953,1.282
20,10,20,50,0.6,6m-1m,6,9,4,48.39,50.86,0.951,1.151
25,10,20,45,0.4,6m-1m,5,9,4,43.83,46.25,0.948,1.115
10,15,25,50,0.3,6m-1m,6,7,7,50.02,53.47,0.935,1.252
20,15,25,40,0.4,6m,6,9,4,44.39,48.36,0.918,1.072
20,10,20,50,0.6,6m-1m,6,9,5,47.17,51.66,0.913,1.174
10,15,25,50,0.3,6m-1m,6,9,6,43.63,47.97,0.91,1.148
20,15,25,40,0.4,6m,5,9,4,43.48,48.62,0.894,1.054
25,10,20,45,0.4,6m-1m,6,9,4,41.94,48.52,0.864,1.087
10,15,25,50,0.3,6m-1m,6,9,7,40.06,47.0,0.852,1.087
10,15,25,50,0.3,6m-1m,6,7,6,47.27,56.34,0.839,1.205
25,5,35,35,0.3,6m-1m,4,9,4,40.92,48.75,0.839,1.062
15,15,25,45,0.3,6m-1m,4,9,4,43.51,52.22,0.833,1.076
25,5,35,35,0.3,6m-1m,6,7,4,41.54,49.85,0.833,1.057
10,15,25,50,0.3,6m-1m,6,7,5,47.03,56.78,0.828,1.174
25,10,20,45,0.3,6m-1m,5,9,4,35.78,43.72,0.818,0.968
15,15,25,45,0.3,6m-1m,6,9,5,45.66,56.57,0.807,1.16
