sub1,sub2,ratio,config,calmar,cagr,mdd,sharpe,sortino
gp_growth_z,cfo_growth_z,0.0,공격_G40_12m,1.23,39.4,32.04,1.067,1.626
gp_growth_z,cfo_growth_z,0.0,방어_M50_6m1m,0.753,36.39,48.33,1.021,1.416
gp_growth_z,cfo_growth_z,0.0,방어_M50_6m,0.43,19.21,44.64,0.649,0.927
gp_growth_z,cfo_growth_z,0.0,밸런스_G30_6m,0.516,26.07,50.53,0.791,1.169
gp_growth_z,cfo_growth_z,0.05,공격_G50_12m1m,0.25,11.72,46.96,0.483,0.678
gp_growth_z,cfo_growth_z,0.05,공격_G40_12m,1.192,37.44,31.4,1.034,1.576
gp_growth_z,cfo_growth_z,0.05,방어_M50_6m1m,0.697,33.97,48.73,0.973,1.347
gp_growth_z,cfo_growth_z,0.05,방어_M50_6m,0.448,20.24,45.16,0.671,0.962
gp_growth_z,cfo_growth_z,0.05,밸런스_G30_6m,0.569,28.59,50.21,0.839,1.248
gp_growth_z,cfo_growth_z,0.1,공격_G50_12m1m,0.296,13.64,46.16,0.528,0.755
gp_growth_z,cfo_growth_z,0.1,공격_G40_12m,1.294,40.34,31.17,1.077,1.654
gp_growth_z,cfo_growth_z,0.1,방어_M50_6m1m,0.714,34.5,48.33,0.982,1.373
gp_growth_z,cfo_growth_z,0.1,방어_M50_6m,0.499,22.17,44.46,0.712,1.024
gp_growth_z,cfo_growth_z,0.1,밸런스_G30_6m,0.554,29.66,53.54,0.862,1.277
gp_growth_z,cfo_growth_z,0.15,공격_G50_12m1m,0.373,16.21,43.49,0.584,0.834
gp_growth_z,cfo_growth_z,0.15,공격_G40_12m,1.344,42.37,31.53,1.109,1.672
gp_growth_z,cfo_growth_z,0.15,방어_M50_6m1m,0.769,36.15,46.98,1.008,1.404
gp_growth_z,cfo_growth_z,0.15,방어_M50_6m,0.621,24.35,39.22,0.756,1.083
gp_growth_z,cfo_growth_z,0.15,밸런스_G30_6m,0.573,29.64,51.74,0.86,1.278
gp_growth_z,cfo_growth_z,0.2,공격_G50_12m1m,0.382,18.58,48.64,0.638,0.93
gp_growth_z,cfo_growth_z,0.2,공격_G40_12m,1.358,45.31,33.36,1.149,1.764
gp_growth_z,cfo_growth_z,0.2,방어_M50_6m1m,0.731,32.79,44.86,0.941,1.318
gp_growth_z,cfo_growth_z,0.2,방어_M50_6m,0.818,29.52,36.09,0.865,1.239
gp_growth_z,cfo_growth_z,0.2,밸런스_G30_6m,0.518,27.48,53.06,0.82,1.204
gp_growth_z,cfo_growth_z,0.25,공격_G50_12m1m,0.441,21.97,49.86,0.712,1.035
gp_growth_z,cfo_growth_z,0.25,공격_G40_12m,1.041,35.84,34.44,0.978,1.497
gp_growth_z,cfo_growth_z,0.25,방어_M50_6m1m,0.874,34.78,39.8,0.983,1.394
gp_growth_z,cfo_growth_z,0.25,방어_M50_6m,0.852,29.1,34.17,0.854,1.212
gp_growth_z,cfo_growth_z,0.25,밸런스_G30_6m,0.403,22.92,56.84,0.726,1.063
gp_growth_z,cfo_growth_z,0.3,공격_G50_12m1m,0.326,18.31,56.09,0.632,0.91
gp_growth_z,cfo_growth_z,0.3,공격_G40_12m,1.159,35.17,30.34,0.952,1.458
gp_growth_z,cfo_growth_z,0.3,방어_M50_6m1m,0.812,31.45,38.73,0.913,1.288
gp_growth_z,cfo_growth_z,0.3,방어_M50_6m,0.978,30.03,30.71,0.871,1.234
gp_growth_z,cfo_growth_z,0.3,밸런스_G30_6m,0.362,21.61,59.65,0.699,1.035
gp_growth_z,cfo_growth_z,0.35,공격_G50_12m1m,0.308,15.76,51.16,0.57,0.813
gp_growth_z,cfo_growth_z,0.35,공격_G40_12m,0.851,27.69,32.52,0.817,1.232
gp_growth_z,cfo_growth_z,0.35,방어_M50_6m1m,0.768,31.91,41.57,0.923,1.304
gp_growth_z,cfo_growth_z,0.35,방어_M50_6m,0.767,26.6,34.69,0.802,1.14
gp_growth_z,cfo_growth_z,0.35,밸런스_G30_6m,0.35,21.03,60.1,0.69,1.005
gp_growth_z,cfo_growth_z,0.4,공격_G50_12m1m,0.352,17.59,49.92,0.608,0.861
gp_growth_z,cfo_growth_z,0.4,공격_G40_12m,0.714,27.72,38.81,0.815,1.219
gp_growth_z,cfo_growth_z,0.4,방어_M50_6m1m,0.815,31.22,38.31,0.911,1.285
gp_growth_z,cfo_growth_z,0.4,방어_M50_6m,0.726,28.27,38.93,0.832,1.199
gp_growth_z,cfo_growth_z,0.4,밸런스_G30_6m,0.216,13.95,64.45,0.533,0.763
gp_growth_z,cfo_growth_z,0.45,공격_G50_12m1m,0.561,23.52,41.91,0.731,1.031
gp_growth_z,cfo_growth_z,0.45,공격_G40_12m,0.985,32.86,33.35,0.912,1.365
gp_growth_z,cfo_growth_z,0.45,방어_M50_6m1m,0.87,32.39,37.23,0.934,1.319
gp_growth_z,cfo_growth_z,0.45,방어_M50_6m,0.661,27.9,42.22,0.821,1.179
gp_growth_z,cfo_growth_z,0.45,밸런스_G30_6m,0.278,15.82,56.98,0.573,0.829
gp_growth_z,cfo_growth_z,0.5,공격_G50_12m1m,0.4,21.46,53.68,0.681,0.98
gp_growth_z,cfo_growth_z,0.5,공격_G40_12m,0.765,28.28,36.99,0.827,1.234
gp_growth_z,cfo_growth_z,0.5,방어_M50_6m1m,1.041,35.09,33.72,0.99,1.404
gp_growth_z,cfo_growth_z,0.5,방어_M50_6m,0.722,29.32,40.63,0.851,1.239
gp_growth_z,cfo_growth_z,0.5,밸런스_G30_6m,0.333,18.52,55.69,0.631,0.91
gp_growth_z,cfo_growth_z,0.55,공격_G50_12m1m,0.363,20.39,56.15,0.66,0.936
gp_growth_z,cfo_growth_z,0.55,공격_G40_12m,0.631,27.67,43.86,0.815,1.188
gp_growth_z,cfo_growth_z,0.55,방어_M50_6m1m,0.623,27.87,44.72,0.84,1.172
gp_growth_z,cfo_growth_z,0.55,방어_M50_6m,0.678,27.78,40.98,0.818,1.165
gp_growth_z,cfo_growth_z,0.55,밸런스_G30_6m,0.323,19.02,58.86,0.641,0.918
gp_growth_z,cfo_growth_z,0.6,공격_G50_12m1m,0.366,18.92,51.68,0.631,0.903
gp_growth_z,cfo_growth_z,0.6,공격_G40_12m,0.806,34.39,42.69,0.948,1.409
gp_growth_z,cfo_growth_z,0.6,방어_M50_6m1m,0.607,27.1,44.67,0.828,1.134
gp_growth_z,cfo_growth_z,0.6,방어_M50_6m,0.755,28.71,38.05,0.84,1.201
gp_growth_z,cfo_growth_z,0.6,밸런스_G30_6m,0.346,20.23,58.38,0.664,0.939
gp_growth_z,cfo_growth_z,0.65,공격_G50_12m1m,0.376,19.37,51.59,0.645,0.929
gp_growth_z,cfo_growth_z,0.65,공격_G40_12m,0.978,37.98,38.85,1.012,1.539
gp_growth_z,cfo_growth_z,0.65,방어_M50_6m1m,0.643,27.61,42.91,0.84,1.141
gp_growth_z,cfo_growth_z,0.65,방어_M50_6m,1.054,37.09,35.2,1.0,1.443
gp_growth_z,cfo_growth_z,0.65,밸런스_G30_6m,0.427,21.95,51.45,0.7,1.005
gp_growth_z,cfo_growth_z,0.7,공격_G50_12m1m,0.259,15.64,60.41,0.564,0.827
gp_growth_z,cfo_growth_z,0.7,공격_G40_12m,1.229,42.38,34.47,1.098,1.648
gp_growth_z,cfo_growth_z,0.7,방어_M50_6m1m,0.958,34.38,35.87,0.979,1.337
gp_growth_z,cfo_growth_z,0.7,방어_M50_6m,1.165,44.58,38.28,1.14,1.657
gp_growth_z,cfo_growth_z,0.7,밸런스_G30_6m,0.336,17.84,53.07,0.618,0.881
gp_growth_z,cfo_growth_z,0.75,공격_G50_12m1m,0.232,13.78,59.33,0.525,0.791
gp_growth_z,cfo_growth_z,0.75,공격_G40_12m,0.625,26.41,42.25,0.791,1.176
gp_growth_z,cfo_growth_z,0.75,방어_M50_6m1m,1.042,35.46,34.04,0.998,1.379
gp_growth_z,cfo_growth_z,0.75,방어_M50_6m,0.96,40.08,41.77,1.052,1.495
gp_growth_z,cfo_growth_z,0.75,밸런스_G30_6m,0.448,22.92,51.17,0.724,1.029
gp_growth_z,cfo_growth_z,0.8,공격_G50_12m1m,0.425,23.19,54.51,0.73,1.103
gp_growth_z,cfo_growth_z,0.8,공격_G40_12m,0.641,28.16,43.93,0.832,1.247
gp_growth_z,cfo_growth_z,0.8,방어_M50_6m1m,1.158,38.11,32.93,1.055,1.482
gp_growth_z,cfo_growth_z,0.8,방어_M50_6m,0.934,38.57,41.29,1.025,1.43
gp_growth_z,cfo_growth_z,0.8,밸런스_G30_6m,0.588,28.22,47.98,0.83,1.153
gp_growth_z,cfo_growth_z,0.85,공격_G50_12m1m,0.355,19.54,54.97,0.657,0.993
gp_growth_z,cfo_growth_z,0.85,공격_G40_12m,0.465,22.89,49.22,0.722,1.064
gp_growth_z,cfo_growth_z,0.85,방어_M50_6m1m,0.978,33.03,33.76,0.953,1.329
gp_growth_z,cfo_growth_z,0.85,방어_M50_6m,1.002,36.96,36.89,0.994,1.428
gp_growth_z,cfo_growth_z,0.85,밸런스_G30_6m,0.826,32.35,39.18,0.909,1.259
gp_growth_z,cfo_growth_z,0.9,공격_G50_12m1m,0.307,15.38,50.17,0.566,0.861
gp_growth_z,cfo_growth_z,0.9,공격_G40_12m,0.334,16.79,50.3,0.592,0.876
gp_growth_z,cfo_growth_z,0.9,방어_M50_6m1m,1.252,36.45,29.1,1.019,1.42
gp_growth_z,cfo_growth_z,0.9,방어_M50_6m,0.887,35.14,39.6,0.972,1.39
gp_growth_z,cfo_growth_z,0.9,밸런스_G30_6m,0.782,29.54,37.78,0.853,1.183
gp_growth_z,cfo_growth_z,0.95,공격_G50_12m1m,0.28,15.85,56.55,0.575,0.885
gp_growth_z,cfo_growth_z,0.95,공격_G40_12m,0.251,12.93,51.43,0.507,0.751
gp_growth_z,cfo_growth_z,0.95,방어_M50_6m1m,1.064,38.18,35.89,1.047,1.451
gp_growth_z,cfo_growth_z,0.95,방어_M50_6m,0.909,36.41,40.07,0.992,1.428
gp_growth_z,cfo_growth_z,0.95,밸런스_G30_6m,1.059,38.21,36.07,1.01,1.412
gp_growth_z,cfo_growth_z,1.0,공격_G50_12m1m,0.304,18.27,60.16,0.627,0.954
gp_growth_z,cfo_growth_z,1.0,공격_G40_12m,0.27,14.56,53.88,0.543,0.817
gp_growth_z,cfo_growth_z,1.0,방어_M50_6m1m,0.89,36.78,41.34,1.018,1.413
gp_growth_z,cfo_growth_z,1.0,방어_M50_6m,0.973,37.93,38.99,1.016,1.458
gp_growth_z,cfo_growth_z,1.0,밸런스_G30_6m,0.987,36.78,37.28,0.98,1.368
op_margin_z,cfo_growth_z,0.0,공격_G50_12m1m,0.3,15.59,52.01,0.572,0.792
op_margin_z,cfo_growth_z,0.0,공격_G40_12m,1.23,39.4,32.04,1.067,1.626
op_margin_z,cfo_growth_z,0.0,방어_M50_6m1m,0.753,36.39,48.33,1.021,1.416
op_margin_z,cfo_growth_z,0.0,방어_M50_6m,0.43,19.21,44.64,0.649,0.927
op_margin_z,cfo_growth_z,0.0,밸런스_G30_6m,0.516,26.07,50.53,0.791,1.169
op_margin_z,cfo_growth_z,0.05,공격_G50_12m1m,0.288,14.34,49.85,0.544,0.763
op_margin_z,cfo_growth_z,0.05,공격_G40_12m,1.132,36.28,32.04,1.008,1.529
op_margin_z,cfo_growth_z,0.05,방어_M50_6m1m,0.613,33.27,54.24,0.962,1.333
op_margin_z,cfo_growth_z,0.05,방어_M50_6m,0.38,18.4,48.35,0.629,0.88
op_margin_z,cfo_growth_z,0.05,밸런스_G30_6m,0.545,27.45,50.35,0.821,1.209
op_margin_z,cfo_growth_z,0.1,공격_G50_12m1m,0.413,20.34,49.27,0.682,0.975
op_margin_z,cfo_growth_z,0.1,공격_G40_12m,1.251,39.91,31.89,1.072,1.638
op_margin_z,cfo_growth_z,0.1,방어_M50_6m1m,0.604,32.61,53.96,0.945,1.31
op_margin_z,cfo_growth_z,0.1,방어_M50_6m,0.48,20.91,43.57,0.685,0.986
op_margin_z,cfo_growth_z,0.1,밸런스_G30_6m,0.605,31.66,52.32,0.901,1.343
op_margin_z,cfo_growth_z,0.15,공격_G50_12m1m,0.55,24.32,44.22,0.765,1.101
op_margin_z,cfo_growth_z,0.15,공격_G40_12m,1.008,32.1,31.84,0.917,1.383
op_margin_z,cfo_growth_z,0.15,방어_M50_6m1m,0.599,33.29,55.55,0.961,1.33
op_margin_z,cfo_growth_z,0.15,방어_M50_6m,0.545,21.38,39.23,0.694,0.999
op_margin_z,cfo_growth_z,0.15,밸런스_G30_6m,0.611,30.94,50.65,0.889,1.303
op_margin_z,cfo_growth_z,0.2,공격_G50_12m1m,0.824,32.46,39.38,0.925,1.343
op_margin_z,cfo_growth_z,0.2,공격_G40_12m,0.961,31.45,32.72,0.906,1.329
op_margin_z,cfo_growth_z,0.2,방어_M50_6m1m,0.639,33.25,52.05,0.962,1.327
op_margin_z,cfo_growth_z,0.2,방어_M50_6m,0.781,28.91,37.01,0.845,1.223
op_margin_z,cfo_growth_z,0.2,밸런스_G30_6m,0.573,29.22,51.0,0.857,1.247
op_margin_z,cfo_growth_z,0.25,공격_G50_12m1m,0.754,31.61,41.94,0.909,1.334
op_margin_z,cfo_growth_z,0.25,공격_G40_12m,1.359,42.61,31.35,1.099,1.647
op_margin_z,cfo_growth_z,0.25,방어_M50_6m1m,0.775,37.36,48.18,1.047,1.461
op_margin_z,cfo_growth_z,0.25,방어_M50_6m,0.574,24.67,42.99,0.762,1.101
op_margin_z,cfo_growth_z,0.25,밸런스_G30_6m,0.624,28.85,46.21,0.847,1.23
op_margin_z,cfo_growth_z,0.3,공격_G50_12m1m,0.878,36.28,41.31,0.991,1.457
op_margin_z,cfo_growth_z,0.3,공격_G40_12m,1.192,39.18,32.86,1.038,1.524
op_margin_z,cfo_growth_z,0.3,방어_M50_6m1m,0.863,39.0,45.18,1.075,1.536
op_margin_z,cfo_growth_z,0.3,방어_M50_6m,0.636,25.35,39.88,0.778,1.13
op_margin_z,cfo_growth_z,0.3,밸런스_G30_6m,0.694,30.67,44.17,0.887,1.285
op_margin_z,cfo_growth_z,0.35,공격_G50_12m1m,0.665,29.27,44.05,0.847,1.234
op_margin_z,cfo_growth_z,0.35,공격_G40_12m,1.189,41.83,35.19,1.086,1.595
op_margin_z,cfo_growth_z,0.35,방어_M50_6m1m,0.742,35.6,47.99,1.013,1.448
op_margin_z,cfo_growth_z,0.35,방어_M50_6m,0.625,25.09,40.13,0.776,1.102
op_margin_z,cfo_growth_z,0.35,밸런스_G30_6m,0.744,33.12,44.49,0.942,1.347
op_margin_z,cfo_growth_z,0.4,공격_G50_12m1m,0.616,29.36,47.67,0.855,1.245
op_margin_z,cfo_growth_z,0.4,공격_G40_12m,1.661,51.51,31.01,1.255,1.879
op_margin_z,cfo_growth_z,0.4,방어_M50_6m1m,0.473,24.61,52.04,0.791,1.103
op_margin_z,cfo_growth_z,0.4,방어_M50_6m,0.683,28.14,41.18,0.837,1.197
op_margin_z,cfo_growth_z,0.4,밸런스_G30_6m,0.85,37.15,43.72,1.02,1.481
op_margin_z,cfo_growth_z,0.45,공격_G50_12m1m,0.686,32.96,48.04,0.918,1.308
op_margin_z,cfo_growth_z,0.45,공격_G40_12m,1.243,39.9,32.1,1.06,1.584
op_margin_z,cfo_growth_z,0.45,방어_M50_6m1m,0.573,26.8,46.73,0.836,1.178
op_margin_z,cfo_growth_z,0.45,방어_M50_6m,0.572,26.55,46.41,0.801,1.137
op_margin_z,cfo_growth_z,0.45,밸런스_G30_6m,0.938,43.84,46.72,1.144,1.681
op_margin_z,cfo_growth_z,0.5,공격_G50_12m1m,0.737,33.66,45.67,0.933,1.373
op_margin_z,cfo_growth_z,0.5,공격_G40_12m,0.903,34.07,37.72,0.953,1.389
op_margin_z,cfo_growth_z,0.5,방어_M50_6m1m,0.505,26.06,51.64,0.823,1.168
op_margin_z,cfo_growth_z,0.5,방어_M50_6m,0.53,24.81,46.83,0.765,1.067
op_margin_z,cfo_growth_z,0.5,밸런스_G30_6m,0.877,42.97,48.97,1.128,1.651
op_margin_z,cfo_growth_z,0.55,공격_G50_12m1m,0.816,35.63,43.67,0.967,1.435
op_margin_z,cfo_growth_z,0.55,공격_G40_12m,1.415,43.84,30.99,1.136,1.677
op_margin_z,cfo_growth_z,0.55,방어_M50_6m1m,0.474,26.75,56.42,0.827,1.116
op_margin_z,cfo_growth_z,0.55,방어_M50_6m,0.489,24.44,49.97,0.76,1.065
op_margin_z,cfo_growth_z,0.55,밸런스_G30_6m,0.865,44.47,51.43,1.154,1.705
op_margin_z,cfo_growth_z,0.6,공격_G50_12m1m,0.974,44.57,45.74,1.131,1.703
op_margin_z,cfo_growth_z,0.6,공격_G40_12m,1.025,42.06,41.05,1.101,1.625
op_margin_z,cfo_growth_z,0.6,방어_M50_6m1m,0.514,28.37,55.21,0.859,1.16
op_margin_z,cfo_growth_z,0.6,방어_M50_6m,0.597,31.08,52.06,0.896,1.266
op_margin_z,cfo_growth_z,0.6,밸런스_G30_6m,0.937,49.62,52.99,1.242,1.808
op_margin_z,cfo_growth_z,0.65,공격_G50_12m1m,1.36,47.73,35.1,1.179,1.812
op_margin_z,cfo_growth_z,0.65,공격_G40_12m,1.027,34.0,33.1,0.941,1.311
op_margin_z,cfo_growth_z,0.65,방어_M50_6m1m,0.541,31.34,57.97,0.917,1.232
op_margin_z,cfo_growth_z,0.65,방어_M50_6m,0.672,32.59,48.49,0.923,1.307
op_margin_z,cfo_growth_z,0.65,밸런스_G30_6m,0.914,45.68,49.97,1.169,1.69
op_margin_z,cfo_growth_z,0.7,공격_G50_12m1m,1.21,43.83,36.23,1.114,1.676
op_margin_z,cfo_growth_z,0.7,공격_G40_12m,1.181,35.75,30.27,0.979,1.362
op_margin_z,cfo_growth_z,0.7,방어_M50_6m1m,0.575,31.96,55.61,0.931,1.264
op_margin_z,cfo_growth_z,0.7,방어_M50_6m,0.836,39.1,46.76,1.043,1.482
op_margin_z,cfo_growth_z,0.7,밸런스_G30_6m,0.882,44.93,50.95,1.151,1.675
op_margin_z,cfo_growth_z,0.75,공격_G50_12m1m,1.046,42.98,41.09,1.104,1.683
op_margin_z,cfo_growth_z,0.75,공격_G40_12m,0.993,32.32,32.56,0.915,1.286
op_margin_z,cfo_growth_z,0.75,방어_M50_6m1m,0.851,37.47,44.06,1.046,1.469
op_margin_z,cfo_growth_z,0.75,방어_M50_6m,0.907,42.5,46.87,1.103,1.616
op_margin_z,cfo_growth_z,0.75,밸런스_G30_6m,1.105,47.65,43.12,1.19,1.707
op_margin_z,cfo_growth_z,0.8,공격_G50_12m1m,0.66,31.58,47.85,0.899,1.337
op_margin_z,cfo_growth_z,0.8,공격_G40_12m,1.158,40.8,35.24,1.069,1.51
op_margin_z,cfo_growth_z,0.8,방어_M50_6m1m,0.607,32.49,53.52,0.936,1.224
op_margin_z,cfo_growth_z,0.8,방어_M50_6m,0.957,43.68,45.65,1.123,1.644
op_margin_z,cfo_growth_z,0.8,밸런스_G30_6m,1.063,48.18,45.35,1.196,1.728
op_margin_z,cfo_growth_z,0.85,공격_G50_12m1m,0.877,36.94,42.13,1.005,1.487
op_margin_z,cfo_growth_z,0.85,공격_G40_12m,0.866,35.97,41.51,0.976,1.365
op_margin_z,cfo_growth_z,0.85,방어_M50_6m1m,1.181,40.63,34.4,1.111,1.575
op_margin_z,cfo_growth_z,0.85,방어_M50_6m,0.9,41.11,45.66,1.087,1.565
op_margin_z,cfo_growth_z,0.85,밸런스_G30_6m,0.997,51.08,51.21,1.25,1.818
op_margin_z,cfo_growth_z,0.9,공격_G50_12m1m,1.527,45.19,29.6,1.165,1.701
op_margin_z,cfo_growth_z,0.9,공격_G40_12m,1.34,39.82,29.72,1.049,1.471
op_margin_z,cfo_growth_z,0.9,방어_M50_6m1m,1.281,44.68,34.88,1.185,1.694
op_margin_z,cfo_growth_z,0.9,방어_M50_6m,1.13,47.91,42.38,1.212,1.745
op_margin_z,cfo_growth_z,0.9,밸런스_G30_6m,1.515,64.75,42.74,1.453,2.146
op_margin_z,cfo_growth_z,0.95,공격_G50_12m1m,0.982,35.2,35.83,0.963,1.348
op_margin_z,cfo_growth_z,0.95,공격_G40_12m,0.969,36.51,37.66,0.991,1.415
op_margin_z,cfo_growth_z,0.95,방어_M50_6m1m,1.442,48.49,33.62,1.257,1.806
op_margin_z,cfo_growth_z,0.95,방어_M50_6m,1.252,48.87,39.03,1.223,1.767
op_margin_z,cfo_growth_z,0.95,밸런스_G30_6m,1.447,63.97,44.22,1.437,2.111
op_margin_z,cfo_growth_z,1.0,공격_G50_12m1m,0.673,27.7,41.18,0.826,1.176
op_margin_z,cfo_growth_z,1.0,공격_G40_12m,0.806,34.65,43.02,0.952,1.385
op_margin_z,cfo_growth_z,1.0,방어_M50_6m1m,1.603,49.69,31.0,1.28,1.831
op_margin_z,cfo_growth_z,1.0,방어_M50_6m,1.35,52.47,38.86,1.285,1.863
op_margin_z,cfo_growth_z,1.0,밸런스_G30_6m,1.414,62.59,44.27,1.412,2.085
