sub1,sub2,ratio,config,calmar,cagr,mdd,sharpe,sortino
rev_accel_z,cfo_growth_z,0.5,방어_M50_6m1m,0.83,32.75,39.45,0.94,1.311
rev_accel_z,cfo_growth_z,0.5,방어_M50_6m,0.772,33.25,43.08,0.93,1.32
rev_accel_z,cfo_growth_z,0.5,밸런스_G30_6m,0.795,34.06,42.86,0.941,1.385
rev_accel_z,cfo_growth_z,0.55,공격_G50_12m1m,1.648,52.48,31.85,1.305,1.966
rev_accel_z,cfo_growth_z,0.55,공격_G40_12m,0.709,29.77,41.97,0.877,1.272
rev_accel_z,cfo_growth_z,0.55,방어_M50_6m1m,0.959,36.52,38.06,1.022,1.48
rev_accel_z,cfo_growth_z,0.55,방어_M50_6m,0.701,31.51,44.94,0.905,1.302
rev_accel_z,cfo_growth_z,0.55,밸런스_G30_6m,0.439,22.3,50.83,0.712,1.047
rev_accel_z,cfo_growth_z,0.6,공격_G50_12m1m,1.605,48.95,30.5,1.256,1.844
rev_accel_z,cfo_growth_z,0.6,공격_G40_12m,0.783,29.79,38.06,0.884,1.278
rev_accel_z,cfo_growth_z,0.6,방어_M50_6m1m,1.033,39.67,38.41,1.082,1.576
rev_accel_z,cfo_growth_z,0.6,방어_M50_6m,0.574,26.07,45.4,0.802,1.154
rev_accel_z,cfo_growth_z,0.6,밸런스_G30_6m,0.387,19.09,49.28,0.646,0.945
rev_accel_z,cfo_growth_z,0.65,공격_G50_12m1m,1.391,50.49,36.29,1.279,1.9
rev_accel_z,cfo_growth_z,0.65,공격_G40_12m,0.82,31.02,37.83,0.91,1.307
rev_accel_z,cfo_growth_z,0.65,방어_M50_6m1m,0.616,28.33,45.97,0.865,1.234
rev_accel_z,cfo_growth_z,0.65,방어_M50_6m,0.783,30.03,38.36,0.881,1.274
rev_accel_z,cfo_growth_z,0.65,밸런스_G30_6m,0.45,21.34,47.44,0.696,1.035
rev_accel_z,cfo_growth_z,0.7,공격_G50_12m1m,1.306,52.56,40.24,1.312,1.96
rev_accel_z,cfo_growth_z,0.7,공격_G40_12m,0.738,31.05,42.05,0.903,1.262
rev_accel_z,cfo_growth_z,0.7,방어_M50_6m1m,0.678,29.63,43.72,0.897,1.304
rev_accel_z,cfo_growth_z,0.7,방어_M50_6m,0.708,29.9,42.21,0.88,1.238
rev_accel_z,cfo_growth_z,0.7,밸런스_G30_6m,0.327,16.27,49.76,0.587,0.843
rev_accel_z,cfo_growth_z,0.75,공격_G50_12m1m,1.784,55.69,31.22,1.369,2.082
rev_accel_z,cfo_growth_z,0.75,공격_G40_12m,1.136,38.22,33.63,1.037,1.451
rev_accel_z,cfo_growth_z,0.75,방어_M50_6m1m,0.937,36.44,38.89,1.038,1.523
rev_accel_z,cfo_growth_z,0.75,방어_M50_6m,0.679,28.43,41.89,0.851,1.202
rev_accel_z,cfo_growth_z,0.75,밸런스_G30_6m,0.37,17.46,47.17,0.617,0.879
rev_accel_z,cfo_growth_z,0.8,공격_G50_12m1m,1.319,46.56,35.3,1.204,1.802
rev_accel_z,cfo_growth_z,0.8,공격_G40_12m,1.199,40.77,34.02,1.082,1.527
rev_accel_z,cfo_growth_z,0.8,방어_M50_6m1m,0.852,34.97,41.04,1.008,1.496
rev_accel_z,cfo_growth_z,0.8,방어_M50_6m,0.738,28.67,38.88,0.856,1.204
rev_accel_z,cfo_growth_z,0.8,밸런스_G30_6m,0.284,14.3,50.37,0.544,0.778
rev_accel_z,cfo_growth_z,0.85,공격_G50_12m1m,0.979,35.67,36.45,1.013,1.517
rev_accel_z,cfo_growth_z,0.85,공격_G40_12m,1.203,38.76,32.23,1.043,1.48
rev_accel_z,cfo_growth_z,0.85,방어_M50_6m1m,0.878,37.41,42.6,1.058,1.532
rev_accel_z,cfo_growth_z,0.85,방어_M50_6m,0.789,29.96,37.96,0.886,1.269
rev_accel_z,cfo_growth_z,0.85,밸런스_G30_6m,0.364,17.36,47.63,0.618,0.881
rev_accel_z,cfo_growth_z,0.9,공격_G50_12m1m,0.77,36.53,47.43,1.017,1.466
rev_accel_z,cfo_growth_z,0.9,공격_G40_12m,0.685,25.07,36.6,0.774,1.076
rev_accel_z,cfo_growth_z,0.9,방어_M50_6m1m,1.001,39.04,39.01,1.09,1.586
rev_accel_z,cfo_growth_z,0.9,방어_M50_6m,0.89,32.7,36.75,0.945,1.35
rev_accel_z,cfo_growth_z,0.9,밸런스_G30_6m,0.454,19.37,42.68,0.662,0.934
rev_accel_z,cfo_growth_z,0.95,공격_G50_12m1m,0.94,39.62,42.13,1.073,1.548
rev_accel_z,cfo_growth_z,0.95,공격_G40_12m,0.887,29.43,33.2,0.866,1.21
rev_accel_z,cfo_growth_z,0.95,방어_M50_6m1m,1.132,41.68,36.83,1.142,1.697
rev_accel_z,cfo_growth_z,0.95,방어_M50_6m,0.709,28.73,40.52,0.868,1.233
rev_accel_z,cfo_growth_z,0.95,밸런스_G30_6m,0.369,16.62,45.02,0.601,0.845
rev_accel_z,cfo_growth_z,1.0,공격_G50_12m1m,0.849,35.44,41.74,0.981,1.399
rev_accel_z,cfo_growth_z,1.0,공격_G40_12m,1.318,41.28,31.32,1.089,1.557
rev_accel_z,cfo_growth_z,1.0,방어_M50_6m1m,0.879,39.47,44.92,1.096,1.588
rev_accel_z,cfo_growth_z,1.0,방어_M50_6m,0.66,26.47,40.1,0.826,1.191
rev_accel_z,cfo_growth_z,1.0,밸런스_G30_6m,0.464,20.73,44.67,0.693,0.992
gp_growth_z,op_margin_z,0.0,공격_G50_12m1m,0.673,27.7,41.18,0.826,1.176
gp_growth_z,op_margin_z,0.0,공격_G40_12m,0.806,34.65,43.02,0.952,1.385
gp_growth_z,op_margin_z,0.0,방어_M50_6m1m,1.603,49.69,31.0,1.28,1.831
gp_growth_z,op_margin_z,0.0,방어_M50_6m,1.35,52.47,38.86,1.285,1.863
gp_growth_z,op_margin_z,0.0,밸런스_G30_6m,1.414,62.59,44.27,1.412,2.085
gp_growth_z,op_margin_z,0.05,공격_G50_12m1m,0.889,32.55,36.59,0.917,1.278
gp_growth_z,op_margin_z,0.05,공격_G40_12m,0.866,35.8,41.35,0.97,1.399
gp_growth_z,op_margin_z,0.05,방어_M50_6m1m,1.344,49.19,36.6,1.268,1.814
gp_growth_z,op_margin_z,0.05,방어_M50_6m,1.269,51.45,40.53,1.267,1.841
gp_growth_z,op_margin_z,0.05,밸런스_G30_6m,1.22,54.36,44.56,1.279,1.871
gp_growth_z,op_margin_z,0.1,공격_G50_12m1m,0.625,30.07,48.13,0.865,1.217
gp_growth_z,op_margin_z,0.1,공격_G40_12m,0.778,29.9,38.42,0.858,1.231
gp_growth_z,op_margin_z,0.1,방어_M50_6m1m,1.688,52.32,31.0,1.333,1.929
gp_growth_z,op_margin_z,0.1,방어_M50_6m,1.27,48.17,37.94,1.211,1.757
gp_growth_z,op_margin_z,0.1,밸런스_G30_6m,1.438,57.0,39.63,1.319,1.931
gp_growth_z,op_margin_z,0.15,공격_G50_12m1m,0.584,29.12,49.83,0.844,1.174
gp_growth_z,op_margin_z,0.15,공격_G40_12m,0.94,33.19,35.32,0.917,1.312
gp_growth_z,op_margin_z,0.15,방어_M50_6m1m,1.694,56.21,33.18,1.381,1.98
gp_growth_z,op_margin_z,0.15,방어_M50_6m,1.248,49.55,39.72,1.231,1.799
gp_growth_z,op_margin_z,0.15,밸런스_G30_6m,1.284,54.23,42.23,1.277,1.859
gp_growth_z,op_margin_z,0.2,공격_G50_12m1m,0.62,29.42,47.45,0.842,1.163
gp_growth_z,op_margin_z,0.2,공격_G40_12m,0.798,30.12,37.76,0.862,1.209
gp_growth_z,op_margin_z,0.2,방어_M50_6m1m,1.369,49.3,36.0,1.259,1.826
gp_growth_z,op_margin_z,0.2,방어_M50_6m,1.252,47.9,38.25,1.197,1.762
gp_growth_z,op_margin_z,0.2,밸런스_G30_6m,1.226,51.05,41.63,1.224,1.801
gp_growth_z,op_margin_z,0.25,공격_G50_12m1m,0.577,27.9,48.38,0.818,1.118
