v,q,g,m,g_rev,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings,wf_avg_calmar,WF1_calmar,WF2_calmar,WF3_calmar
10,20,15,55,0.3,6m,7,15,5,,-0.2,,2.066,59.36,28.73,1.398,1.966,5.0,2.328333333333333,0.43,2.799,3.756
10,20,15,55,0.4,6m,5,12,5,,-0.2,,2.079,61.43,29.55,1.417,2.043,4.9,2.3233333333333337,0.029,2.826,4.115
10,20,15,55,0.3,6m,7,15,5,,-0.2,0.65,2.24,61.79,27.58,1.453,2.05,5.0,2.154333333333333,0.515,2.588,3.36
10,20,15,55,0.5,6m,5,15,5,-0.1,,0.65,2.135,66.71,31.25,1.505,2.219,4.9,2.1446666666666667,0.483,2.701,3.25
10,20,15,55,0.3,6m,7,15,5,-0.12,-0.2,0.65,2.107,58.13,27.58,1.392,1.949,5.0,2.142333333333333,0.515,2.698,3.214
10,20,15,55,0.3,6m,7,15,5,-0.1,-0.2,0.65,2.234,60.95,27.28,1.426,1.983,5.0,2.135,0.716,2.845,2.844
10,20,10,60,0.3,6m,5,15,5,-0.08,,0.6,2.057,57.99,28.19,1.365,1.901,4.9,2.0980000000000003,-0.085,3.132,3.247
5,25,10,60,0.4,6m,5,12,5,-0.1,,,2.07,57.94,27.99,1.4,2.033,4.9,2.0593333333333335,0.299,2.164,3.715
15,25,10,50,0.3,6m,7,15,5,-0.12,,0.6,2.213,63.02,28.47,1.494,2.176,5.0,2.018333333333333,-0.373,3.575,2.853
15,25,10,50,0.3,6m,7,15,5,-0.12,-0.15,0.6,2.086,61.28,29.38,1.481,2.169,5.0,1.0583333333333333,0.185,1.373,1.617
