날짜,종가
2015-01-05,-0.0021651211242289525
2015-01-06,-0.017727012200114522
2015-01-07,0.0025007293794023777
2015-01-08,0.01417702573483548
2015-01-09,0.008649667951135642
2015-01-12,-0.0014224751066856944
2015-01-13,0.0024013024013023188
2015-01-14,-0.00121807625157333
2015-01-15,-0.0009349973576162629
2015-01-16,-0.014404296875
2015-01-19,0.010568904301874404
2015-01-20,0.010049840673257648
2015-01-21,0.005460281507846609
2015-01-22,-0.0004827225552114234
2015-01-23,0.007445566869239695
2015-01-26,-0.0007190795781399917
2015-01-27,0.00823538818261782
2015-01-28,3.965107057890549e-05
2015-01-29,-0.006938662225922876
2015-01-30,-0.0023157390401661315
2015-02-02,0.0029214022730912337
2015-02-03,-0.0009177606639799718
2015-02-04,0.004872593657640367
2015-02-05,-0.007233704292527787
2015-02-06,0.00152133877812477
2015-02-09,-0.0035976974736169343
2015-02-10,-0.0064190002407125135
2015-02-11,0.0029879673746264768
2015-02-12,-0.002777777777777768
2015-02-13,0.008275806386500273
2015-02-16,0.00020019218449718323
2015-02-17,0.0022417036948081392
2015-02-23,0.001717458161920371
2015-02-24,0.00191387559808609
2015-02-25,0.006685768863419428
2015-02-26,-0.00011859582542694813
2015-02-27,-0.005811884711184878
2015-03-02,0.008709138630398572
2015-03-03,0.0033510743150009237
2015-03-04,-0.0007465618860510448
2015-03-05,-0.0005898313082458584
2015-03-06,0.007082152974504208
2015-03-09,-0.012462884825753973
2015-03-10,-0.004035288997903286
2015-03-11,0.0016285998013902958
2015-03-12,-0.007455583756345141
2015-03-13,0.0075914975227744375
2015-03-16,0.001031009596319965
2015-03-17,0.022738076374584137
2015-03-18,0.0001549306685260099
2015-03-19,0.002981953373092594
2015-03-20,-0.0011197343526777592
2015-03-23,0.0009663703131039814
2015-03-24,0.0008109673682179519
2015-03-25,-0.0008488964346350381
2015-03-26,-0.011392600602456171
2015-03-27,-0.0017578811672331884
2015-03-30,0.002191437739688551
2015-03-31,0.0046075751659506725
2015-04-01,-0.008978544776119257
2015-04-02,7.844060085493432e-05
2015-04-03,0.0069022314600573065
2015-04-06,0.000701071080817961
2015-04-07,-0.0001946055345813935
2015-04-08,0.006345375272500675
2015-04-09,-0.0006962980155507115
2015-04-10,0.014013084039794066
2015-04-13,0.005840809314754836
2015-04-14,0.007932290875967807
2015-04-15,0.0007530971118725471
2015-04-16,0.010083907137750758
2015-04-17,-0.0006332650400447948
2015-04-20,0.0010064112121666025
2015-04-21,-0.0014150065164774128
2015-04-22,0.0017526196069657107
2015-04-23,0.014703692674210789
2015-04-24,-0.005649510253494139
2015-04-27,-0.0036893562073417874
2015-04-28,-0.005554526939455684
2015-04-29,-0.0019363247067586409
2015-04-30,-0.006006790284669439
2015-05-04,0.0034156594850234256
2015-05-06,-0.012344293569745313
2015-05-07,-0.00590841949778409
2015-05-08,-0.006324532327504184
2015-05-11,0.0026072619914880857
2015-05-12,-0.00026769666144021986
2015-05-13,0.0070002295157216565
2015-05-14,0.0016714150047483223
2015-05-15,-0.008949903295536465
2015-05-18,0.0024490108292198887
2015-05-19,0.003626369431614318
2015-05-20,0.009280389472082762
2015-05-21,-0.010174856798311649
2015-05-22,0.012830274880072823
2015-05-26,-0.0023305642220800005
2015-05-27,-0.019780716627105233
2015-05-28,-0.00038437884378850207
2015-05-29,0.0012689379373989063
2015-06-01,-0.006336648872844464
2015-06-02,-0.00946896498415395
2015-06-03,-0.00850598930898594
2015-06-04,0.005352012907795745
2015-06-05,-0.0020746075860179625
2015-06-08,-0.00286341884364949
2015-06-09,-0.0027536288895009253
2015-06-10,-0.005522464597057186
2015-06-11,0.000832969735432787
2015-06-12,-0.002615726062143331
2015-06-15,-0.0036557259794961494
2015-06-16,-0.008973438621679874
2015-06-17,0.0023743410197594184
2015-06-18,0.0023687168781112433
2015-06-19,0.0006808987863982097
2015-06-22,0.004602945885366694
2015-06-23,0.014064305350810713
2015-06-24,0.0016501650165015036
2015-06-25,-0.004471640385973141
2015-06-26,0.0026792750197004445
2015-06-29,-0.012653253693806987
2015-06-30,0.004019740507840597
2015-07-01,0.011099219090656698
2015-07-02,0.0016858117379543458
2015-07-03,-0.0032876712328767654
2015-07-06,-0.024974475771617044
2015-07-07,-0.001006846556584784
2015-07-08,-0.01253779479943562
2015-07-09,0.007471217441006095
2015-07-10,0.0002431413867163279
2015-07-13,0.012194627881537912
2015-07-14,-0.004803073967339144
2015-07-15,0.004062097812097987
2015-07-16,0.0072902062888042796
2015-07-17,-0.004931005686563017
2015-07-20,-0.005275146864884284
2015-07-21,0.005785223574786169
2015-07-22,-0.00986618733772715
2015-07-23,-0.0022994997579474097
2015-07-24,-0.009704419554405375
2015-07-27,0.0002858192805519355
2015-07-28,0.0009388521511961567
2015-07-29,0.00309938420129674
2015-07-30,-0.009594666016180753
2015-07-31,0.002832396042855345
2015-08-03,-0.01154318460908732
2015-08-04,0.008572138479377323
2015-08-05,-0.001765551221515116
2015-08-06,-0.012668641000329162
2015-08-07,-0.0010414930844858672
2015-08-10,-0.0025438925726677386
2015-08-11,-0.005309808512417469
2015-08-12,-0.002816190996595247
2015-08-13,0.0003372112628561297
2015-08-17,-0.008216753750210692
2015-08-18,-0.0007222670688703525
2015-08-19,-0.003954081632652984
2015-08-20,-0.011439791693345303
2015-08-21,-0.019214992011744925
2015-08-24,-0.024698423879545572
2015-08-25,0.006951654403466678
2015-08-26,0.020800645537275342
2015-08-27,0.005401607307540246
2015-08-28,0.014894732244256081
2015-08-31,0.001936733376372013
2015-09-01,-0.013960481099656308
