v,q,g,m,g_rev,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings,wf_avg_calmar,WF1_calmar,WF2_calmar,WF3_calmar,stability
25,0,50,25,0.3,12m-1m,3,4,7,-0.12,-0.15,,2.104,97.29,46.25,1.614,2.528,2.9,9.037666666666667,4.889,11.146,11.078,8.695652173913043
25,0,50,25,0.3,12m-1m,3,4,7,-0.1,-0.15,,2.089,96.63,46.25,1.606,2.518,2.8,8.999666666666668,4.721,11.146,11.132,8.695652173913043
25,0,50,25,0.3,12m-1m,3,4,5,-0.1,-0.15,,2.089,96.63,46.25,1.606,2.518,2.8,8.999666666666668,4.721,11.146,11.132,8.695652173913043
25,0,55,20,0.3,12m,5,15,7,-0.12,,,2.061,63.0,30.56,1.457,2.209,6.0,8.474666666666666,1.73,11.829,11.865,8.0
5,10,45,40,0.3,6m,7,12,5,-0.12,-0.15,0.65,2.19,78.73,35.94,1.62,2.543,5.0,8.539666666666667,2.552,9.715,13.352,5.88235294117647
5,10,45,40,0.3,6m,7,12,5,,-0.15,0.65,2.175,78.47,36.08,1.619,2.539,5.0,7.974666666666667,2.668,8.578,12.678,5.88235294117647
25,10,30,35,0.3,12m,5,8,5,-0.08,-0.15,,2.229,71.13,31.91,1.509,2.268,4.8,7.297000000000001,2.288,10.55,9.053,5.88235294117647
25,5,45,25,0.3,12m,5,12,5,-0.12,,,2.085,70.88,33.99,1.522,2.292,4.9,8.688666666666668,2.249,9.56,14.257,2.941176470588235
25,5,45,25,0.3,12m,5,12,5,,,,2.099,70.05,33.37,1.518,2.303,4.9,8.017000000000001,2.694,8.489,12.868,2.941176470588235
10,10,35,45,0.3,6m-1m,7,12,5,,,,2.074,74.04,35.69,1.58,2.376,5.0,7.347666666666666,1.142,8.257,12.644,2.941176470588235
25,0,55,20,0.3,12m,3,4,3,-0.08,-0.2,,2.063,93.01,45.09,1.531,2.441,2.7,13.602333333333334,3.206,20.742,16.859,0.0
25,5,45,25,0.3,12m,5,12,5,-0.08,,,2.055,68.53,33.35,1.495,2.266,4.9,8.612,2.334,10.041,13.461,0.0
5,10,45,40,0.3,6m,7,12,5,-0.12,-0.15,,2.063,76.46,37.06,1.563,2.42,5.0,8.398000000000001,2.205,11.029,11.96,0.0
