regime,atk,def,cal,cagr,mdd,sharpe,sortino,switches
DUAL_KP200+BS126_40_AND_5d,V20Q0G45M35,V20Q0G35M45,1.966,94.63,48.14,0.823,3.601,25
BS126_60pct_3d,V20Q0G45M35,V20Q0G35M45,1.966,91.47,46.53,0.797,3.731,28
BS126_30pct_10d,V20Q0G45M35,V20Q0G35M45,1.96,86.04,43.9,0.993,3.013,14
KD_MA200_5d,V25Q0G40M35,V30Q15G25M30,1.958,90.32,46.12,0.667,4.042,21
KD_MA200_5d,V25Q0G40M35,V30Q15G25M30,1.958,90.32,46.12,0.667,4.042,21
BS126_50pct_3d,V20Q0G45M35,V30Q15G25M30,1.957,88.76,45.35,0.664,3.921,24
BS126_50pct_3d,V20Q0G45M35,V30Q15G25M30,1.957,88.76,45.35,0.664,3.921,24
BL126_50pct_5d,V25Q0G40M35,V20Q0G35M45,1.95,80.53,41.3,0.753,3.402,27
BU126_50pct_5d,V25Q0G40M35,V30Q15G25M30,1.943,88.11,45.35,0.664,3.871,23
BU126_50pct_5d,V25Q0G40M35,V30Q15G25M30,1.943,88.11,45.35,0.664,3.871,23
KD_MA200_5d,V25Q0G40M35,V30Q15G25M30,1.934,87.71,45.35,0.66,4.001,21
KD_MA200_5d,V25Q0G40M35,V30Q15G25M30,1.934,87.71,45.35,0.66,4.001,21
DUAL_KP200+KD200_AND_5d,V25Q0G40M35,V30Q15G25M30,1.934,89.18,46.12,0.664,4.027,17
DUAL_KP200+KD200_AND_5d,V25Q0G40M35,V30Q15G25M30,1.934,89.18,46.12,0.664,4.027,17
BS126_40pct_10d,V20Q0G45M35,V30Q15G25M30,1.932,89.38,46.25,1.011,2.854,15
BS126_40pct_10d,V20Q0G45M35,V30Q15G25M30,1.932,89.38,46.25,1.011,2.854,15
BU126_30pct_3d,V20Q0G45M35,V20Q0G35M45,1.923,78.44,40.8,0.945,2.865,37
BS126_30pct_3d,V20Q0G45M35,V20Q0G35M45,1.918,83.64,43.61,0.978,2.962,29
BS126_30pct_10d,V20Q0G45M35,V20Q0G35M45,1.918,84.19,43.9,0.982,2.97,14
BS126_60pct_3d,V20Q0G45M35,V20Q0G35M45,1.918,89.27,46.53,0.788,3.688,28
BS126_60pct_3d,V20Q0G45M35,V20Q0G35M45,1.915,89.13,46.53,0.787,3.689,28
BS126_50pct_3d,V20Q0G45M35,V30Q15G25M30,1.913,88.25,46.12,0.661,3.932,24
BS126_50pct_3d,V20Q0G45M35,V30Q15G25M30,1.913,88.25,46.12,0.661,3.932,24
BU126_30pct_5d,V20Q0G45M35,V20Q0G35M45,1.913,83.44,43.63,0.977,2.969,24
KD_MA150_10d,V25Q0G40M35,V30Q15G25M30,1.908,86.54,45.35,0.657,3.992,11
KD_MA150_10d,V25Q0G40M35,V30Q15G25M30,1.908,86.54,45.35,0.657,3.992,11
BU126_40pct_5d,V25Q0G40M35,V30Q15G25M30,1.908,86.54,45.35,0.659,3.778,17
BU126_40pct_5d,V25Q0G40M35,V30Q15G25M30,1.908,86.54,45.35,0.659,3.778,17
BS126_40pct_10d,V20Q0G45M35,V30Q15G25M30,1.907,88.2,46.25,1.004,2.841,15
BS126_40pct_10d,V20Q0G45M35,V30Q15G25M30,1.907,88.2,46.25,1.004,2.841,15
BS126_60pct_3d,V20Q0G45M35,V20Q0G35M45,1.906,88.69,46.53,0.785,3.683,28
BS126_40pct_10d,V20Q0G45M35,V30Q15G25M30,1.905,88.09,46.25,1.003,2.849,15
BS126_40pct_10d,V20Q0G45M35,V30Q15G25M30,1.905,88.09,46.25,1.003,2.849,15
BS126_40pct_10d,V20Q0G45M35,V20Q0G35M45,1.899,86.61,45.61,0.996,3.015,15
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.899,86.14,45.35,0.656,3.913,28
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.899,86.14,45.35,0.656,3.913,28
DUAL_KP200+KD200_AND_5d,V25Q0G40M35,V30Q15G25M30,1.896,86.01,45.35,0.654,3.97,17
DUAL_KP200+KD200_AND_5d,V25Q0G40M35,V30Q15G25M30,1.896,86.01,45.35,0.654,3.97,17
BL126_60pct_5d,V25Q0G40M35,V20Q0G35M45,1.894,83.73,44.21,0.767,3.496,21
BS126_30pct_5d,V20Q0G45M35,V20Q0G35M45,1.892,81.41,43.02,0.964,2.937,20
DUAL_KP200+BS126_40_OR_5d,V20Q0G45M35,V20Q0G35M45,1.891,84.59,44.73,1.377,2.626,19
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.889,85.67,45.35,0.656,3.915,10
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.889,85.67,45.35,0.656,3.915,10
BS126_40pct_10d,V20Q0G45M35,V30Q15G25M30,1.887,87.27,46.25,0.998,2.817,15
BS126_40pct_10d,V20Q0G45M35,V30Q15G25M30,1.887,87.27,46.25,0.998,2.817,15
BU126_30pct_10d,V25Q0G40M35,V30Q15G25M30,1.886,90.41,47.93,0.796,3.402,16
BU126_30pct_10d,V25Q0G40M35,V30Q15G25M30,1.886,90.41,47.93,0.796,3.402,16
BS126_30pct_5d,V25Q0G40M35,V30Q15G25M30,1.884,91.41,48.51,0.8,3.429,20
BS126_30pct_5d,V25Q0G40M35,V30Q15G25M30,1.884,91.41,48.51,0.8,3.429,20
DUAL_KP200+BU126_40_AND_5d,V25Q0G40M35,V30Q15G25M30,1.882,86.79,46.12,0.658,3.796,19
DUAL_KP200+BU126_40_AND_5d,V25Q0G40M35,V30Q15G25M30,1.882,86.79,46.12,0.658,3.796,19
BU126_60pct_3d,V25Q0G40M35,V20Q0G35M45,1.879,85.7,45.61,0.774,3.604,26
DUAL_KP200+BU126_40_OR_5d,V20Q0G45M35,V20Q0G35M45,1.877,83.93,44.73,1.371,2.614,19
BS126_40pct_10d,V20Q0G45M35,V20Q0G35M45,1.873,85.45,45.61,0.988,3.001,15
BS126_40pct_10d,V20Q0G45M35,V20Q0G35M45,1.871,85.34,45.61,0.988,3.012,15
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.862,85.88,46.12,0.656,3.928,10
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.862,85.88,46.12,0.656,3.928,10
DUAL_KP200+BS126_40_OR_5d,V20Q0G45M35,V20Q0G35M45,1.859,82.67,44.46,1.356,2.595,19
BS126_40pct_10d,V20Q0G45M35,V20Q0G35M45,1.853,84.53,45.61,0.983,2.973,15
DUAL_KP200+BS126_40_OR_5d,V20Q0G45M35,V20Q0G35M45,1.852,82.33,44.46,1.355,2.576,19
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.852,84.0,45.35,0.65,3.873,28
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.852,84.0,45.35,0.65,3.873,28
BU126_30pct_10d,V20Q0G45M35,V20Q0G35M45,1.852,81.12,43.8,0.962,2.92,16
BS126_30pct_3d,V20Q0G45M35,V20Q0G35M45,1.849,80.65,43.61,0.959,2.903,29
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.849,83.87,45.35,0.649,3.874,28
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.849,83.87,45.35,0.649,3.874,28
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.847,85.2,46.12,0.652,3.92,28
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.847,85.2,46.12,0.652,3.92,28
BS126_30pct_10d,V25Q0G40M35,V30Q15G25M30,1.846,85.89,46.54,0.777,3.361,14
BS126_30pct_10d,V25Q0G40M35,V30Q15G25M30,1.846,85.89,46.54,0.777,3.361,14
DUAL_KP200+BU126_40_OR_5d,V20Q0G45M35,V20Q0G35M45,1.845,82.01,44.46,1.35,2.583,19
DUAL_KP200+BU126_50_AND_5d,V25Q0G40M35,V30Q15G25M30,1.845,85.11,46.12,0.653,3.848,23
DUAL_KP200+BU126_50_AND_5d,V25Q0G40M35,V30Q15G25M30,1.845,85.11,46.12,0.653,3.848,23
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.845,83.7,45.35,0.65,3.886,10
BS126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.845,83.7,45.35,0.65,3.886,10
BS126_30pct_10d,V20Q0G45M35,V20Q0G35M45,1.842,80.85,43.9,0.96,2.909,14
BS126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.84,83.44,45.35,0.648,3.869,28
