v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
20,5,60,15,0.7,12m,4,7,2,75.73,62.7,1.208,1.284
25,0,50,25,0.6,12m,4,9,2,56.47,47.52,1.188,1.094
20,5,60,15,0.7,12m,6,7,2,73.34,62.7,1.17,1.26
20,5,60,15,0.7,12m,5,7,2,73.34,62.7,1.17,1.26
15,0,70,15,0.8,12m-1m,4,7,4,52.35,44.79,1.169,1.164
25,0,50,25,0.5,12m,4,7,2,57.52,50.76,1.133,1.101
15,0,70,15,0.8,12m-1m,4,8,4,50.09,44.9,1.116,1.134
25,0,50,25,0.5,12m,5,7,2,55.14,50.76,1.086,1.075
15,0,70,15,0.8,12m-1m,4,9,4,48.02,44.9,1.069,1.102
25,0,50,25,0.5,12m,6,7,2,53.6,50.76,1.056,1.058
25,0,50,25,0.6,12m,5,7,2,57.01,54.33,1.049,1.093
25,0,50,25,0.6,12m,5,8,2,53.08,52.47,1.012,1.053
25,0,50,25,0.6,12m,4,7,2,54.57,54.33,1.004,1.073
25,0,50,25,0.6,12m,5,9,2,49.52,51.87,0.955,1.011
0,0,75,25,0.4,12m,4,8,2,53.02,59.33,0.894,1.051
0,0,75,25,0.4,12m,4,7,2,50.69,58.09,0.873,1.03
0,0,75,25,0.4,12m,5,7,2,43.16,63.69,0.678,0.936
0,0,75,25,0.4,12m,6,8,2,40.85,67.98,0.601,0.902
0,0,75,25,0.4,12m,4,9,2,39.38,68.37,0.576,0.877
0,0,75,25,0.4,12m,6,7,2,37.52,67.78,0.553,0.864
0,0,75,25,0.4,12m,5,8,2,36.46,67.59,0.539,0.841
0,0,75,25,0.4,12m,6,9,2,34.51,72.39,0.477,0.815
0,0,75,25,0.4,12m,5,9,2,32.49,72.05,0.451,0.786
