gs1,gs2,gr,v,q,g,m,mom,cagr,mdd,cal,sh,sort
rev_z,rev_accel_z,0.0,40,10,30,20,6m,-24.46,79.8,-0.307,-0.155,-0.157
rev_z,rev_accel_z,0.0,40,10,30,20,6m-1m,-28.93,80.54,-0.359,-0.261,-0.266
rev_z,rev_accel_z,0.0,40,10,30,20,12m,-23.28,80.85,-0.288,-0.072,-0.072
rev_z,rev_accel_z,0.0,40,10,30,20,12m-1m,-30.47,82.3,-0.37,-0.268,-0.254
rev_z,rev_accel_z,0.0,35,15,25,25,6m,-15.25,77.34,-0.197,0.064,0.066
rev_z,rev_accel_z,0.0,35,15,25,25,6m-1m,-27.22,81.42,-0.334,-0.24,-0.255
rev_z,rev_accel_z,0.0,35,15,25,25,12m,-15.39,76.1,-0.202,0.041,0.042
rev_z,rev_accel_z,0.0,35,15,25,25,12m-1m,-13.21,76.78,-0.172,0.062,0.065
rev_z,rev_accel_z,0.0,30,10,30,30,6m,-4.82,67.92,-0.071,0.239,0.262
rev_z,rev_accel_z,0.0,30,10,30,30,6m-1m,-9.02,75.81,-0.119,0.101,0.114
rev_z,rev_accel_z,0.0,30,10,30,30,12m,-2.57,70.33,-0.036,0.267,0.292
rev_z,rev_accel_z,0.0,30,10,30,30,12m-1m,-11.86,77.8,-0.152,0.078,0.084
rev_z,rev_accel_z,0.0,10,40,30,20,6m,8.46,49.14,0.172,0.421,0.578
rev_z,rev_accel_z,0.0,10,40,30,20,6m-1m,7.54,57.45,0.131,0.403,0.538
rev_z,rev_accel_z,0.0,10,40,30,20,12m,29.39,42.34,0.694,0.748,1.034
rev_z,rev_accel_z,0.0,10,40,30,20,12m-1m,21.85,40.5,0.539,0.639,0.872
rev_z,rev_accel_z,0.0,15,35,25,25,6m,21.12,56.45,0.374,0.636,0.791
rev_z,rev_accel_z,0.0,15,35,25,25,6m-1m,21.74,47.85,0.454,0.642,0.883
rev_z,rev_accel_z,0.0,15,35,25,25,12m,10.57,60.39,0.175,0.456,0.616
rev_z,rev_accel_z,0.0,15,35,25,25,12m-1m,-4.34,61.79,-0.07,0.171,0.225
rev_z,rev_accel_z,0.0,20,30,20,30,6m,-0.75,72.38,-0.01,0.252,0.314
rev_z,rev_accel_z,0.0,20,30,20,30,6m-1m,-10.68,73.87,-0.145,0.043,0.052
rev_z,rev_accel_z,0.0,20,30,20,30,12m,2.96,62.62,0.047,0.341,0.408
rev_z,rev_accel_z,0.0,20,30,20,30,12m-1m,-12.27,70.68,-0.174,0.029,0.034
rev_z,rev_accel_z,0.0,10,10,60,20,6m,52.4,44.11,1.188,1.06,1.383
rev_z,rev_accel_z,0.0,10,10,60,20,6m-1m,24.46,58.97,0.415,0.692,0.843
rev_z,rev_accel_z,0.0,10,10,60,20,12m,38.66,45.68,0.846,0.876,1.06
rev_z,rev_accel_z,0.0,10,10,60,20,12m-1m,26.97,52.31,0.516,0.724,0.907
rev_z,rev_accel_z,0.0,15,5,50,30,6m,-4.6,67.77,-0.068,0.202,0.254
rev_z,rev_accel_z,0.0,15,5,50,30,6m-1m,-24.45,76.03,-0.322,-0.2,-0.219
rev_z,rev_accel_z,0.0,15,5,50,30,12m,31.71,57.05,0.556,0.784,0.931
rev_z,rev_accel_z,0.0,15,5,50,30,12m-1m,19.16,65.34,0.293,0.61,0.752
rev_z,rev_accel_z,0.0,5,5,70,20,6m,20.87,53.67,0.389,0.641,0.734
rev_z,rev_accel_z,0.0,5,5,70,20,6m-1m,45.48,52.79,0.861,0.97,1.199
rev_z,rev_accel_z,0.0,5,5,70,20,12m,37.02,51.8,0.715,0.85,1.025
rev_z,rev_accel_z,0.0,5,5,70,20,12m-1m,29.38,51.29,0.573,0.758,0.871
rev_z,rev_accel_z,0.0,10,10,55,25,6m,40.99,44.79,0.915,0.902,1.138
rev_z,rev_accel_z,0.0,10,10,55,25,6m-1m,-4.26,63.63,-0.067,0.195,0.249
rev_z,rev_accel_z,0.0,10,10,55,25,12m,39.03,54.74,0.713,0.88,1.097
rev_z,rev_accel_z,0.0,10,10,55,25,12m-1m,20.82,65.32,0.319,0.634,0.779
rev_z,rev_accel_z,0.0,10,10,20,60,6m,-12.72,75.24,-0.169,0.094,0.105
rev_z,rev_accel_z,0.0,10,10,20,60,6m-1m,-5.56,70.65,-0.079,0.22,0.231
rev_z,rev_accel_z,0.0,10,10,20,60,12m,54.82,51.29,1.069,1.0,1.391
rev_z,rev_accel_z,0.0,10,10,20,60,12m-1m,24.08,57.74,0.417,0.643,0.963
rev_z,rev_accel_z,0.0,15,10,20,55,6m,-19.49,78.31,-0.249,-0.031,-0.034
rev_z,rev_accel_z,0.0,15,10,20,55,6m-1m,-14.82,70.31,-0.211,-0.026,-0.029
rev_z,rev_accel_z,0.0,15,10,20,55,12m,19.63,55.48,0.354,0.588,0.808
rev_z,rev_accel_z,0.0,15,10,20,55,12m-1m,28.21,64.74,0.436,0.704,0.975
rev_z,rev_accel_z,0.0,10,5,25,60,6m,7.07,62.22,0.114,0.421,0.509
rev_z,rev_accel_z,0.0,10,5,25,60,6m-1m,21.87,62.65,0.349,0.652,0.755
rev_z,rev_accel_z,0.0,10,5,25,60,12m,31.47,57.28,0.549,0.751,0.932
rev_z,rev_accel_z,0.0,10,5,25,60,12m-1m,23.93,64.93,0.368,0.651,0.833
rev_z,rev_accel_z,0.0,20,10,15,55,6m,-16.8,67.7,-0.248,-0.002,-0.002
rev_z,rev_accel_z,0.0,20,10,15,55,6m-1m,-22.12,75.47,-0.293,-0.139,-0.147
rev_z,rev_accel_z,0.0,20,10,15,55,12m,6.04,63.78,0.095,0.401,0.531
rev_z,rev_accel_z,0.0,20,10,15,55,12m-1m,-14.18,72.0,-0.197,-0.018,-0.021
rev_z,rev_accel_z,0.0,25,25,25,25,6m,-8.84,76.79,-0.115,0.121,0.138
rev_z,rev_accel_z,0.0,25,25,25,25,6m-1m,-19.07,77.99,-0.245,-0.105,-0.114
rev_z,rev_accel_z,0.0,25,25,25,25,12m,-18.06,74.35,-0.243,-0.093,-0.107
rev_z,rev_accel_z,0.0,25,25,25,25,12m-1m,-24.08,78.59,-0.306,-0.169,-0.178
rev_z,rev_accel_z,0.0,20,20,30,30,6m,1.44,64.32,0.022,0.325,0.369
rev_z,rev_accel_z,0.0,20,20,30,30,6m-1m,12.44,68.51,0.182,0.504,0.565
rev_z,rev_accel_z,0.0,20,20,30,30,12m,47.79,41.26,1.158,1.007,1.371
rev_z,rev_accel_z,0.0,20,20,30,30,12m-1m,-18.48,65.01,-0.284,-0.116,-0.136
rev_z,rev_accel_z,0.0,20,20,20,40,6m,-20.8,79.85,-0.26,-0.073,-0.078
rev_z,rev_accel_z,0.0,20,20,20,40,6m-1m,-6.01,70.72,-0.085,0.153,0.177
rev_z,rev_accel_z,0.0,20,20,20,40,12m,16.02,48.55,0.33,0.553,0.681
rev_z,rev_accel_z,0.0,20,20,20,40,12m-1m,2.97,57.53,0.052,0.319,0.407
rev_z,rev_accel_z,0.0,30,5,50,15,6m,-12.27,76.95,-0.16,0.098,0.105
rev_z,rev_accel_z,0.0,30,5,50,15,6m-1m,-22.57,83.05,-0.272,-0.073,-0.073
rev_z,rev_accel_z,0.0,30,5,50,15,12m,-23.81,78.09,-0.305,-0.173,-0.18
rev_z,rev_accel_z,0.0,30,5,50,15,12m-1m,-10.84,72.83,-0.149,0.115,0.119
rev_z,rev_accel_z,0.0,5,30,15,50,6m,76.88,51.18,1.502,1.287,1.642
rev_z,rev_accel_z,0.0,5,30,15,50,6m-1m,35.99,63.68,0.565,0.847,1.003
rev_z,rev_accel_z,0.0,5,30,15,50,12m,53.36,43.15,1.237,1.063,1.404
rev_z,rev_accel_z,0.0,5,30,15,50,12m-1m,36.0,47.6,0.756,0.843,1.132
rev_z,rev_accel_z,0.0,15,15,45,25,6m,22.09,59.15,0.373,0.648,0.814
rev_z,rev_accel_z,0.0,15,15,45,25,6m-1m,-5.98,64.74,-0.092,0.158,0.2
rev_z,rev_accel_z,0.0,15,15,45,25,12m,24.51,60.02,0.408,0.687,0.836
rev_z,rev_accel_z,0.0,15,15,45,25,12m-1m,15.44,63.3,0.244,0.554,0.656
rev_z,rev_accel_z,0.1,40,10,30,20,6m,-28.55,79.23,-0.36,-0.246,-0.253
rev_z,rev_accel_z,0.1,40,10,30,20,6m-1m,-14.42,79.41,-0.182,0.069,0.071
rev_z,rev_accel_z,0.1,40,10,30,20,12m,-23.68,80.08,-0.296,-0.09,-0.089
rev_z,rev_accel_z,0.1,40,10,30,20,12m-1m,-20.48,78.88,-0.26,-0.024,-0.023
rev_z,rev_accel_z,0.1,35,15,25,25,6m,-3.29,67.17,-0.049,0.255,0.28
rev_z,rev_accel_z,0.1,35,15,25,25,6m-1m,-16.79,75.56,-0.222,-0.022,-0.024
rev_z,rev_accel_z,0.1,35,15,25,25,12m,-25.18,80.14,-0.314,-0.167,-0.164
rev_z,rev_accel_z,0.1,35,15,25,25,12m-1m,-11.71,73.68,-0.159,0.095,0.1
rev_z,rev_accel_z,0.1,30,10,30,30,6m,-12.83,73.43,-0.175,0.07,0.076
rev_z,rev_accel_z,0.1,30,10,30,30,6m-1m,-5.35,72.05,-0.074,0.173,0.196
rev_z,rev_accel_z,0.1,30,10,30,30,12m,-2.06,68.49,-0.03,0.274,0.296
rev_z,rev_accel_z,0.1,30,10,30,30,12m-1m,-6.54,77.55,-0.084,0.185,0.196
rev_z,rev_accel_z,0.1,10,40,30,20,6m,10.04,55.62,0.181,0.463,0.582
rev_z,rev_accel_z,0.1,10,40,30,20,6m-1m,0.04,64.8,0.001,0.282,0.355
rev_z,rev_accel_z,0.1,10,40,30,20,12m,40.02,39.69,1.008,0.894,1.224
rev_z,rev_accel_z,0.1,10,40,30,20,12m-1m,28.71,45.7,0.628,0.74,1.014
rev_z,rev_accel_z,0.1,15,35,25,25,6m,22.08,65.0,0.34,0.644,0.828
rev_z,rev_accel_z,0.1,15,35,25,25,6m-1m,-0.23,63.15,-0.004,0.283,0.329
rev_z,rev_accel_z,0.1,15,35,25,25,12m,24.1,58.11,0.415,0.674,0.918
rev_z,rev_accel_z,0.1,15,35,25,25,12m-1m,16.57,53.43,0.31,0.557,0.743
rev_z,rev_accel_z,0.1,20,30,20,30,6m,-2.08,73.97,-0.028,0.226,0.282
rev_z,rev_accel_z,0.1,20,30,20,30,6m-1m,-13.76,76.73,-0.179,0.013,0.015
rev_z,rev_accel_z,0.1,20,30,20,30,12m,-11.32,68.08,-0.166,0.064,0.075
rev_z,rev_accel_z,0.1,20,30,20,30,12m-1m,-10.58,72.15,-0.147,0.063,0.074
rev_z,rev_accel_z,0.1,10,10,60,20,6m,34.83,52.62,0.662,0.829,0.977
rev_z,rev_accel_z,0.1,10,10,60,20,6m-1m,20.58,62.52,0.329,0.635,0.749
rev_z,rev_accel_z,0.1,10,10,60,20,12m,35.07,53.01,0.662,0.837,1.019
rev_z,rev_accel_z,0.1,10,10,60,20,12m-1m,47.56,53.56,0.888,0.986,1.2
rev_z,rev_accel_z,0.1,15,5,50,30,6m,11.59,70.43,0.165,0.51,0.581
rev_z,rev_accel_z,0.1,15,5,50,30,6m-1m,-9.98,70.16,-0.142,0.128,0.142
rev_z,rev_accel_z,0.1,15,5,50,30,12m,54.21,55.13,0.983,1.041,1.255
rev_z,rev_accel_z,0.1,15,5,50,30,12m-1m,38.98,55.04,0.708,0.884,1.038
rev_z,rev_accel_z,0.1,5,5,70,20,6m,42.39,49.84,0.85,0.929,1.196
rev_z,rev_accel_z,0.1,5,5,70,20,6m-1m,50.28,52.97,0.949,1.026,1.231
rev_z,rev_accel_z,0.1,5,5,70,20,12m,57.37,57.83,0.992,1.094,1.29
rev_z,rev_accel_z,0.1,5,5,70,20,12m-1m,67.89,47.57,1.427,1.219,1.469
rev_z,rev_accel_z,0.1,10,10,55,25,6m,33.78,54.34,0.622,0.814,0.951
rev_z,rev_accel_z,0.1,10,10,55,25,6m-1m,-4.5,75.72,-0.059,0.209,0.244
rev_z,rev_accel_z,0.1,10,10,55,25,12m,48.81,52.19,0.935,1.001,1.222
rev_z,rev_accel_z,0.1,10,10,55,25,12m-1m,42.38,56.94,0.744,0.916,1.12
rev_z,rev_accel_z,0.1,10,10,20,60,6m,-8.88,74.89,-0.119,0.176,0.189
rev_z,rev_accel_z,0.1,10,10,20,60,6m-1m,17.62,64.02,0.275,0.61,0.644
rev_z,rev_accel_z,0.1,10,10,20,60,12m,56.51,47.98,1.178,1.023,1.466
rev_z,rev_accel_z,0.1,10,10,20,60,12m-1m,15.63,58.36,0.268,0.548,0.673
rev_z,rev_accel_z,0.1,15,10,20,55,6m,-5.87,72.63,-0.081,0.239,0.264
rev_z,rev_accel_z,0.1,15,10,20,55,6m-1m,-5.71,68.73,-0.083,0.166,0.182
rev_z,rev_accel_z,0.1,15,10,20,55,12m,41.48,53.71,0.772,0.851,1.196
rev_z,rev_accel_z,0.1,15,10,20,55,12m-1m,32.74,59.02,0.555,0.758,1.133
rev_z,rev_accel_z,0.1,10,5,25,60,6m,2.36,64.59,0.037,0.343,0.419
rev_z,rev_accel_z,0.1,10,5,25,60,6m-1m,14.83,58.46,0.254,0.542,0.635
rev_z,rev_accel_z,0.1,10,5,25,60,12m,48.2,57.28,0.841,0.932,1.168
rev_z,rev_accel_z,0.1,10,5,25,60,12m-1m,47.29,61.74,0.766,0.915,1.309
rev_z,rev_accel_z,0.1,20,10,15,55,6m,-16.16,67.41,-0.24,0.016,0.017
rev_z,rev_accel_z,0.1,20,10,15,55,6m-1m,-28.78,74.78,-0.385,-0.303,-0.318
rev_z,rev_accel_z,0.1,20,10,15,55,12m,16.37,64.03,0.256,0.542,0.757
rev_z,rev_accel_z,0.1,20,10,15,55,12m-1m,18.27,67.53,0.271,0.576,0.768
rev_z,rev_accel_z,0.1,25,25,25,25,6m,-4.61,75.27,-0.061,0.209,0.239
rev_z,rev_accel_z,0.1,25,25,25,25,6m-1m,-7.71,72.49,-0.106,0.144,0.159
rev_z,rev_accel_z,0.1,25,25,25,25,12m,-16.96,72.15,-0.235,-0.053,-0.059
rev_z,rev_accel_z,0.1,25,25,25,25,12m-1m,-17.13,74.83,-0.229,-0.078,-0.089
rev_z,rev_accel_z,0.1,20,20,30,30,6m,-3.83,69.0,-0.055,0.223,0.257
rev_z,rev_accel_z,0.1,20,20,30,30,6m-1m,13.92,66.54,0.209,0.528,0.588
rev_z,rev_accel_z,0.1,20,20,30,30,12m,25.6,39.63,0.646,0.699,0.939
rev_z,rev_accel_z,0.1,20,20,30,30,12m-1m,-17.09,72.49,-0.236,-0.068,-0.076
rev_z,rev_accel_z,0.1,20,20,20,40,6m,-12.35,74.11,-0.167,0.035,0.04
rev_z,rev_accel_z,0.1,20,20,20,40,6m-1m,2.49,68.08,0.037,0.327,0.386
rev_z,rev_accel_z,0.1,20,20,20,40,12m,7.75,52.87,0.147,0.407,0.503
rev_z,rev_accel_z,0.1,20,20,20,40,12m-1m,2.28,54.34,0.042,0.305,0.388
rev_z,rev_accel_z,0.1,30,5,50,15,6m,-16.34,73.41,-0.223,0.001,0.001
rev_z,rev_accel_z,0.1,30,5,50,15,6m-1m,-21.92,81.14,-0.27,-0.099,-0.102
rev_z,rev_accel_z,0.1,30,5,50,15,12m,-15.47,69.1,-0.224,0.032,0.032
rev_z,rev_accel_z,0.1,30,5,50,15,12m-1m,-16.94,75.02,-0.226,0.003,0.003
rev_z,rev_accel_z,0.1,5,30,15,50,6m,76.1,50.32,1.512,1.288,1.64
rev_z,rev_accel_z,0.1,5,30,15,50,6m-1m,56.3,51.33,1.097,1.1,1.449
rev_z,rev_accel_z,0.1,5,30,15,50,12m,46.28,44.67,1.036,0.973,1.275
rev_z,rev_accel_z,0.1,5,30,15,50,12m-1m,51.19,48.6,1.053,1.031,1.427
rev_z,rev_accel_z,0.1,15,15,45,25,6m,2.35,68.98,0.034,0.329,0.398
rev_z,rev_accel_z,0.1,15,15,45,25,6m-1m,6.5,59.65,0.109,0.393,0.493
rev_z,rev_accel_z,0.1,15,15,45,25,12m,22.84,67.64,0.338,0.661,0.806
rev_z,rev_accel_z,0.1,15,15,45,25,12m-1m,7.87,66.85,0.118,0.431,0.511
rev_z,rev_accel_z,0.2,40,10,30,20,6m,-15.39,74.08,-0.208,0.052,0.053
rev_z,rev_accel_z,0.2,40,10,30,20,6m-1m,-10.59,73.71,-0.144,0.145,0.15
rev_z,rev_accel_z,0.2,40,10,30,20,12m,-16.73,75.33,-0.222,0.054,0.052
rev_z,rev_accel_z,0.2,40,10,30,20,12m-1m,-14.61,75.33,-0.194,0.101,0.1
rev_z,rev_accel_z,0.2,35,15,25,25,6m,-7.99,71.6,-0.112,0.165,0.183
rev_z,rev_accel_z,0.2,35,15,25,25,6m-1m,-22.44,76.81,-0.292,-0.171,-0.175
rev_z,rev_accel_z,0.2,35,15,25,25,12m,-5.56,66.9,-0.083,0.207,0.216
rev_z,rev_accel_z,0.2,35,15,25,25,12m-1m,-12.4,71.9,-0.172,0.082,0.086
rev_z,rev_accel_z,0.2,30,10,30,30,6m,-13.86,72.19,-0.192,0.051,0.055
rev_z,rev_accel_z,0.2,30,10,30,30,6m-1m,-2.33,75.09,-0.031,0.276,0.291
rev_z,rev_accel_z,0.2,30,10,30,30,12m,4.22,61.62,0.068,0.382,0.404
rev_z,rev_accel_z,0.2,30,10,30,30,12m-1m,3.98,71.68,0.055,0.378,0.393
rev_z,rev_accel_z,0.2,10,40,30,20,6m,11.19,61.98,0.18,0.485,0.603
rev_z,rev_accel_z,0.2,10,40,30,20,6m-1m,16.02,61.7,0.26,0.553,0.699
rev_z,rev_accel_z,0.2,10,40,30,20,12m,34.7,46.64,0.744,0.815,1.062
rev_z,rev_accel_z,0.2,10,40,30,20,12m-1m,8.57,55.96,0.153,0.434,0.561
rev_z,rev_accel_z,0.2,15,35,25,25,6m,1.29,78.92,0.016,0.326,0.379
rev_z,rev_accel_z,0.2,15,35,25,25,6m-1m,-6.44,70.19,-0.092,0.175,0.2
rev_z,rev_accel_z,0.2,15,35,25,25,12m,6.48,61.0,0.106,0.398,0.501
rev_z,rev_accel_z,0.2,15,35,25,25,12m-1m,-5.82,72.31,-0.081,0.193,0.224
rev_z,rev_accel_z,0.2,20,30,20,30,6m,-2.37,73.6,-0.032,0.24,0.28
rev_z,rev_accel_z,0.2,20,30,20,30,6m-1m,-8.5,73.22,-0.116,0.124,0.143
rev_z,rev_accel_z,0.2,20,30,20,30,12m,12.77,51.19,0.249,0.499,0.642
rev_z,rev_accel_z,0.2,20,30,20,30,12m-1m,4.21,68.29,0.062,0.359,0.429
rev_z,rev_accel_z,0.2,10,10,60,20,6m,35.3,56.08,0.629,0.844,0.991
rev_z,rev_accel_z,0.2,10,10,60,20,6m-1m,30.42,58.2,0.523,0.778,0.888
rev_z,rev_accel_z,0.2,10,10,60,20,12m,45.55,50.42,0.903,0.968,1.163
rev_z,rev_accel_z,0.2,10,10,60,20,12m-1m,55.93,51.55,1.085,1.077,1.302
rev_z,rev_accel_z,0.2,15,5,50,30,6m,16.58,68.74,0.241,0.586,0.653
rev_z,rev_accel_z,0.2,15,5,50,30,6m-1m,-6.87,71.56,-0.096,0.179,0.198
