combo,ratio,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
rev_z+oca_z+gp_growth_z,0.3/0.4/0.3,10,10,50,30,125.69,51.55,2.438,1.677,2.136
rev_z+oca_z+gp_growth_z,0.3/0.4/0.3,25,5,45,25,53.24,55.38,0.961,1.038,1.304
rev_z+oca_z+gp_growth_z,0.3/0.4/0.3,20,10,40,30,57.96,55.68,1.041,1.064,1.429
rev_z+oca_z+gp_growth_z,0.3/0.4/0.3,15,5,55,25,177.75,42.92,4.142,1.972,2.484
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,15,5,60,20,120.96,41.98,2.881,1.631,2.065
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,10,0,70,20,121.2,41.98,2.887,1.629,2.041
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,10,5,65,20,157.03,42.68,3.68,1.878,2.356
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,20,5,55,20,85.16,46.37,1.837,1.384,1.64
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,15,0,60,25,184.34,41.98,4.391,2.007,2.52
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,10,5,55,30,141.91,45.9,3.092,1.743,2.265
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,15,10,50,25,98.07,52.4,1.872,1.444,1.832
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,10,0,65,25,183.61,41.98,4.374,2.007,2.541
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,20,0,50,30,111.25,47.14,2.36,1.568,1.966
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,5,5,70,20,148.1,45.9,3.226,1.858,2.226
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,15,5,50,30,131.94,48.36,2.728,1.669,2.154
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,10,10,50,30,104.28,52.4,1.99,1.476,1.884
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,25,5,45,25,61.95,54.47,1.137,1.132,1.395
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,20,10,40,30,70.33,53.58,1.312,1.186,1.545
rev_z+oca_z+gp_growth_z,0.6/0.3/0.1,15,5,55,25,130.07,45.37,2.867,1.666,2.142
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,15,5,60,20,129.75,41.33,3.14,1.71,2.168
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,10,0,70,20,140.33,42.23,3.323,1.752,2.21
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,10,5,65,20,117.23,43.09,2.721,1.661,1.943
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,20,5,55,20,113.21,46.6,2.429,1.578,2.013
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,15,0,60,25,122.17,42.36,2.884,1.632,2.085
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,10,5,55,30,159.04,42.16,3.772,1.873,2.415
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,15,10,50,25,125.69,53.91,2.331,1.654,1.91
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,10,0,65,25,181.08,41.93,4.318,2.008,2.561
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,20,0,50,30,92.89,44.08,2.107,1.39,1.791
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,5,5,70,20,118.27,45.62,2.593,1.621,1.998
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,15,5,50,30,126.28,43.24,2.921,1.634,2.166
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,10,10,50,30,104.88,51.93,2.02,1.466,1.811
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,25,5,45,25,73.33,56.1,1.307,1.225,1.439
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,20,10,40,30,72.72,55.53,1.31,1.239,1.557
rev_z+oca_z+op_margin_z,0.5/0.3/0.2,15,5,55,25,180.06,43.09,4.179,1.992,2.577
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,15,5,60,20,99.53,42.23,2.357,1.512,1.79
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,10,0,70,20,122.64,41.98,2.921,1.648,2.048
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,10,5,65,20,103.41,41.98,2.463,1.536,1.816
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,20,5,55,20,91.5,43.3,2.113,1.403,1.788
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,15,0,60,25,91.86,41.98,2.188,1.401,1.754
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,10,5,55,30,145.75,41.91,3.478,1.796,2.312
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,15,10,50,25,112.28,53.08,2.115,1.563,1.848
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,10,0,65,25,168.09,41.98,4.004,1.929,2.427
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,20,0,50,30,94.06,55.28,1.701,1.382,1.651
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,5,5,70,20,102.02,41.98,2.43,1.523,1.797
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,15,5,50,30,95.56,51.93,1.84,1.401,1.66
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,10,10,50,30,103.53,51.71,2.002,1.452,1.766
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,25,5,45,25,64.79,49.69,1.304,1.151,1.428
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,20,10,40,30,84.99,55.53,1.531,1.348,1.693
rev_z+oca_z+op_margin_z,0.6/0.2/0.2,15,5,55,25,152.77,42.23,3.618,1.839,2.304
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,15,5,60,20,101.42,50.31,2.016,1.501,1.878
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,10,0,70,20,152.25,43.24,3.521,1.853,2.373
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,10,5,65,20,78.94,53.88,1.465,1.335,1.533
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,20,5,55,20,114.04,47.79,2.386,1.587,1.973
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,15,0,60,25,177.31,43.09,4.115,1.99,2.555
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,10,5,55,30,137.33,46.19,2.973,1.731,2.2
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,15,10,50,25,67.06,58.71,1.142,1.175,1.36
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,10,0,65,25,172.39,43.09,4.001,1.956,2.538
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,20,0,50,30,96.74,44.82,2.158,1.423,1.851
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,5,5,70,20,118.64,50.82,2.334,1.619,2.062
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,15,5,50,30,122.68,44.58,2.752,1.606,2.091
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,10,10,50,30,86.12,55.36,1.556,1.325,1.605
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,25,5,45,25,75.32,59.81,1.259,1.263,1.51
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,20,10,40,30,60.42,54.81,1.102,1.117,1.32
rev_z+oca_z+op_margin_z,0.4/0.4/0.2,15,5,55,25,157.25,45.16,3.482,1.88,2.392
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,15,5,60,20,74.74,46.2,1.618,1.296,1.503
rev_z+oca_z+op_margin_z,0.5/0.2/0.3,10,0,70,20,122.58,43.05,2.848,1.653,2.067
