atk,def,rule,as,ds,cagr,mdd,cal,sh,sort,alpha,sw
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP250_3d,3,5,159.95,28.48,5.616,2.359,3.643,147.3,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_5d,3,7,159.93,28.48,5.615,2.344,3.597,147.27,15
V25Q0G50M25g0.612m,V25Q10G20M45g0.46m-1m,KP200_5d,3,7,151.95,27.07,5.613,2.334,3.524,139.3,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_5d,3,7,164.51,29.31,5.612,2.337,3.664,151.85,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_4d,3,7,159.78,28.48,5.61,2.299,3.546,147.12,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,B35_5d,3,5,155.93,27.82,5.604,2.278,3.585,143.27,15
V25Q0G50M25g0.612m,V15Q10G25M50g0.76m-1m,KP150_5d,3,5,151.48,27.07,5.595,2.325,3.61,138.83,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,B40_3d,3,5,157.28,28.14,5.59,2.328,3.612,144.63,21
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,B45_4d,3,5,158.84,28.41,5.59,2.347,3.619,146.19,17
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,B45_4d,3,7,139.72,25.0,5.589,2.202,3.305,127.07,17
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP250_5d,3,5,151.3,27.07,5.588,2.282,3.508,138.64,13
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP250_4d,3,5,163.69,29.31,5.585,2.37,3.718,151.03,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,B35_5d,3,7,151.59,27.15,5.584,2.243,3.523,138.93,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,B40_4d,3,5,162.44,29.1,5.582,2.36,3.669,149.79,19
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_3d,3,5,158.95,28.48,5.581,2.342,3.532,146.29,19
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_5d,3,7,151.1,27.07,5.581,2.292,3.489,138.44,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B40_3d,3,5,162.33,29.1,5.579,2.372,3.698,149.67,21
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.36m-1m,B40_4d,3,7,141.9,25.44,5.578,2.197,3.306,129.24,19
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,B35_5d,3,7,170.87,30.64,5.578,2.382,3.805,158.22,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_5d,3,7,158.85,28.48,5.577,2.339,3.585,146.2,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP250_4d,3,5,158.47,28.48,5.564,2.349,3.653,145.81,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_4d,3,5,158.42,28.48,5.562,2.289,3.566,145.76,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP150_4d,3,7,156.22,28.1,5.559,2.309,3.62,143.56,21
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_3d,3,7,158.31,28.48,5.558,2.343,3.565,145.65,19
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_3d,3,7,158.18,28.48,5.553,2.321,3.631,145.52,25
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP250_5d,3,5,158.06,28.48,5.549,2.349,3.573,145.41,13
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_5d,3,5,158.03,28.48,5.548,2.323,3.553,145.37,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_3d,3,7,158.01,28.48,5.547,2.33,3.627,145.35,25
V25Q0G50M25g0.612m,V15Q10G25M50g0.76m-1m,KP200_3d,3,5,150.16,27.07,5.546,2.328,3.59,137.5,19
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,B40_4d,3,5,141.35,25.49,5.545,2.191,3.259,128.69,19
V15Q0G65M20g0.712m-1m,V15Q5G30M50g0.66m-1m,B35_5d,3,7,162.25,29.27,5.543,2.34,3.694,149.59,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP250_3d,3,5,157.81,28.48,5.541,2.345,3.652,145.15,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,B40_4d,3,5,155.81,28.14,5.537,2.321,3.576,143.15,19
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_5d,3,7,162.19,29.31,5.533,2.323,3.679,149.53,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_3d,3,5,149.73,27.07,5.53,2.271,3.491,137.07,19
V25Q0G50M25g0.612m,V15Q10G25M50g0.76m-1m,KP200_4d,3,7,149.59,27.07,5.525,2.29,3.573,136.94,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_4d,3,7,157.3,28.48,5.523,2.284,3.559,144.65,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,B45_5d,3,7,137.85,25.0,5.513,2.177,3.234,125.19,17
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_5d,3,5,149.26,27.07,5.513,2.271,3.445,136.6,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_5d,3,5,156.96,28.48,5.511,2.318,3.541,144.3,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_4d,3,5,176.3,32.0,5.51,2.419,3.824,163.65,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_5d,3,7,153.84,27.92,5.51,2.281,3.569,141.19,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP250_3d,3,5,149.13,27.07,5.508,2.254,3.527,136.47,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_5d,3,5,156.69,28.48,5.501,2.275,3.507,144.03,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_3d,3,7,167.0,30.36,5.5,2.356,3.755,154.34,19
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,B40_4d,3,5,159.9,29.1,5.495,2.358,3.653,147.24,19
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_3d,3,5,170.35,31.01,5.494,2.38,3.799,157.69,19
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.36m-1m,KP200_4d,3,7,148.76,27.07,5.494,2.241,3.427,136.1,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP250_4d,3,5,148.68,27.07,5.492,2.253,3.504,136.02,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP250_4d,3,5,156.33,28.48,5.489,2.328,3.585,143.68,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_4d,3,7,172.14,31.36,5.489,2.39,3.768,159.49,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,B40_4d,3,7,139.55,25.44,5.486,2.193,3.288,126.89,19
V25Q0G50M25g0.612m,V25Q10G20M45g0.46m-1m,KP200_4d,3,7,148.52,27.07,5.486,2.291,3.491,135.86,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_3d,3,7,148.48,27.07,5.484,2.267,3.504,135.83,25
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.36m-1m,B40_4d,3,5,139.73,25.49,5.482,2.169,3.227,127.07,19
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B40_4d,3,7,155.9,28.44,5.482,2.287,3.541,143.24,19
V25Q0G50M25g0.612m,V15Q10G25M50g0.66m-1m,KP200_4d,3,7,148.22,27.07,5.475,2.295,3.582,135.57,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,B35_5d,3,5,155.9,28.48,5.474,2.265,3.486,143.24,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,B35_3d,3,5,148.08,27.07,5.469,2.209,3.479,135.42,19
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.36m-1m,KP200_4d,3,5,148.06,27.07,5.469,2.228,3.401,135.4,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_5d,3,7,155.75,28.48,5.468,2.331,3.571,143.09,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP150_3d,3,7,148.01,27.07,5.467,2.244,3.493,135.35,25
V25Q0G50M25g0.612m,V15Q5G30M50g0.66m-1m,KP200_4d,3,7,148.19,27.12,5.464,2.277,3.592,135.53,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_4d,3,5,147.76,27.07,5.458,2.224,3.423,135.11,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_3d,3,5,155.42,28.48,5.457,2.264,3.526,142.77,19
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_5d,3,7,155.42,28.48,5.457,2.266,3.495,142.77,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_3d,3,7,155.34,28.48,5.454,2.314,3.49,142.68,19
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.46m-1m,KP200_3d,3,5,147.65,27.07,5.454,2.235,3.374,135.0,19
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_3d,3,7,155.32,28.48,5.453,2.283,3.566,142.67,25
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP250_3d,3,5,155.14,28.48,5.447,2.323,3.555,142.49,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_3d,3,7,155.15,28.48,5.447,2.291,3.562,142.5,25
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B45_5d,3,5,159.94,29.37,5.446,2.346,3.575,147.28,17
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_5d,3,5,155.02,28.48,5.443,2.318,3.548,142.36,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_5d,3,7,147.22,27.07,5.438,2.259,3.452,134.56,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B45_5d,3,7,135.74,25.0,5.429,2.163,3.188,123.08,17
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,B40_3d,3,5,152.74,28.14,5.428,2.301,3.551,140.08,21
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_4d,3,5,173.67,32.0,5.427,2.404,3.841,161.02,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_5d,3,5,154.44,28.48,5.422,2.261,3.521,141.78,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,B45_5d,3,5,154.01,28.41,5.42,2.302,3.509,141.35,17
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B40_3d,3,7,154.12,28.44,5.42,2.277,3.534,141.47,21
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,B40_3d,3,5,157.7,29.1,5.419,2.345,3.637,145.04,21
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_4d,3,7,146.69,27.07,5.418,2.218,3.416,134.03,15
V15Q5G60M20g0.612m-1m,V15Q5G30M50g0.66m-1m,KP250_5d,3,7,146.55,27.07,5.413,2.233,3.469,133.9,13
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,B45_4d,3,5,153.76,28.41,5.412,2.32,3.554,141.11,17
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_5d,3,5,146.52,27.07,5.412,2.246,3.429,133.86,15
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.36m-1m,KP150_5d,3,7,146.48,27.07,5.411,2.233,3.408,133.83,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_4d,3,7,169.55,31.36,5.406,2.375,3.784,156.9,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_5d,3,5,146.34,27.07,5.405,2.218,3.411,133.69,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_3d,3,7,164.11,30.36,5.405,2.329,3.707,151.45,19
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_4d,3,7,153.92,28.48,5.404,2.296,3.497,141.27,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP250_4d,3,5,153.88,28.48,5.403,2.306,3.524,141.23,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,B45_4d,3,7,135.02,25.0,5.4,2.173,3.241,122.36,17
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B45_4d,3,5,158.58,29.37,5.399,2.342,3.612,145.92,17
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_3d,3,5,167.42,31.01,5.399,2.352,3.751,154.77,19
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,B35_5d,3,5,153.66,28.48,5.395,2.251,3.499,141.0,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP200_3d,3,7,152.23,28.23,5.393,2.272,3.5,139.57,19
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,B40_4d,3,5,137.4,25.49,5.39,2.165,3.209,124.75,19
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP250_3d,3,5,153.48,28.48,5.389,2.304,3.524,140.82,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_3d,3,7,153.5,28.48,5.389,2.252,3.508,140.84,19
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_4d,3,7,153.48,28.48,5.388,2.285,3.508,140.82,21
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_4d,3,5,175.96,32.67,5.385,2.43,3.869,163.3,21
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_3d,3,7,145.74,27.07,5.383,2.228,3.44,133.08,25
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_4d,3,5,153.21,28.48,5.379,2.283,3.471,140.55,15
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP250_5d,3,7,153.19,28.48,5.378,2.299,3.535,140.53,13
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_5d,3,7,153.18,28.48,5.378,2.252,3.509,140.53,15
V25Q0G50M25g0.612m,V15Q10G25M50g0.76m-1m,KP150_4d,3,5,145.61,27.07,5.378,2.253,3.538,132.95,21
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.46m-1m,B35_5d,3,5,145.58,27.07,5.377,2.208,3.39,132.93,15
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,B35_3d,3,5,173.47,32.26,5.377,2.386,3.815,160.82,19
V15Q0G65M20g0.712m-1m,V15Q5G30M50g0.66m-1m,KP250_5d,3,5,145.54,27.07,5.376,2.222,3.433,132.88,13
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_4d,3,5,153.1,28.48,5.375,2.276,3.486,140.44,21
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP250_5d,3,7,145.4,27.07,5.371,2.241,3.437,132.75,13
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B45_5d,3,5,157.64,29.37,5.367,2.332,3.527,144.98,17
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP150_3d,3,7,145.27,27.07,5.366,2.206,3.429,132.61,25
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,B40_4d,3,5,150.05,27.98,5.363,2.241,3.376,137.39,19
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_3d,3,5,152.66,28.48,5.36,2.237,3.479,140.0,19
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_5d,3,7,145.13,27.07,5.36,2.208,3.399,132.47,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,B35_3d,3,5,157.0,29.29,5.36,2.274,3.538,144.35,19
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B45_4d,3,7,153.82,28.71,5.358,2.293,3.498,141.17,17
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_4d,3,7,152.61,28.48,5.358,2.279,3.492,139.95,21
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_4d,3,5,175.01,32.67,5.356,2.424,3.853,162.36,21
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_4d,3,7,152.56,28.48,5.356,2.296,3.507,139.91,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,B40_3d,3,5,150.69,28.14,5.355,2.265,3.504,138.03,21
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP250_4d,3,5,156.95,29.31,5.355,2.316,3.567,144.29,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_3d,3,7,165.01,30.83,5.352,2.408,3.749,152.35,19
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,B40_3d,3,5,155.61,29.1,5.348,2.309,3.589,142.95,21
V15Q5G60M20g0.612m-1m,V15Q5G30M50g0.66m-1m,KP250_4d,3,5,149.27,27.92,5.347,2.242,3.487,136.62,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B40_4d,3,7,158.08,29.57,5.346,2.317,3.59,145.42,19
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_4d,3,5,152.23,28.48,5.345,2.27,3.472,139.57,21
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.36m-1m,KP150_5d,3,5,144.68,27.07,5.344,2.213,3.366,132.02,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,B40_5d,3,7,144.87,27.11,5.343,2.225,3.336,132.21,17
V25Q0G50M25g0.612m,V15Q10G25M50g0.66m-1m,KP200_3d,3,5,144.64,27.07,5.342,2.282,3.497,131.98,19
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B45_5d,3,5,151.76,28.41,5.341,2.288,3.461,139.1,17
V25Q0G50M25g0.612m,V15Q10G25M50g0.66m-1m,KP150_5d,3,5,144.58,27.07,5.34,2.27,3.493,131.93,15
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP250_4d,3,7,156.58,29.33,5.338,2.329,3.651,143.92,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP250_3d,3,5,144.52,27.07,5.338,2.217,3.439,131.86,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_4d,3,7,144.51,27.07,5.338,2.23,3.379,131.85,21
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP250_5d,3,7,152.01,28.48,5.337,2.308,3.503,139.35,13
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP250_5d,3,5,144.48,27.07,5.336,2.231,3.444,131.82,13
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP250_4d,3,7,151.87,28.48,5.332,2.288,3.558,139.22,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP250_4d,3,5,151.86,28.48,5.332,2.295,3.501,139.2,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_4d,3,5,151.85,28.48,5.331,2.282,3.481,139.2,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP250_4d,3,5,144.33,27.07,5.331,2.22,3.42,131.68,15
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.46m-1m,KP200_3d,3,7,144.2,27.07,5.326,2.208,3.331,131.54,19
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.46m-1m,KP250_5d,3,5,144.19,27.07,5.326,2.214,3.347,131.53,13
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,KP150_4d,3,5,144.14,27.07,5.324,2.221,3.359,131.49,21
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,B40_5d,3,5,163.3,30.69,5.321,2.358,3.599,150.64,17
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,B40_4d,3,5,167.62,31.56,5.311,2.38,3.735,154.96,19
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B45_4d,3,7,158.44,29.84,5.31,2.347,3.607,145.78,17
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_3d,3,7,159.0,29.95,5.309,2.317,3.662,146.35,25
V25Q0G50M25g0.612m,V15Q5G30M50g0.66m-1m,KP150_5d,3,7,143.75,27.07,5.309,2.259,3.523,131.09,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_3d,3,5,151.2,28.48,5.308,2.258,3.466,138.54,25
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP250_4d,3,7,151.17,28.48,5.307,2.287,3.484,138.51,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_4d,3,7,143.62,27.07,5.305,2.224,3.398,130.96,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_3d,3,5,151.03,28.48,5.303,2.267,3.463,138.37,25
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_3d,3,7,158.83,29.95,5.303,2.326,3.658,146.18,25
V15Q0G65M20g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_4d,3,5,166.2,31.35,5.302,2.377,3.738,153.54,21
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP250_3d,3,5,150.86,28.48,5.297,2.281,3.431,138.2,15
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_3d,3,5,172.28,32.53,5.296,2.439,3.807,159.62,19
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B40_3d,3,7,144.6,27.3,5.296,2.208,3.357,131.94,21
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP250_3d,3,7,150.86,28.48,5.296,2.28,3.552,138.2,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_4d,3,5,162.39,30.66,5.296,2.34,3.697,149.73,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_3d,3,7,150.76,28.48,5.293,2.224,3.462,138.1,19
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,B40_5d,3,5,157.47,29.75,5.293,2.307,3.504,144.81,17
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP250_5d,3,5,150.76,28.48,5.293,2.28,3.411,138.1,13
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,B35_4d,3,5,160.42,30.31,5.293,2.297,3.536,147.76,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_3d,3,7,153.43,28.99,5.292,2.251,3.549,140.78,19
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_3d,3,7,164.59,31.1,5.292,2.342,3.72,151.93,19
V25Q0G50M25g0.612m,V15Q5G30M50g0.66m-1m,KP150_5d,3,5,148.68,28.12,5.287,2.288,3.565,136.03,15
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,B35_3d,3,5,170.52,32.26,5.285,2.359,3.767,157.86,19
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_3d,3,5,156.62,29.65,5.282,2.275,3.593,143.96,19
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_4d,3,7,158.44,30.01,5.279,2.311,3.64,145.78,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,KP200_4d,3,5,142.93,27.07,5.279,2.211,3.371,130.27,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B45_3d,3,7,131.99,25.0,5.279,2.137,3.182,119.33,25
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_4d,3,7,163.95,31.08,5.276,2.364,3.638,151.29,21
V15Q5G60M20g0.612m-1m,V15Q5G30M50g0.66m-1m,B35_5d,3,7,154.42,29.27,5.276,2.261,3.575,141.76,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP250_3d,3,7,150.24,28.48,5.275,2.279,3.478,137.58,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP250_5d,3,5,142.65,27.07,5.269,2.221,3.391,129.99,13
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_3d,3,5,165.03,31.32,5.268,2.351,3.722,152.37,25
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP250_4d,3,7,151.82,28.82,5.267,2.302,3.578,139.17,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_4d,3,7,169.01,32.09,5.267,2.372,3.726,156.35,15
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP250_5d,3,5,149.98,28.48,5.266,2.266,3.526,137.32,13
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,B35_3d,3,5,154.22,29.29,5.265,2.246,3.492,141.57,19
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_3d,3,5,164.85,31.32,5.263,2.36,3.718,152.2,25
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,B35_3d,3,5,142.45,27.07,5.262,2.159,3.326,129.79,19
V15Q0G65M20g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_3d,3,7,149.28,28.4,5.257,2.263,3.535,136.62,25
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B40_4d,3,7,149.45,28.44,5.256,2.25,3.449,136.79,19
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.36m-1m,B45_3d,3,7,131.38,25.0,5.255,2.135,3.18,118.72,25
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B40_5d,3,7,142.49,27.11,5.255,2.194,3.329,129.84,17
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP250_5d,3,7,142.26,27.07,5.254,2.197,3.382,129.6,13
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_3d,3,7,161.97,30.83,5.253,2.378,3.67,149.31,19
V25Q0G50M25g0.612m,V15Q10G25M50g0.76m-1m,KP150_3d,3,5,142.2,27.07,5.252,2.245,3.462,129.54,25
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.46m-1m,KP250_5d,3,7,142.09,27.07,5.248,2.199,3.315,129.43,13
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,B35_4d,3,5,179.97,34.3,5.247,2.43,3.836,167.31,15
