atk,def,rule,as,ds,cagr,mdd,cal,sh,sort,alpha,sw
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP150_5d,3,5,185.3,29.51,6.28,2.511,3.973,172.65,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_5d,3,7,178.52,28.48,6.268,2.485,3.783,165.87,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP150_4d,3,5,169.01,27.07,6.243,2.398,3.795,156.36,21
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_5d,3,7,177.3,28.48,6.225,2.474,3.874,164.64,15
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_5d,3,7,176.82,28.48,6.208,2.483,3.931,164.16,15
V10Q0G65M25g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_4d,3,5,176.8,28.48,6.207,2.445,3.835,164.14,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_4d,3,5,176.68,28.48,6.203,2.467,3.836,164.02,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_5d,3,7,167.87,27.07,6.201,2.425,3.766,155.22,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP200_4d,3,7,167.7,27.07,6.194,2.378,3.712,155.05,15
V15Q0G65M20g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_5d,3,7,167.59,27.07,6.19,2.411,3.809,154.93,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_5d,3,7,176.31,28.48,6.19,2.478,3.872,163.65,15
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_4d,3,5,176.16,28.48,6.185,2.463,3.747,163.51,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_5d,3,7,176.15,28.48,6.184,2.47,3.861,163.49,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_3d,3,5,176.09,28.48,6.182,2.483,3.888,163.43,19
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_5d,3,7,176.06,28.48,6.181,2.448,3.833,163.41,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_5d,3,5,175.95,28.48,6.177,2.482,3.806,163.29,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP150_5d,3,5,167.19,27.07,6.175,2.391,3.722,154.53,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_5d,3,7,167.1,27.07,6.172,2.406,3.752,154.44,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_4d,3,5,175.96,28.54,6.166,2.416,3.804,163.3,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_5d,3,5,166.75,27.07,6.159,2.41,3.688,154.1,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_5d,3,7,166.68,27.07,6.157,2.398,3.725,154.03,15
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_4d,3,5,175.32,28.48,6.155,2.445,3.848,162.66,15
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.46m-1m,KP200_4d,3,7,166.55,27.07,6.152,2.379,3.63,153.89,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_4d,3,5,175.2,28.48,6.151,2.467,3.85,162.54,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_5d,3,7,174.99,28.48,6.144,2.484,3.887,162.33,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_5d,3,7,174.92,28.48,6.141,2.444,3.82,162.27,15
V15Q5G60M20g0.612m-1m,V15Q5G30M50g0.66m-1m,KP150_5d,3,7,166.27,27.07,6.141,2.38,3.754,153.62,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP200_4d,3,7,166.23,27.07,6.14,2.383,3.72,153.58,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_4d,3,5,174.69,28.48,6.133,2.463,3.759,162.03,15
V15Q5G60M20g0.612m-1m,V15Q5G30M50g0.66m-1m,KP200_4d,3,7,166.19,27.12,6.127,2.366,3.733,153.54,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_4d,3,5,174.48,28.48,6.126,2.437,3.838,161.82,21
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_5d,3,7,165.82,27.07,6.125,2.411,3.765,153.17,15
V15Q0G65M20g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_4d,3,5,165.57,27.07,6.115,2.375,3.739,152.91,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_4d,3,5,165.45,27.07,6.111,2.397,3.74,152.79,15
V15Q5G60M20g0.612m-1m,V15Q5G30M50g0.66m-1m,KP150_5d,3,5,171.67,28.12,6.105,2.407,3.795,159.01,15
V25Q0G50M25g0.612m,V15Q10G25M50g0.76m-1m,KP200_5d,3,5,165.12,27.07,6.099,2.438,3.794,152.46,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_4d,3,5,173.54,28.48,6.093,2.431,3.822,160.88,21
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_4d,3,5,164.95,27.07,6.093,2.392,3.652,152.3,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_4d,3,5,164.77,27.07,6.086,2.384,3.707,152.11,21
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_4d,3,7,173.26,28.48,6.083,2.434,3.783,160.61,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_4d,3,5,173.33,28.54,6.074,2.401,3.82,160.67,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_3d,3,5,172.92,28.48,6.071,2.454,3.807,160.26,19
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_5d,3,5,172.86,28.48,6.069,2.431,3.75,160.2,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_5d,3,7,172.78,28.48,6.066,2.46,3.764,160.12,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_5d,3,7,163.69,27.07,6.046,2.388,3.646,151.03,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_5d,3,5,163.59,27.07,6.042,2.382,3.643,150.93,15
