date,ticker,forward_eps,analyst_count,has_consensus,eps_cy,eps_ny
20260625,121600,735.0,1.0,1,735.0,1386.0
20260625,122640,997.0,2.0,1,997.0,2560.0
20260625,122870,3030.0,19.0,1,3030.0,3089.0
20260625,122900,1256.0,1.0,1,1256.0,1466.0
20260625,125210,691.0,1.0,1,691.0,1200.0
20260625,125490,259.0,2.0,1,259.0,327.0
20260625,126340,1291.0,2.0,1,1291.0,3607.0
20260625,126720,3850.0,1.0,1,3850.0,3780.0
20260625,128940,14650.0,15.0,1,14650.0,17465.0
20260625,131290,10794.0,2.0,1,10794.0,13773.0
20260625,131970,2226.0,6.0,1,,
20260625,138040,14331.0,5.0,1,14331.0,15438.0
20260625,138080,477.0,2.0,1,477.0,1309.0
20260625,138930,2771.0,17.0,1,2771.0,2990.0
20260625,139130,3073.0,17.0,1,3073.0,3235.0
20260625,139480,6372.0,11.0,1,6372.0,10328.0
20260625,140860,7481.0,7.0,1,7481.0,9391.0
20260625,145020,14224.0,13.0,1,14224.0,18259.0
20260625,145720,7221.0,4.0,1,7221.0,9230.0
20260625,148150,287.0,2.0,1,287.0,529.0
20260625,149950,827.0,1.0,1,,
20260625,161390,10657.0,15.0,1,10657.0,12036.0
20260625,161890,7208.0,20.0,1,7208.0,8553.0
20260625,166090,3635.0,2.0,1,3635.0,5299.0
20260625,170920,2262.0,1.0,1,2262.0,3891.0
20260625,171090,8766.0,4.0,1,8766.0,10881.0
20260625,175330,3933.0,16.0,1,3933.0,4227.0
20260625,178320,991.0,3.0,1,991.0,4185.0
20260625,178920,1756.0,4.0,1,,2111.0
20260625,181710,3254.0,11.0,1,3254.0,4008.0
20260625,183190,878.0,2.0,1,878.0,1295.0
20260625,183300,3173.0,2.0,1,3173.0,4230.0
20260625,185750,4564.0,6.0,1,4564.0,5216.0
20260625,189300,3597.0,10.0,1,3597.0,4797.0
20260625,192080,9166.0,12.0,1,9166.0,10355.0
20260625,192650,180.0,3.0,1,180.0,459.0
20260625,192820,13000.0,20.0,1,13000.0,15690.0
20260625,194370,3536.0,1.0,1,3536.0,3991.0
20260625,194700,2688.0,2.0,1,,
20260625,195870,4251.0,8.0,1,4251.0,5868.0
20260625,195940,3296.0,13.0,1,,
20260625,196170,5144.0,3.0,1,5144.0,8188.0
20260625,200670,4038.0,2.0,1,,
20260625,200710,1549.0,2.0,1,1549.0,2808.0
20260625,204270,997.0,1.0,1,997.0,2472.0
20260625,204320,4177.0,21.0,1,4177.0,5222.0
20260625,207940,42462.0,20.0,1,42462.0,48518.0
20260625,211050,1744.0,1.0,1,1744.0,
20260625,213420,3084.0,7.0,1,3084.0,3688.0
20260625,213500,1311.0,2.0,1,1311.0,1485.0
20260625,214150,2717.0,16.0,1,2717.0,3526.0
20260625,214180,3075.0,2.0,1,3075.0,3813.0
20260625,214320,2801.0,8.0,1,2801.0,2903.0
20260625,214420,665.0,1.0,1,665.0,873.0
20260625,214450,18546.0,14.0,1,18546.0,22664.0
20260625,215000,8366.0,2.0,1,8366.0,9569.0
20260625,215200,8992.0,1.0,1,8992.0,9185.0
20260625,218410,1665.0,6.0,1,1665.0,2365.0
20260625,222040,841.0,2.0,1,841.0,1132.0
20260625,222800,3590.0,8.0,1,3590.0,5689.0
20260625,228850,1046.0,2.0,1,1046.0,1112.0
20260625,229640,1718.0,7.0,1,1718.0,2011.0
20260625,230240,1142.0,2.0,1,1142.0,5921.0
20260625,232140,423.0,4.0,1,423.0,571.0
20260625,234080,1730.0,1.0,1,1730.0,1844.0
20260625,234340,1553.0,3.0,1,1553.0,1893.0
20260625,236200,5661.0,5.0,1,5661.0,6290.0
20260625,237690,3297.0,14.0,1,3297.0,4545.0
20260625,237880,1151.0,2.0,1,1151.0,1226.0
20260625,240810,3501.0,5.0,1,3501.0,4592.0
20260625,241560,5362.0,7.0,1,5362.0,6791.0
20260625,241590,407.0,4.0,1,407.0,602.0
20260625,241710,6477.0,10.0,1,6477.0,7315.0
20260625,243840,304.0,2.0,1,304.0,415.0
20260625,244920,1225.0,1.0,1,1225.0,
20260625,247540,392.0,19.0,1,392.0,1000.0
20260625,248070,1022.0,5.0,1,1022.0,1554.0
20260625,251270,4609.0,13.0,1,4609.0,4319.0
20260625,251970,3522.0,3.0,1,3522.0,3702.0
20260625,253450,1198.0,12.0,1,1198.0,1571.0
20260625,257720,3385.0,9.0,1,3385.0,4279.0
20260625,259960,24380.0,18.0,1,24380.0,27028.0
20260625,263750,5756.0,8.0,1,5756.0,2416.0
20260625,267250,30580.0,5.0,1,30580.0,29355.0
20260625,267260,27149.0,14.0,1,27149.0,33336.0
20260625,267270,10757.0,7.0,1,10757.0,12810.0
20260625,271560,12240.0,12.0,1,12240.0,13385.0
20260625,272210,1212.0,15.0,1,1212.0,2316.0
20260625,272290,2960.0,2.0,1,2960.0,3418.0
20260625,277810,773.0,1.0,1,773.0,1598.0
20260625,278470,14271.0,19.0,1,14271.0,18918.0
20260625,279570,313.0,2.0,1,,
20260625,280360,12454.0,10.0,1,12454.0,14986.0
20260625,282330,12887.0,16.0,1,12887.0,14292.0
20260625,282880,1334.0,1.0,1,1334.0,1411.0
20260625,285130,7693.0,2.0,1,7693.0,5527.0
20260625,286940,1553.0,2.0,1,1553.0,2072.0
20260625,290550,1285.0,3.0,1,1285.0,2255.0
20260625,290650,742.0,7.0,1,742.0,2371.0
20260625,293480,1232.0,1.0,1,,
20260625,294870,5420.0,12.0,1,5420.0,7646.0
20260625,295310,1263.0,5.0,1,,
20260625,297090,568.0,1.0,1,568.0,660.0
20260625,298020,45341.0,5.0,1,45341.0,58253.0
20260625,298040,84581.0,13.0,1,84581.0,124824.0
20260625,298050,13795.0,5.0,1,13795.0,19429.0
20260625,300720,875.0,2.0,1,875.0,1212.0
20260625,306200,19039.0,5.0,1,19039.0,24151.0
20260625,307950,7603.0,16.0,1,7603.0,10072.0
20260625,316140,4293.0,20.0,1,4293.0,4720.0
20260625,317400,775.0,1.0,1,775.0,1305.0
20260625,319660,5040.0,7.0,1,5040.0,6271.0
20260625,322000,8134.0,2.0,1,8134.0,10759.0
20260625,322310,427.0,1.0,1,427.0,2029.0
20260625,323410,1262.0,12.0,1,,
20260625,326030,4370.0,12.0,1,4370.0,5653.0
20260625,327260,1438.0,3.0,1,1438.0,2378.0
20260625,329180,28949.0,21.0,1,28949.0,33892.0
20260625,330860,1440.0,3.0,1,,
20260625,336370,1326.0,3.0,1,1326.0,249.0
20260625,336570,515.0,3.0,1,515.0,636.0
20260625,339770,489.0,2.0,1,489.0,622.0
20260625,340570,6385.0,5.0,1,6385.0,7372.0
20260625,347700,97.0,2.0,1,97.0,524.0
20260625,348210,1448.0,4.0,1,1448.0,3183.0
20260625,352820,4656.0,20.0,1,4656.0,9431.0
20260625,353200,3875.0,13.0,1,3875.0,5361.0
20260625,353810,1251.0,1.0,1,1251.0,1294.0
20260625,354320,1200.0,4.0,1,1200.0,3108.0
20260625,356860,4292.0,9.0,1,4292.0,5884.0
20260625,357780,19332.0,9.0,1,19332.0,24829.0
20260625,361390,226.0,1.0,1,,
20260625,375500,9798.0,18.0,1,9798.0,10120.0
20260625,376270,1737.0,1.0,1,1737.0,5387.0
20260625,376300,1754.0,14.0,1,1754.0,2029.0
20260625,377300,849.0,6.0,1,849.0,1117.0
20260625,381970,1068.0,4.0,1,,
20260625,383220,12759.0,10.0,1,12759.0,12261.0
20260625,383310,1335.0,1.0,1,1335.0,1864.0
20260625,383800,1955.0,2.0,1,1955.0,2167.0
20260625,388210,6629.0,4.0,1,6629.0,8400.0
20260625,389500,75.0,2.0,1,,
20260625,402340,281337.0,7.0,1,281337.0,349019.0
20260625,403550,83.0,1.0,1,83.0,369.0
20260625,403870,1435.0,5.0,1,,
20260625,405100,773.0,2.0,1,773.0,1641.0
20260625,417840,1230.0,1.0,1,1230.0,1618.0
20260625,419530,2730.0,3.0,1,2730.0,3138.0
20260625,420770,959.0,2.0,1,959.0,4848.0
20260625,439260,7900.0,6.0,1,7900.0,8460.0
20260625,440110,917.0,1.0,1,917.0,2471.0
20260625,443060,8104.0,10.0,1,8104.0,9924.0
20260625,450950,245.0,2.0,1,245.0,387.0
20260625,451760,450.0,1.0,1,450.0,945.0
20260625,452430,419.0,2.0,1,,
20260625,453340,3489.0,3.0,1,3489.0,3649.0
20260625,454910,108.0,1.0,1,108.0,571.0
20260625,456010,435.0,1.0,1,435.0,1117.0
20260625,456040,13008.0,2.0,1,13008.0,15688.0
20260625,458870,1542.0,7.0,1,1542.0,2051.0
20260625,460860,742.0,4.0,1,,
20260625,462870,2306.0,10.0,1,2306.0,2303.0
20260625,473980,1420.0,1.0,1,1420.0,1926.0
20260625,474170,87.0,2.0,1,,
20260625,475150,1013.0,3.0,1,1013.0,1493.0
20260625,475960,37.0,1.0,1,37.0,687.0
20260625,476060,550.0,1.0,1,,
20260625,482630,953.0,3.0,1,,
20260625,483650,10262.0,12.0,1,10262.0,13705.0
20260625,489790,2811.0,3.0,1,2811.0,4297.0
20260625,499790,2735.0,6.0,1,2735.0,3349.0
