ticker,name,strategy,current_price,daily_return,per,pbr,market_cap,rsi,bb_position,ma_div_20,ma_div_60,52w_position,from_52w_high,from_52w_low,volume_signal,entry_score,score_details
123330,제닉,A+B,16360,-5.3788316946211685,7.1239128306010935,3.7354614555873926,1303.676048,48.02904564315353,0.3018323883958413,-5.501805054151625,-10.568513119533522,0.01649175412293853,-61.5962441314554,2.763819095477387,2.015877094212153,0.7756716141180551,"{'rsi': np.float64(0.5492738589211618), 'bollinger': np.float64(0.6981676116041586), '52week': np.float64(0.9835082458770614), 'ma': np.float64(0.764212827988338), 'volume': 1.0}"
439260,대한조선,A,69600,-3.3333333333333335,10.009075458006718,2.6329844021995283,26814.313152,46.875,0.5652885523288091,0.8768751358794116,1.1774967291757523,0.23333333333333334,-35.970561177552895,20.623916811091856,0.9946484834394554,0.5669851467269988,"{'rsi': np.float64(0.578125), 'bollinger': np.float64(0.43471144767119085), '52week': np.float64(0.7666666666666666), 'ma': np.float64(0.4705625817706062), 'volume': np.float64(0.4973242417197277)}"
039130,하나투어,B,46300,-0.9625668449197862,8.599326757793765,4.0495982586109545,7171.838516,61.904761904761905,0.645455362485222,1.0420644879698837,-1.8634637463569674,0.10294117647058823,-20.854700854700855,3.11804008908686,1.7404719007461087,0.542109785249637,"{'rsi': np.float64(0.20238095238095238), 'bollinger': np.float64(0.35454463751477805), '52week': np.float64(0.8970588235294118), 'ma': np.float64(0.5465865936589241), 'volume': np.float64(0.8702359503730543)}"
033500,동성화인텍,A,28350,-1.733102253032929,13.869529443719411,3.4844350610655734,8502.021549,43.715846994535525,0.6832331850591192,3.072168696600618,3.3979697282839996,0.6360153256704981,-16.740088105726873,54.15986949429038,1.112319733791893,0.45725162590287927,"{'rsi': np.float64(0.6571038251366119), 'bollinger': np.float64(0.31676681494088077), '52week': np.float64(0.3639846743295019), 'ma': np.float64(0.4150507567929), 'volume': np.float64(0.5561598668959465)}"
041510,에스엠,A,116000,-2.7661357921207044,8.718923309258043,2.0527006028752512,26557.8404,50.15673981191222,0.616988774966416,1.3233174651701096,4.688416587699111,0.5046854082998661,-24.18300653594771,48.148148148148145,0.9654629460039114,0.44928233346899893,"{'rsi': np.float64(0.4960815047021946), 'bollinger': np.float64(0.383011225033584), '52week': np.float64(0.4953145917001339), 'ma': np.float64(0.3827895853075222), 'volume': np.float64(0.4827314730019557)}"
259960,크래프톤,A,254000,-2.495201535508637,9.65021485453234,1.6539930318557083,120405.73074,64.75409836065573,0.7572760679428152,4.936996488328858,1.8274145591821773,0.15654952076677317,-34.196891191709845,10.675381263616558,1.1271317887403431,0.4394138081067516,"{'rsi': np.float64(0.1311475409836067), 'bollinger': np.float64(0.2427239320571848), '52week': np.float64(0.8434504792332268), 'ma': np.float64(0.4543146360204456), 'volume': np.float64(0.5635658943701716)}"
204620,글로벌텍스프리,A+B,4675,2.634467618002195,13.747889864016736,2.1890377598267823,3285.7456775,66.52360515021459,1.0,8.236383631417493,-6.73006583760058,0.27657004830917875,-39.04823989569752,32.436260623229465,2.1538434432778617,0.43623528492186703,"{'rsi': np.float64(0.08690987124463519), 'bollinger': 0, '52week': np.float64(0.7234299516908212), 'ma': np.float64(0.6682516459400145), 'volume': 1.0}"
200670,휴메딕스,A,43750,1.1560693641618496,8.88443829113924,1.852599688914027,4913.094375,65.27196652719665,1.0,6.015629732840614,0.9382450203799066,0.24052132701421802,-42.28232189973615,30.208333333333332,2.0058280947065388,0.4147286523495669,"{'rsi': np.float64(0.11820083682008367), 'bollinger': 0, '52week': np.float64(0.759478672985782), 'ma': np.float64(0.47654387449050234), 'volume': 1.0}"
067160,SOOP,A+B,73900,-1.989389920424403,8.385619756169794,1.793630239231419,8494.632813,75.29411764705883,0.9654045055201734,9.481481481481481,6.851097669711057,0.14960629921259844,-42.22048475371384,14.751552795031056,2.173043508681912,0.38526203574426043,"{'rsi': 0.0, 'bollinger': np.float64(0.03459549447982657), '52week': np.float64(0.8503937007874016), 'ma': np.float64(0.32872255825722363), 'volume': 1.0}"
300080,플리토,B,16330,-2.215568862275449,44.922335804999996,16.139761367065866,2695.3401483,56.427378964941575,0.593511916706267,1.2995874817778605,-2.7146176301209435,0.762993762993763,-17.31645569620253,206.95488721804512,0.8515935667143084,0.38153082386574116,"{'rsi': np.float64(0.33931552587646063), 'bollinger': np.float64(0.406488083293733), '52week': np.float64(0.23700623700623702), 'ma': np.float64(0.5678654407530236), 'volume': np.float64(0.4257967833571542)}"
018290,브이티,A+B,20600,4.462474645030426,8.024546965440356,2.9189045531224656,7198.018628,72.1311475409836,1.0,16.09231029333033,6.994459833795021,0.1599011648429227,-53.6036036036036,28.189172370877415,2.2640484573224153,0.3750524096202942,"{'rsi': 0.0, 'bollinger': 0, '52week': np.float64(0.8400988351570773), 'ma': np.float64(0.3251385041551245), 'volume': 1.0}"
250060,모비스,A,4760,-9.16030534351145,11.016939182733813,4.301557714606742,1531.3545464,55.89430894308944,0.41120528060217676,-7.95707241612685,29.148955412860637,0.46858168761220825,-38.34196891191709,121.3953488372093,0.5982771374799566,0.3686879479562014,"{'rsi': np.float64(0.35264227642276397), 'bollinger': np.float64(0.5887947193978232), '52week': np.float64(0.5314183123877918), 'ma': 0.0, 'volume': np.float64(0.2991385687399783)}"
