종목코드,기준일,당기순이익,세전계속사업이익,법인세비용,자산,총부채,유동부채,유동자산,비유동자산,현금,감가상각비,자본,매출액,매출총이익,영업현금흐름,영업이익,시가총액,종목명,forward_per,PER_live,PBR_live,DIV_live,PER,PBR,PCR,PSR,ROE,GPA,CFO,EPS개선도,모멘텀,섹터,PER_z,PBR_z,PCR_z,PSR_z,ROE_z,GPA_z,CFO_z,EPS개선도_z,모멘텀_z,밸류_raw,퀄리티_raw,모멘텀_raw,밸류_점수,퀄리티_점수,모멘텀_점수,멀티팩터_점수,멀티팩터_순위,가중순위_점수,통합순위,통합순위_점수
000660,2025-09-30,382406.0000000001,454036.8000000001,71630.80000000002,1484350.0,484288.0,297694.0,571396.0,912955.0,108145.0,129784.40000000002,1000063.0,878147.2000000002,490544.0000000001,455412.40000000014,384544.40000000014,7561772.09265,SK하이닉스,4.7,36.93,9.89,0.21,36.93,9.89,16.604229688629466,8.611053013264744,38.23819099396739,33.04773133021188,30.68093104725975,87.27321960465744,5.153369815457239,전기전자,0.4630380959052307,-0.9125573523035696,0.45643660608737147,-0.5403861255936051,1.2629326434471986,2.0341229256302245,2.1301795290654275,1.288734709876504,2.957338932731322,-0.13336719397614313,1.6789924520048385,2.957338932731322,-0.09257664786169807,2.1176798634354586,3.033866607184336,1.7752682703584184,1.0,1.0,1,1.0
006910,2025-09-30,228.80000000000007,294.00000000000006,65.20000000000002,1357.0,300.0,295.0,878.0,479.0,243.0,12.400000000000004,1058.0,1536.0000000000005,360.8000000000001,513.6000000000001,290.00000000000006,5536.9311648,보성파워텍,,92.38,6.11,0.0,92.38,6.11,10.780629214953269,3.604772893749999,21.6257088846881,26.588061901252775,37.84819454679441,,2.560672210260098,금속,0.15821504143243936,-1.0144810699466733,0.5249991217665931,-0.18949328771729249,1.8684473032303102,2.322088244533707,2.5231837296946367,,2.1350320620954006,-0.13019004861623332,2.2379064258195513,2.1350320620954006,-0.08881597928783576,2.8174059569941337,2.1954361810590393,1.7278499545322596,2.0,2.2,2,2.2
005930,2025-12-31,534798.4000000001,581653.6000000001,46854.000000000015,5669421.0,1306218.0,1064113.0,2476846.0,3192575.0,578564.0,440625.6000000001,4363203.0,3447231.200000001,1426418.0000000005,936893.6000000003,531322.4000000001,12816016.10113,삼성전자,7.6,43.74,3.74,0.67,43.74,3.74,13.679265288107416,3.717770975480262,12.257013941363722,25.15985318430225,16.525384161804183,82.62459990855052,4.590217213091266,전기전자,0.4027103217829047,0.32757857329637935,0.4814285358739926,0.24069928989414427,0.5955607768662159,1.2189623182266627,1.455700153201972,1.2024793242550904,2.6459711931200447,0.36310418021185525,1.1181756431374852,2.6459711931200447,0.49507801795568207,1.4155715368311808,2.7163936589137396,1.5947112238974266,3.0,2.8,3,2.8
089970,2025-09-30,225.20000000000007,223.20000000000007,-1.9999999999999991,2127.0,514.0,485.0,1937.0,190.0,1254.0,16.000000000000004,1614.0,1329.6000000000004,496.8000000000001,338.0000000000001,206.00000000000006,10155.26512,브이엠,18.7,0.0,7.89,0.0,45.09442770870336,7.89,30.045163076923068,7.637834777376653,13.952912019826522,23.35684062059239,15.890926187118012,58.5314617566577,4.009241058628954,기계,0.26575483850490556,0.15816445433725781,0.3043932668505029,0.26888239887654136,0.6404687085990529,0.7670602884163771,1.29786974915979,1.135290114929613,2.431656638313241,0.24929873964230193,0.9601722152762082,2.431656638313241,0.36037075863890256,1.217760913862389,2.4978768862488563,1.4085844576306066,4.0,4.0,4,4.0
402340,2025-09-30,75818.80000000003,78680.80000000002,2862.8000000000006,272542.0,23882.0,12049.0,26117.0,246425.0,15574.0,864.4000000000002,248660.0,97640.80000000003,96946.80000000003,4588.400000000001,78967.60000000002,851961.89175,SK스퀘어,8.3,23.22,4.51,0.0,23.22,4.51,185.6773367077848,8.725470210711093,30.490951500040232,35.5713247866384,1.683557029742205,64.25495262704565,5.242335008134783,금융,0.3737987295485494,-0.42658556495942457,-0.3041974379386253,-0.9514766548187248,2.6183862918850433,2.3093776090670546,-0.45795367705406764,0.8535199824704532,2.224747348631272,-0.3271152320420563,1.3308325515921207,2.224747348631272,-0.3219089809667346,1.6818049730890412,2.2869105790074027,1.292477748943735,6.0,5.5,5,5.5
290740,2025-09-30,59.20000000000002,77.60000000000002,18.800000000000004,1234.0,547.0,485.0,747.0,487.0,336.0,62.80000000000002,687.0,2508.4000000000005,195.20000000000005,173.60000000000002,76.40000000000003,2944.0157175,액트로,,183.96,3.95,0.34,183.96,3.95,16.958615884216588,1.1736627800590014,8.617176128093162,15.818476499189632,14.068071312803893,,5.0282931412584855,전기전자,-0.8394571506741509,0.2852324685197957,0.45340860515994813,0.646800101480743,0.4274711313865707,0.25359214493480087,1.1855924190386378,,2.957338932731322,0.13649600612158397,0.6222185651200031,2.957338932731322,0.22685036629236846,0.7946636242854228,3.033866607184336,1.408040690902126,5.0,5.5,6,5.5
171090,2025-09-30,680.8000000000001,736.8000000000002,54.80000000000001,3618.0,2522.0,2281.0,2895.0,723.0,1047.0,51.600000000000016,1095.0,3989.6000000000013,1037.6000000000001,309.59999999999997,795.2000000000002,12994.0603,선익시스템,,0.0,24.71,0.0,19.086457549941244,24.71,41.97047900516796,3.256983231401643,62.173515981735164,28.678828081813162,8.557213930348258,,3.457632441231006,기계,0.3025018599487042,-0.9227365898759511,0.16589920277248507,0.4223849344471328,1.7607854096810132,1.3074320061216895,0.5234999391572754,,1.8863882655224313,-0.007987648176907239,1.1972391183199926,1.8863882655224313,0.05583044853432613,1.5145541696235565,1.9419170487758952,1.2265140610001057,7.0,7.6,7,7.6
085910,2025-09-30,57.20000000000002,73.60000000000002,15.600000000000005,1254.0,496.0,338.0,643.0,612.0,234.0,32.00000000000001,759.0,666.8000000000002,179.20000000000005,87.60000000000002,72.00000000000003,2912.376962,네오티스,,55.44,5.29,0.96,55.44,5.29,33.246312351598164,4.3676919046190745,7.5362318840579725,14.2902711323764,6.985645933014356,,6.153769214767772,운수장비,0.047561836062331005,0.009393162630463673,0.1805816408993103,0.11564188895034691,0.09182622136107572,0.4466904242475051,0.2596362982037774,,2.8806980624008074,0.08829463213561298,0.2660509812707861,2.8806980624008074,0.1697961960131808,0.34876360429117587,2.955722984816042,1.2075091649914802,8.0,8.1,8,8.1
327260,2025-09-30,43.20000000000001,46.000000000000014,2.400000000000001,1146.0,375.0,239.0,754.0,392.0,55.0,28.000000000000007,771.0,586.8000000000002,168.40000000000003,48.80000000000002,61.20000000000002,3612.80578,RF머트리얼즈,37.4,0.0,8.53,0.0,83.62976342592592,8.53,74.03290532786883,6.156792399454668,5.6031128404669275,14.694589877835954,4.258289703315883,55.279079519187434,6.050001140942988,전기전자,0.04933871565187995,-0.6383159118456945,-0.03425429909367708,-0.14862714737598914,0.28828008621879847,0.13744581458226085,0.1073016005724703,0.6950817395100791,2.957338932731322,-0.19296466066587017,0.3070273102209022,2.957338932731322,-0.16311994842639885,0.4000634606696912,3.033866607184336,1.1529395392209898,9.0,8.5,9,8.5
004170,2025-09-30,1338.4000000000005,1643.2000000000005,304.80000000000007,154780.0,88304.0,47978.0,23547.0,131233.0,5774.0,4369.600000000001,66476.0,67114.40000000002,40688.40000000001,7888.800000000001,3973.200000000001,35542.491985,신세계,11.7,31.29,0.76,1.22,31.29,0.76,4.505437073445897,0.5295807156884362,2.0133582044647698,26.2878924925701,5.096782530042642,62.607861936721,2.8677336354825185,유통,0.11031348512993835,0.5786061661210344,0.6440531723827211,0.36087604836089077,0.0802187367241477,0.45972304104789585,0.23517059145798652,1.7299681910757099,1.925755481255116,0.4234622179986462,0.626270140076435,1.925755481255116,0.5665215781871289,0.7997359482025989,1.9820561654983373,1.1435837132514663,11.0,11.200000000000001,10,11.200000000000001
